,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-08 16:37:32,2022-03-04,HSIC,Siegel Walter,"SVP, Chief Legal Counsel",D - Sale to issuer,$0.00,-282,44529,-1%,-$0,,,,,HSIC
1,,2022-03-08 16:37:32,2022-03-04,HSIC,Siegel Walter,"SVP, Chief Legal Counsel",F - Tax,$86.98,-3175,44529,-7%,"-$276,162",,,,,HSIC
2,,2022-03-08 16:34:47,2022-03-04,HSIC,Paladino Steven,"EVP, CFO",D - Sale to issuer,$0.00,-685,136304,-1%,-$0,,,,,HSIC
3,,2022-03-08 16:34:47,2022-03-04,HSIC,Paladino Steven,"EVP, CFO",F - Tax,$86.98,-9351,136304,-6%,"-$813,350",,,,,HSIC
4,,2022-03-08 16:31:30,2022-03-04,HSIC,Mlotek Mark E,"EVP, Chief Strategic Officer",D - Sale to issuer,$0.00,-649,69977,-1%,-$0,,,,,HSIC
5,,2022-03-08 16:31:30,2022-03-04,HSIC,Mlotek Mark E,"EVP, Chief Strategic Officer",F - Tax,$86.98,-9592,69977,-12%,"-$834,312",,,,,HSIC
6,,2022-03-08 16:31:30,2022-03-07,HSIC,Mlotek Mark E,"EVP, Chief Strategic Officer",S - Sale,$86.39,-6292,69977,-8%,"-$543,560",,,,,HSIC
7,,2022-03-08 16:28:05,2022-03-04,HSIC,McGlynn Lorelei,"SVP, Chief Human Res. Officer",D - Sale to issuer,$0.00,-355,81709,0%,-$0,,,,,HSIC
8,,2022-03-08 16:28:05,2022-03-04,HSIC,McGlynn Lorelei,"SVP, Chief Human Res. Officer",F - Tax,$86.98,-4043,81709,-5%,"-$351,660",,,,,HSIC
9,,2022-03-08 16:25:00,2022-03-04,HSIC,Ettinger Michael S,"SVP Corp, Legal Ch of Staff Se",D - Sale to issuer,$0.00,-504,81817,-1%,-$0,,,,,HSIC
10,,2022-03-08 16:25:00,2022-03-04,HSIC,Ettinger Michael S,"SVP Corp, Legal Ch of Staff Se",F - Tax,$86.98,-6457,81817,-7%,"-$561,630",,,,,HSIC
11,,2022-03-08 16:22:31,2022-03-04,HSIC,Connett Bradford C,"CEO, NA Distribution Group",D - Sale to issuer,$0.00,-389,53344,-1%,-$0,,,,,HSIC
12,,2022-03-08 16:22:31,2022-03-04,HSIC,Connett Bradford C,"CEO, NA Distribution Group",F - Tax,$86.98,-4602,53344,-8%,"-$400,282",,,,,HSIC
13,,2022-03-08 16:19:56,2022-03-04,HSIC,Brous David B Jr,"CEO, Strategic Business Group",D - Sale to issuer,$0.00,-389,56572,-1%,-$0,,,,,HSIC
14,,2022-03-08 16:19:56,2022-03-04,HSIC,Brous David B Jr,"CEO, Strategic Business Group",F - Tax,$86.98,-4659,56572,-8%,"-$405,240",,,,,HSIC
15,,2022-03-08 16:16:27,2022-03-04,HSIC,Breslawski James P,"Vice COB, Pres",D - Sale to issuer,$0.00,-682,203056,0%,-$0,,,,,HSIC
16,,2022-03-08 16:16:27,2022-03-04,HSIC,Breslawski James P,"Vice COB, Pres",F - Tax,$86.98,-9296,203056,-4%,"-$808,566",,,,,HSIC
17,,2022-03-08 16:16:27,2022-03-07,HSIC,Breslawski James P,"Vice COB, Pres",S - Sale,$86.72,-8923,203056,-4%,"-$773,803",,,,,HSIC
18,,2022-03-08 16:13:08,2022-03-04,HSIC,Bergman Stanley M,"COB, CEO",D - Sale to issuer,$0.00,-1956,800495,0%,-$0,,,,,HSIC
19,,2022-03-08 16:13:08,2022-03-04,HSIC,Bergman Stanley M,"COB, CEO",F - Tax,$86.98,-28958,800495,-3%,"-$2,518,767",,,,,HSIC
20,,2022-03-08 16:10:07,2022-03-04,HSIC,Benjamin Gerald A,"EVP, Chief Admin. Officer",D - Sale to issuer,$0.00,-685,105374,-1%,-$0,,,,,HSIC
21,,2022-03-08 16:10:07,2022-03-04,HSIC,Benjamin Gerald A,"EVP, Chief Admin. Officer",F - Tax,$86.98,-9350,105374,-8%,"-$813,263",,,,,HSIC
22,,2022-03-08 16:07:14,2022-03-07,HSIC,Laskawy Philip A,Dir,S - Sale,$87.92,-2790,28366,-9%,"-$245,297",,,,,HSIC
23,,2022-03-04 17:14:02,2022-03-04,HSIC,Serota Scott Philip,Dir,P - Purchase,$85.87,1000,1000,New,"+$85,870",,,,,HSIC
24,,2022-03-04 17:11:15,2022-03-04,HSIC,Kuehn Kurt P,Dir,S - Sale,$85.97,-2200,13752,-14%,"-$189,134",,,,,HSIC
25,M,2022-03-04 16:51:02,2022-03-02,HSIC,Siegel Walter,"SVP, Chief Legal Counsel",F - Tax,$86.25,-2529,47986,-5%,"-$218,116",,,,,HSIC
26,,2022-03-04 16:48:16,2022-03-03,HSIC,Sheares Bradley T,Dir,F - Tax,$87.24,-613,48076,-1%,"-$53,478",,,,,HSIC
27,,2022-03-04 16:46:03,2022-03-03,HSIC,Rekow E Dianne,Dir,F - Tax,$87.24,-613,16498,-4%,"-$53,478",,,,,HSIC
28,,2022-03-04 16:43:53,2022-03-03,HSIC,Raphael Carol,Dir,F - Tax,$87.24,-613,25455,-2%,"-$53,478",,,,,HSIC
29,M,2022-03-04 16:41:12,2022-03-02,HSIC,Paladino Steven,"EVP, CFO",F - Tax,$86.30,-4958,146339,-3%,"-$427,857",,,,,HSIC
30,M,2022-03-04 16:38:33,2022-03-02,HSIC,Mlotek Mark E,"EVP, Chief Strategic Officer",F - Tax,$86.27,-5033,86510,-5%,"-$434,199",,,,,HSIC
31,M,2022-03-04 16:34:21,2022-03-02,HSIC,McGlynn Lorelei,"SVP, Chief Human Res. Officer",F - Tax,$86.25,-2233,86107,-3%,"-$192,585",,,,,HSIC
32,M,2022-03-04 16:31:46,2022-03-02,HSIC,Ettinger Michael S,"SVP Corp, Legal Ch of Staff Se",F - Tax,$86.25,-3166,88778,-3%,"-$273,064",,,,,HSIC
33,,2022-03-04 16:31:46,2022-02-23,HSIC,Ettinger Michael S,"SVP Corp, Legal Ch of Staff Se",G - Gift,$0.00,-119,88778,0%,-$0,,,,,HSIC
34,M,2022-03-04 16:28:41,2022-03-02,HSIC,Connett Bradford C,"CEO, NA Distribution Group",F - Tax,$86.06,-1301,58335,-2%,"-$111,969",,,,,HSIC
35,M,2022-03-04 16:25:40,2022-03-02,HSIC,Brous David B Jr,"CEO, Strategic Business Group",F - Tax,$86.06,-1723,61620,-3%,"-$148,290",,,,,HSIC
36,M,2022-03-04 16:22:39,2022-03-02,HSIC,Breslawski James P,"Vice COB, Pres",F - Tax,$86.32,-5385,221957,-2%,"-$464,824",,,,,HSIC
37,,2022-03-04 16:22:39,2022-03-03,HSIC,Breslawski James P,"Vice COB, Pres",S - Sale,$85.92,-5893,221957,-3%,"-$506,327",,,,,HSIC
38,,2022-03-04 16:19:04,2022-03-03,HSIC,Bergman Stanley M,"COB, CEO",F - Tax,$87.24,-7053,831401,-1%,"-$615,304",,,,,HSIC
39,M,2022-03-04 16:16:15,2022-03-02,HSIC,Benjamin Gerald A,"EVP, Chief Admin. Officer",F - Tax,$86.30,-4959,115409,-4%,"-$427,945",,,,,HSIC
40,,2022-03-04 16:13:26,2022-03-03,HSIC,Alperin Barry J,Dir,F - Tax,$87.24,-613,50445,-1%,"-$53,478",,,,,HSIC
41,,2022-02-25 16:11:01,2022-02-24,HSIC,Mlotek Mark E,"EVP, Chief Strategic Officer",S - Sale,$82.99,-24075,91543,-21%,"-$1,997,936",,,,,HSIC
42,,2022-02-17 16:30:21,2022-02-16,HSIC,Bergman Stanley M,"COB, CEO",S - Sale,$83.05,-30000,1407409,-2%,"-$2,491,428",,,,,HSIC
43,M,2021-12-15 16:45:17,2021-03-05,HSIC,Bergman Stanley M,"COB, CEO",G - Gift,$0.00,-19563,1471131,-1%,-$0,,,,,HSIC
44,,2021-12-15 16:45:17,2021-12-14,HSIC,Bergman Stanley M,"COB, CEO",S - Sale,$75.43,-30000,1471131,-2%,"-$2,262,930",,,,,HSIC
45,,2021-06-15 16:39:00,2021-06-11,HSIC,Tuckson Reed Vaughn,Dir,A - Grant,$0.00,2217,2217,New,+$0,,,,,HSIC
46,,2021-05-11 17:04:26,2021-05-10,HSIC,Mlotek Mark E,"EVP, Chief Strategic Officer",S - Sale,$83.02,-13296,116552,-10%,"-$1,103,834",,,,,HSIC
47,,2021-05-10 16:52:23,2021-05-07,HSIC,Paladino Steven,"EVP, CFO",S - Sale,$80.62,-22658,151298,-13%,"-$1,826,597",,,,,HSIC
48,,2021-05-10 16:49:49,2021-05-07,HSIC,Benjamin Gerald A,"EVP, Chief Admin. Officer",S - Sale,$82.08,-7227,120369,-6%,"-$593,192",,,,,HSIC
49,,2021-05-07 17:33:45,2021-05-06,HSIC,Siegel Walter,"SVP, GC",S - Sale,$78.27,-2257,50515,-4%,"-$176,655",,,,,HSIC
50,,2021-05-07 17:31:23,2021-05-06,HSIC,Ettinger Michael S,"SVP Corp, Legal Ch of Staff Se",S - Sale,$78.27,-3344,92188,-4%,"-$261,735",,,,,HSIC
51,,2021-05-07 17:29:30,2021-05-06,HSIC,Breslawski James P,"Vice COB, Pres",S - Sale,$79.18,-21113,233235,-8%,"-$1,671,801",,,,,HSIC
52,,2021-05-06 17:42:27,2021-05-05,HSIC,Kuehn Kurt P,Dir,S - Sale,$79.00,-3000,15952,-16%,"-$237,000",,,,,HSIC
53,,2021-03-09 16:38:20,2021-03-05,HSIC,Siegel Walter,"SVP, GC",F - Tax,$62.57,-1352,52772,-2%,"-$84,595",,,,,HSIC
54,,2021-03-09 16:36:49,2021-03-05,HSIC,Rekow E Dianne,Dir,F - Tax,$62.57,-602,17111,-3%,"-$37,667",,,,,HSIC
55,,2021-03-09 16:35:11,2021-03-05,HSIC,Paladino Steven,"EVP, CFO",F - Tax,$62.57,-2644,173962,-1%,"-$165,435",,,,,HSIC
56,,2021-03-09 16:34:09,2021-03-05,HSIC,Mlotek Mark E,"EVP, Chief Strategic Officer",F - Tax,$62.57,-2775,129851,-2%,"-$173,632",,,,,HSIC
57,,2021-03-09 16:32:41,2021-03-05,HSIC,Ettinger Michael S,"SVP Corp, Legal Ch of Staff Se",F - Tax,$62.57,-1775,95533,-2%,"-$111,062",,,,,HSIC
58,,2021-03-09 16:31:34,2021-03-05,HSIC,Breslawski James P,"Vice COB, Pres",F - Tax,$62.57,-2806,254348,-1%,"-$175,571",,,,,HSIC
59,,2021-03-09 16:30:13,2021-03-05,HSIC,Benjamin Gerald A,"EVP, Chief Admin. Officer",F - Tax,$62.57,-2643,127601,-2%,"-$165,373",,,,,HSIC
60,D,2021-03-05 16:59:19,2021-03-03,HSIC,Siegel Walter,"SVP, GC",A - Grant,$0.00,9936,54124,+22%,+$0,,,,,HSIC
61,,2021-03-05 16:57:56,2021-03-03,HSIC,Sheares Bradley T,Dir,A - Grant,$0.00,2790,48689,+6%,+$0,,,,,HSIC
62,,2021-03-05 16:57:56,2021-03-03,HSIC,Sheares Bradley T,Dir,F - Tax,$62.71,-635,48689,-1%,"-$39,821",,,,,HSIC
63,,2021-03-05 16:56:16,2021-03-03,HSIC,Rekow E Dianne,Dir,A - Grant,$0.00,2790,17713,+19%,+$0,,,,,HSIC
64,,2021-03-05 16:56:16,2021-03-03,HSIC,Rekow E Dianne,Dir,F - Tax,$62.71,-635,17713,-3%,"-$39,821",,,,,HSIC
65,,2021-03-05 16:55:02,2021-03-03,HSIC,Raphael Carol,Dir,A - Grant,$0.00,2790,26068,+12%,+$0,,,,,HSIC
66,,2021-03-05 16:55:02,2021-03-03,HSIC,Raphael Carol,Dir,F - Tax,$62.71,-635,26068,-2%,"-$39,821",,,,,HSIC
67,D,2021-03-05 16:53:26,2021-03-03,HSIC,Paladino Steven,"EVP, CFO",A - Grant,$0.00,24335,176606,+16%,+$0,,,,,HSIC
68,D,2021-03-05 16:52:11,2021-03-03,HSIC,Mlotek Mark E,"EVP, Chief Strategic Officer",A - Grant,$0.00,22714,132627,+21%,+$0,,,,,HSIC
69,,2021-03-05 16:50:46,2021-03-03,HSIC,Margulies Anne H.,Dir,A - Grant,$0.00,2790,13897,+25%,+$0,,,,,HSIC
70,,2021-03-05 16:49:20,2021-03-03,HSIC,Laskawy Philip A,Dir,A - Grant,$0.00,2790,31156,+10%,+$0,,,,,HSIC
71,,2021-03-05 16:49:20,2021-03-04,HSIC,Laskawy Philip A,Dir,S - Sale,$62.29,-2889,31156,-8%,"-$179,956",,,,,HSIC
72,,2021-03-05 16:47:56,2021-03-03,HSIC,Kuehn Kurt P,Dir,A - Grant,$0.00,2790,18952,+17%,+$0,,,,,HSIC
73,,2021-03-05 16:46:42,2021-03-03,HSIC,Herring Joseph L,Dir,A - Grant,$0.00,2790,18022,+18%,+$0,,,,,HSIC
74,,2021-03-05 16:45:14,2021-03-03,HSIC,Goodman Shira,Dir,A - Grant,$0.00,2790,12967,+27%,+$0,,,,,HSIC
75,D,2021-03-05 16:43:54,2021-03-03,HSIC,Ettinger Michael S,"SVP Corp, Legal Ch of Staff Se",A - Grant,$0.00,18804,97308,+24%,+$0,,,,,HSIC
76,,2021-03-05 16:42:31,2021-03-03,HSIC,Derby Deborah,Dir,A - Grant,$0.00,2790,3550,+367%,+$0,,,,,HSIC
77,,2021-03-05 16:41:07,2021-03-03,HSIC,Brons Paul,Dir,A - Grant,$0.00,2790,16854,+20%,+$0,,,,,HSIC
78,,2021-03-05 16:41:07,2021-03-03,HSIC,Brons Paul,Dir,F - Tax,$62.71,-1144,16854,-6%,"-$71,740",,,,,HSIC
79,D,2021-03-05 16:39:35,2021-03-03,HSIC,Bergman Stanley M,"COB, CEO",A - Grant,$0.00,67892,930209,+8%,+$0,,,,,HSIC
80,D,2021-03-05 16:37:42,2021-03-03,HSIC,Breslawski James P,"Vice COB, Pres",A - Grant,$0.00,25966,257154,+11%,+$0,,,,,HSIC
81,D,2021-03-05 16:32:37,2021-03-03,HSIC,Benjamin Gerald A,"EVP, Chief Admin. Officer",A - Grant,$0.00,24335,130244,+23%,+$0,,,,,HSIC
82,,2021-03-05 16:30:56,2021-03-03,HSIC,Alperin Barry J,Dir,A - Grant,$0.00,2790,51058,+6%,+$0,,,,,HSIC
83,,2021-03-05 16:30:56,2021-03-03,HSIC,Alperin Barry J,Dir,F - Tax,$62.71,-635,51058,-1%,"-$39,821",,,,,HSIC
