,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2021-12-06 14:08:08,2021-12-02,IIIV,Daily Gregory S,"CEO, 10%",P - Purchase,$18.77,82087,177683,+86%,"+$1,540,725",,,,,IIIV
1,D,2021-11-23 16:36:25,2021-11-22,IIIV,Stanford Frederick,Pres,C - Converted deriv,$0.00,15000,117577,-11%,$0,,,,,IIIV
2,D,2021-11-23 16:36:25,2021-11-22,IIIV,Stanford Frederick,Pres,S - Sale+OE,$21.21,-15000,117577,-11%,"-$318,170",,,,,IIIV
3,D,2021-06-23 12:28:45,2021-06-21,IIIV,Whitson Clay M,CFO,M - OptEx,$13.00,7692,26168,+42%,"+$99,996",,,,,IIIV
4,,2021-06-11 12:50:53,2021-06-10,IIIV,Morgan David K.,Dir,P - Purchase,$31.67,3000,7000,+75%,"+$95,010",,,,,IIIV
5,D,2021-03-16 17:33:08,2021-03-15,IIIV,Wilds David M,Dir,C - Converted deriv,$0.00,200000,550637,-27%,$0,,,,,IIIV
6,D,2021-03-16 17:33:08,2021-03-15,IIIV,Wilds David M,Dir,S - Sale+OE,$32.83,-200000,550637,-27%,"-$6,566,000",,,,,IIIV
7,D,2021-03-16 17:31:58,2021-03-15,IIIV,Harvey Robert Burton,Dir,C - Converted deriv,$0.00,200000,86325,-70%,$0,,,,,IIIV
8,D,2021-03-16 17:31:58,2021-03-15,IIIV,Harvey Robert Burton,Dir,S - Sale+OE,$32.83,-200000,86325,-70%,"-$6,566,000",,,,,IIIV
9,D,2021-03-16 17:30:22,2021-03-15,IIIV,Harrison John C.,Dir,C - Converted deriv,$0.00,200000,81606,-71%,$0,,,,,IIIV
10,D,2021-03-16 17:30:22,2021-03-15,IIIV,Harrison John C.,Dir,S - Sale+OE,$32.83,-200000,81606,-71%,"-$6,566,000",,,,,IIIV
11,D,2020-12-21 17:18:38,2020-12-18,IIIV,Bertke Robert,CTO,F - Tax,$32.80,-9162,0,-100%,"-$300,514",,,,,IIIV
12,D,2020-12-21 17:18:38,2020-12-18,IIIV,Bertke Robert,CTO,M - OptEx,$20.81,12311,0,-100%,"+$256,153",,,,,IIIV
13,D,2020-12-21 17:18:38,2020-12-18,IIIV,Bertke Robert,CTO,S - Sale+OE,$32.01,-3149,0,-100%,"-$100,799",,,,,IIIV
14,D,2020-12-18 11:34:38,2020-12-16,IIIV,Whitson Clay M,CFO,M - OptEx,$13.00,7692,317338,+2%,"+$99,996",,,,,IIIV
15,D,2020-12-11 16:49:58,2020-12-10,IIIV,Wilds David M,Dir,C - Converted deriv,$0.00,400000,750637,-35%,$0,,,,,IIIV
16,D,2020-12-11 16:49:58,2020-12-10,IIIV,Wilds David M,Dir,S - Sale+OE,$27.10,-400000,750637,-35%,"-$10,840,000",,,,,IIIV
17,D,2020-12-11 16:49:31,2020-12-10,IIIV,Harvey Robert Burton,Dir,C - Converted deriv,$0.00,274609,286325,-49%,$0,,,,,IIIV
18,D,2020-12-11 16:49:31,2020-12-10,IIIV,Harvey Robert Burton,Dir,S - Sale+OE,$27.10,-274609,286325,-49%,"-$7,441,904",,,,,IIIV
19,D,2020-12-11 16:48:51,2020-12-10,IIIV,Harrison John C.,Dir,C - Converted deriv,$0.00,280000,281606,-50%,$0,,,,,IIIV
20,D,2020-12-11 16:48:51,2020-12-10,IIIV,Harrison John C.,Dir,S - Sale+OE,$27.10,-280000,281606,-50%,"-$7,588,000",,,,,IIIV
21,D,2020-12-09 10:40:15,2020-12-07,IIIV,Stanford Frederick,Pres,C - Converted deriv,$0.00,45000,132577,-25%,$0,,,,,IIIV
22,DM,2020-12-09 10:40:15,2020-12-07,IIIV,Stanford Frederick,Pres,S - Sale+OE,$28.89,-45000,132577,-25%,"-$1,300,132",,,,,IIIV
23,D,2020-09-15 16:36:44,2020-09-15,IIIV,Wilds David M,Dir,D - Sale to issuer,$0.00,-214414,1150637,-16%,-$0,,,,,IIIV
24,D,2020-09-15 16:36:19,2020-09-15,IIIV,Harvey Robert Burton,Dir,D - Sale to issuer,$0.00,-135020,560934,-19%,-$0,,,,,IIIV
25,D,2020-09-15 16:35:34,2020-09-15,IIIV,Harrison John C.,Dir,D - Sale to issuer,$0.00,-138066,561606,-20%,-$0,,,,,IIIV
26,,2019-12-09 18:09:18,2019-12-09,IIIV,Meriwether David Scott,COO,S - Sale,$27.90,-3000,56,-98%,"-$83,700",,,,,IIIV
27,,2019-08-13 16:41:18,2019-08-13,IIIV,Morgan David K.,Dir,P - Purchase,$21.35,2000,4000,+100%,"+$42,700",,,,,IIIV
28,D,2019-06-27 18:16:01,2019-06-26,IIIV,Whitson Clay M,CFO,M - OptEx,$13.00,7692,10784,+249%,"+$99,996",,,,,IIIV
29,,2019-06-12 18:28:30,2019-06-11,IIIV,Daily Gregory S,"CEO, 10%",P - Purchase,$23.49,84800,95596,+785%,"+$1,991,952",,,,,IIIV
30,D,2019-06-12 14:40:53,2019-06-10,IIIV,Wilds David M,Dir,D - Sale to issuer,$0.00,-1869296,1512567,-55%,-$0,,,,,IIIV
31,D,2019-06-12 14:39:40,2019-06-10,IIIV,Harvey Robert Burton,Dir,D - Sale to issuer,$0.00,-1036425,695954,-60%,-$0,,,,,IIIV
32,D,2019-06-12 14:39:05,2019-06-10,IIIV,Harrison John C.,Dir,D - Sale to issuer,$0.00,-1059806,699672,-60%,-$0,,,,,IIIV
33,D,2019-06-12 14:38:30,2019-06-10,IIIV,"Front Street Equities, LLC",10%,D - Sale to issuer,$0.00,-1869296,1234092,-60%,-$0,,,,,IIIV
34,D,2019-05-20 16:31:20,2019-05-15,IIIV,Stanford Frederick,Pres,C - Converted deriv,$0.00,25000,177577,-12%,$0,,,,,IIIV
35,DM,2019-05-20 16:31:20,2019-05-16,IIIV,Stanford Frederick,Pres,S - Sale+OE,$23.47,-25000,177577,-12%,"-$586,830",,,,,IIIV
36,,2018-08-17 17:12:22,2018-08-16,IIIV,Morgan David K.,Dir,P - Purchase,$15.66,2000,2000,New,"+$31,320",,,,,IIIV
37,D,2018-06-25 21:33:22,2018-06-25,IIIV,Maple Paul,"GC, Secretary",P - Purchase,$13.00,5769,33663,+21%,"+$74,997",,,,,IIIV
