,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-14 21:03:22,2022-03-10,KNBE,Reich Robert F,CFO,A - Grant,$0.00,89270,89270,New,+$0,,,,,KNBE
1,D,2022-03-03 18:32:07,2022-03-01,KNBE,Klausmeyer Kevin,Dir,C - Converted deriv,$0.00,11616,0,-100%,$0,,,,,KNBE
2,D,2022-03-03 18:32:07,2022-03-01,KNBE,Klausmeyer Kevin,Dir,S - Sale+OE,$20.52,-11616,0,-100%,"-$238,351",,,,,KNBE
3,D,2022-02-25 19:03:13,2022-02-23,KNBE,Goldman Sachs Group Inc,"Dir, 10%",C - Converted deriv,$0.00,2310000,233,-100%,$0,,,,,KNBE
4,D,2022-02-25 19:03:13,2022-02-23,KNBE,Goldman Sachs Group Inc,"Dir, 10%",G - Gift,$0.00,-2310000,233,-100%,-$0,,,,,KNBE
5,D,2022-02-25 19:02:24,2022-02-23,KNBE,Disabato Joseph P,Dir,C - Converted deriv,$0.00,2310000,233,-100%,$0,,,,,KNBE
6,D,2022-02-25 19:02:24,2022-02-23,KNBE,Disabato Joseph P,Dir,G - Gift,$0.00,-2310000,233,-100%,-$0,,,,,KNBE
7,,2022-02-24 16:19:58,2022-02-22,KNBE,Venkataraman Shrikrishna,"Co-Pres, CFO",A - Grant,$0.00,68750,508703,+16%,+$0,,,,,KNBE
8,,2022-02-24 16:19:33,2022-02-22,KNBE,Sjouwerman Sjoerd,CEO,A - Grant,$0.00,333226,583237,+133%,+$0,,,,,KNBE
9,,2022-02-24 16:18:55,2022-02-22,KNBE,Letonoff Lars,See remarks,A - Grant,$0.00,133290,233290,+133%,+$0,,,,,KNBE
10,,2022-02-16 20:09:53,2022-02-14,KNBE,Venkataraman Shrikrishna,"Co-Pres, CFO",A - Grant,$0.00,137742,439953,+46%,+$0,,,,,KNBE
11,DM,2022-02-03 16:13:40,2022-02-01,KNBE,Klausmeyer Kevin,Dir,C - Converted deriv,$0.00,22967,0,-100%,$0,,,,,KNBE
12,DM,2022-02-03 16:13:40,2022-02-01,KNBE,Klausmeyer Kevin,Dir,S - Sale+OE,$24.66,-22967,0,-100%,"-$566,430",,,,,KNBE
13,D,2022-01-13 16:10:59,2022-01-13,KNBE,Klausmeyer Kevin,Dir,C - Converted deriv,$0.00,1223,0,-100%,$0,,,,,KNBE
