,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-15 10:26:58,2022-03-11,KNTK,Apache Corp,10%,S - Sale,$58.00,-4000000,8865651,-31%,"-$232,000,000",,,,,KNTK
1,,2022-02-24 18:35:14,2022-02-22,KNTK,Wall Matthew,"EVP, COO",A - Grant,$0.00,206212,206212,New,+$0,,,,,KNTK
2,,2022-02-24 18:32:34,2022-02-22,KNTK,Sugg Laura A,Dir,A - Grant,$0.00,20607,20607,New,+$0,,,,,KNTK
3,,2022-02-24 18:31:20,2022-02-22,KNTK,Psencik Anne,Chief Strategy Officer,A - Grant,$0.00,76773,76773,New,+$0,,,,,KNTK
4,,2022-02-24 18:30:59,2022-02-22,KNTK,Stellato Steven,See Remarks,A - Grant,$0.00,117067,117067,New,+$0,,,,,KNTK
5,,2022-02-24 18:29:38,2022-02-22,KNTK,Carpenter Todd,See Remarks,A - Grant,$0.00,89577,89577,New,+$0,,,,,KNTK
6,D,2022-02-24 18:28:42,2022-02-22,KNTK,Welch Jamie,See Remarks,A - Grant,$0.00,1357531,1357531,New,+$0,,,,,KNTK
7,D,2022-02-23 17:13:01,2022-02-22,ALTM,McCarthy Kevin S,Dir,D - Sale to issuer,$62.35,-2311,30247,-7%,"-$144,091",,,,,KNTK
8,D,2022-02-23 17:13:01,2022-02-22,ALTM,McCarthy Kevin S,Dir,M - OptEx,$0.00,2311,30247,+8%,+$0,,,,,KNTK
9,D,2022-02-23 17:10:41,2022-02-22,ALTM,Leland D Mark,Dir,D - Sale to issuer,$62.35,-5867,3798,-61%,"-$365,807",,,,,KNTK
10,D,2022-02-23 17:10:41,2022-02-22,ALTM,Leland D Mark,Dir,M - OptEx,$0.00,5867,3798,-284%,+$0,,,,,KNTK
11,D,2022-02-23 17:09:23,2022-02-22,ALTM,Frana Joe C,Dir,D - Sale to issuer,$62.35,-3898,0,-100%,"-$243,040",,,,,KNTK
12,D,2022-02-23 17:09:23,2022-02-22,ALTM,Frana Joe C,Dir,M - OptEx,$0.00,3898,0,-100%,+$0,,,,,KNTK
13,D,2022-02-23 17:07:46,2022-02-22,ALTM,Purgason Robert S,Dir,D - Sale to issuer,$62.35,-2311,25945,-8%,"-$144,091",,,,,KNTK
14,D,2022-02-23 17:07:46,2022-02-22,ALTM,Purgason Robert S,Dir,M - OptEx,$0.00,2311,25945,+10%,+$0,,,,,KNTK
15,D,2022-02-23 14:55:18,2022-02-22,ALTM,Borer Mark A,Dir,D - Sale to issuer,$62.35,-5867,3798,-61%,"-$365,807",,,,,KNTK
16,D,2022-02-23 14:55:18,2022-02-22,ALTM,Borer Mark A,Dir,M - OptEx,$0.00,5867,3798,-284%,+$0,,,,,KNTK
17,,2022-02-02 11:04:31,2022-02-01,ALTM,Bretches D. Clay,CEO,P - Purchase,$63.20,200,24970,+1%,"+$12,640",,,,,KNTK
18,D,2022-01-13 12:32:18,2022-01-11,ALTM,Apache Corp,10%,C - Converted deriv,$0.00,12500000,12865651,-49%,$0,,,,,KNTK
19,,2022-01-04 11:43:49,2022-01-03,ALTM,Bretches D. Clay,CEO,P - Purchase,$61.94,200,24770,+1%,"+$12,388",,,,,KNTK
20,D,2021-12-20 13:01:38,2021-12-17,ALTM,Borer Mark A,Dir,D - Sale to issuer,$63.96,-552,3798,-13%,"-$35,306",,,,,KNTK
21,D,2021-12-20 13:01:38,2021-12-17,ALTM,Borer Mark A,Dir,M - OptEx,$0.00,552,3798,+17%,+$0,,,,,KNTK
22,D,2021-12-20 13:00:06,2021-12-17,ALTM,Leland D Mark,Dir,D - Sale to issuer,$63.96,-552,3798,-13%,"-$35,306",,,,,KNTK
23,D,2021-12-20 13:00:06,2021-12-17,ALTM,Leland D Mark,Dir,M - OptEx,$0.00,552,3798,+17%,+$0,,,,,KNTK
24,,2021-12-02 10:01:46,2021-12-01,ALTM,Bretches D. Clay,CEO,P - Purchase,$63.51,200,24570,+1%,"+$12,702",,,,,KNTK
25,,2021-11-02 17:06:39,2021-11-01,ALTM,Bretches D. Clay,CEO,P - Purchase,$62.41,200,24370,+1%,"+$12,482",,,,,KNTK
26,,2021-10-04 15:35:20,2021-10-01,ALTM,Bretches D. Clay,CEO,P - Purchase,$69.25,200,24170,+1%,"+$13,850",,,,,KNTK
27,,2021-09-02 14:23:57,2021-09-01,ALTM,Bretches D. Clay,CEO,P - Purchase,$65.18,200,23970,+1%,"+$13,036",,,,,KNTK
28,,2021-08-03 10:44:21,2021-08-02,ALTM,Bretches D. Clay,CEO,P - Purchase,$63.54,200,23770,+1%,"+$12,708",,,,,KNTK
29,,2021-07-02 11:23:35,2021-07-01,ALTM,Bretches D. Clay,CEO,P - Purchase,$68.24,200,23570,+1%,"+$13,648",,,,,KNTK
30,,2021-06-02 12:56:58,2021-06-01,ALTM,Bretches D. Clay,CEO,P - Purchase,$63.93,200,23370,+1%,"+$12,786",,,,,KNTK
31,,2021-05-14 12:05:12,2021-05-13,ALTM,Bretches D. Clay,CEO,P - Purchase,$63.75,200,23170,+1%,"+$12,750",,,,,KNTK
