,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-08 16:33:05,2022-03-04,LSXMA,Maffei Gregory B,"Pres, CEO",F - Tax,$46.60,-361011,6465961,-5%,"-$16,824,200",,,,,LSXMA
1,D,2022-03-08 16:33:05,2022-03-04,LSXMA,Maffei Gregory B,"Pres, CEO",M - OptEx,$28.09,465282,6465961,+8%,"+$13,070,400",,,,,LSXMA
2,,2022-02-17 16:12:04,2022-02-16,BATRA,"Gamco Investors, Inc. Et Al",10%,P - Purchase,$26.63,4500,104510,+4%,"+$119,815",,,,,LSXMA
3,,2022-02-07 17:37:01,2022-01-24,LSXMA,Bennett Robert R,Dir,W - Inherited,$0.00,1785,3258836,0%,$0,,,,,LSXMA
4,,2022-01-25 16:11:29,2022-01-21,BATRA,"Gamco Investors, Inc. Et Al",10%,P - Purchase,$26.24,2000,100010,+2%,"+$52,489",,,,,LSXMA
5,,2022-01-21 16:02:01,2022-01-20,BATRA,"Gamco Investors, Inc. Et Al",10%,P - Purchase,$26.15,1000,98010,+1%,"+$26,150",,,,,LSXMA
6,M,2022-01-05 16:02:04,2021-12-28,BATRA,"Gamco Investors, Inc. Et Al",10%,P - Purchase,$28.60,2500,97010,+3%,"+$71,491",,,,,LSXMA
7,,2022-01-03 17:14:41,2021-12-29,LSXMA,Maffei Gregory B,"Pres, CEO",G - Gift,$0.00,-28217,848476,-3%,-$0,,,,,LSXMA
8,M,2022-01-03 17:14:41,2021-12-29,LSXMA,Maffei Gregory B,"Pres, CEO",S - Sale,$62.63,-141988,848476,-14%,"-$8,892,476",,,,,LSXMA
9,M,2021-12-29 16:34:18,2021-12-27,LSXMA,Maffei Gregory B,"Pres, CEO",S - Sale,$61.75,-100000,1018680,-9%,"-$6,175,364",,,,,LSXMA
10,,2021-12-29 16:06:25,2021-12-28,BATRA,"Gamco Investors, Inc. Et Al",10%,P - Purchase,$28.63,500,94510,+1%,"+$14,315",,,,,LSXMA
11,M,2021-12-27 16:52:37,2021-12-22,LSXMA,Maffei Gregory B,"Pres, CEO",S - Sale,$61.26,-100000,1118680,-8%,"-$6,126,387",,,,,LSXMA
12,,2021-12-27 16:09:13,2021-12-23,BATRA,"Gamco Investors, Inc. Et Al",10%,P - Purchase,$28.71,500,94010,+1%,"+$14,357",,,,,LSXMA
13,D,2021-12-17 16:32:33,2021-12-15,LSXMA,Maffei Gregory B,"Pres, CEO",F - Tax,$49.48,-3062041,6731490,-31%,"-$151,523,956",,,,,LSXMA
14,D,2021-12-17 16:32:33,2021-12-15,LSXMA,Maffei Gregory B,"Pres, CEO",M - OptEx,$24.94,4505419,6731490,+202%,"+$112,356,647",,,,,LSXMA
15,D,2021-12-14 17:19:27,2021-12-10,LSXMA,Wong Andrea L,Dir,M - OptEx,$0.00,1395,6578,+27%,+$0,,,,,LSXMA
16,D,2021-12-14 17:19:26,2021-12-10,LSXMA,Rapley David E,Dir,M - OptEx,$0.00,1517,15159,+11%,+$0,,,,,LSXMA
17,D,2021-12-14 17:19:18,2021-12-10,LSXMA,Gilchrist Malcolm Ian Grant,Dir,M - OptEx,$0.00,248,627,+65%,+$0,,,,,LSXMA
18,D,2021-12-14 17:19:14,2021-12-10,LSXMA,Deevy Brian,Dir,M - OptEx,$0.00,1517,14515,+12%,+$0,,,,,LSXMA
19,D,2021-12-14 17:19:06,2021-12-10,LSXMA,Chang Derek,Dir,M - OptEx,$0.00,1154,1154,New,+$0,,,,,LSXMA
20,D,2021-12-14 17:19:01,2021-12-10,LSXMA,Bennett Robert R,Dir,M - OptEx,$0.00,3035,2230548,0%,+$0,,,,,LSXMA
21,D,2021-12-08 17:18:21,2021-12-08,LSXMA,Gilchrist Malcolm Ian Grant,Dir,F - Tax,$61.22,-1085,4140,-21%,"-$66,424",,,,,LSXMA
22,D,2021-12-08 17:18:21,2021-12-08,LSXMA,Gilchrist Malcolm Ian Grant,Dir,M - OptEx,$23.69,2804,4140,+210%,"+$66,413",,,,,LSXMA
23,D,2021-12-08 17:18:21,2021-12-08,LSXMA,Gilchrist Malcolm Ian Grant,Dir,S - Sale+OE,$54.43,-3769,4140,-48%,"-$205,138",,,,,LSXMA
24,M,2021-12-02 18:46:23,2021-11-30,LSXMA,Malone John C,"COB, 10%",S - Sale,$50.30,-399000,23138511,-2%,"-$20,068,668",,,,,LSXMA
25,D,2021-11-12 16:37:44,2021-11-09,LSXMA,Rapley David E,Dir,F - Tax,$52.47,-4218,13642,-24%,"-$221,307",,,,,LSXMA
26,D,2021-11-12 16:37:44,2021-11-09,LSXMA,Rapley David E,Dir,M - OptEx,$27.34,8090,13642,+146%,"+$221,220",,,,,LSXMA
27,D,2021-11-12 16:37:44,2021-11-09,LSXMA,Rapley David E,Dir,S - Sale+OE,$53.61,-3872,13642,-22%,"-$207,585",,,,,LSXMA
28,,2021-11-09 16:22:27,2021-11-05,LSXMA,Malone John C,"COB, 10%",G - Gift,$0.00,-35900,4315350,-1%,-$0,,,,,LSXMA
29,,2021-11-03 20:50:33,2021-11-01,LSXMA,Berkshire Hathaway Inc,10%,P - Purchase,$50.02,5347320,20207680,+36%,"+$267,449,418",,,,,LSXMA
30,,2021-11-03 20:45:24,2021-11-01,LSXMA,"Weschler, R. Ted",Member of 10% owner group,P - Purchase,$50.02,5347320,20501791,+35%,"+$267,449,418",,,,,LSXMA
31,D,2021-09-07 17:04:37,2021-09-02,LSXMA,Gilchrist Malcolm Ian Grant,Dir,F - Tax,$48.56,-5810,6569,-47%,"-$282,114",,,,,LSXMA
32,D,2021-09-07 17:04:37,2021-09-02,LSXMA,Gilchrist Malcolm Ian Grant,Dir,M - OptEx,$24.87,11340,6569,-238%,"+$282,069",,,,,LSXMA
33,D,2021-09-02 16:19:53,2021-08-31,LSXMA,Rosenthaler Albert E,Chief Corp. Dev. Officer,M - OptEx,$18.84,11816,32050,+58%,"+$222,613",,,,,LSXMA
34,D,2021-09-02 16:19:53,2021-08-31,LSXMA,Rosenthaler Albert E,Chief Corp. Dev. Officer,S - Sale+OE,$25.77,-11816,32050,-27%,"-$304,520",,,,,LSXMA
35,DM,2021-08-31 16:25:03,2021-08-27,LSXMA,Wendling Brian J,"CAO, PFO",F - Tax,$49.51,-37785,56452,-40%,"-$1,870,716",,,,,LSXMA
