,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2021-12-06 17:13:38,2021-12-02,MGLN,Fasola Kenneth J,CEO,F - Tax,$94.62,-3376,17141,-16%,"-$319,437",,,,,MGLN
1,D,2021-12-06 17:13:38,2021-12-02,MGLN,Fasola Kenneth J,CEO,M - OptEx,$0.00,8580,17141,+100%,+$0,,,,,MGLN
2,D,2021-10-05 19:11:21,2021-10-01,MGLN,Bourdon David,CFO,F - Tax,$94.68,-862,1330,-39%,"-$81,614",,,,,MGLN
3,D,2021-10-05 19:11:21,2021-10-01,MGLN,Bourdon David,CFO,M - OptEx,$0.00,2192,1330,-254%,+$0,,,,,MGLN
4,,2021-08-17 09:23:21,2021-08-13,MGLN,Feld Peter A,Dir,A - Grant,$0.00,789,2374798,0%,+$0,,,,,MGLN
5,,2021-08-13 16:43:17,2021-08-13,MGLN,Shulman Steven J,Dir,A - Grant,$0.00,789,27451,+3%,+$0,,,,,MGLN
6,,2021-08-13 16:42:05,2021-08-13,MGLN,Sansone Guy P,Dir,A - Grant,$0.00,789,7973,+11%,+$0,,,,,MGLN
7,,2021-08-13 16:41:07,2021-08-13,MGLN,Norwalk Leslie V,Dir,A - Grant,$0.00,789,5698,+16%,+$0,,,,,MGLN
8,,2021-08-13 16:38:56,2021-08-13,MGLN,Mackenzie Gregory Scott,Dir,A - Grant,$0.00,789,10594,+8%,+$0,,,,,MGLN
9,,2021-08-13 16:38:06,2021-08-13,MGLN,Josephson Mural R,Dir,A - Grant,$0.00,789,2911,+37%,+$0,,,,,MGLN
10,,2021-08-13 16:33:12,2021-08-13,MGLN,Chen Christopher J,Dir,A - Grant,$0.00,789,2911,+37%,+$0,,,,,MGLN
11,,2021-08-13 16:32:01,2021-08-13,MGLN,Abbott Swati Bargotra,Dir,A - Grant,$0.00,789,6847,+13%,+$0,,,,,MGLN
