,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-15 19:08:02,2022-03-13,MNTV,Lurie Alexander J,CEO,A - Grant,$0.00,599942,1632771,+58%,+$0,,,,,MNTV
1,,2022-03-01 20:22:34,2022-02-25,MNTV,Schoenstein John S,Chief Sales Officer,A - Grant,$0.00,142613,251936,+130%,+$0,,,,,MNTV
2,,2022-03-01 20:21:41,2022-02-25,MNTV,Coulombe Justin,CFO,A - Grant,$0.00,228181,319390,+250%,+$0,,,,,MNTV
3,,2022-03-01 20:21:02,2022-02-25,MNTV,Cantieri Rebecca,Chief People Officer,A - Grant,$0.00,102682,202708,+103%,+$0,,,,,MNTV
4,,2022-02-22 20:49:22,2022-02-17,MNTV,Blum Lora D,"GC, Secty",S - Sale,$16.12,-3242,93028,-3%,"-$52,266",,,,,MNTV
5,,2022-02-18 17:00:53,2022-02-16,MNTV,Lurie Alexander J,CEO,S - Sale,$15.62,-13018,1032829,-1%,"-$203,341",,,,,MNTV
6,,2022-02-18 17:00:48,2022-02-16,MNTV,Blum Lora D,"GC, Secty",S - Sale,$15.62,-4338,96270,-4%,"-$67,760",,,,,MNTV
7,,2022-02-18 17:00:38,2022-02-16,MNTV,Schoenstein John S,Chief Sales Officer,S - Sale,$15.62,-5989,109323,-5%,"-$93,548",,,,,MNTV
8,,2022-02-18 17:00:30,2022-02-16,MNTV,Coulombe Justin,CFO,S - Sale,$15.62,-3804,91209,-4%,"-$59,418",,,,,MNTV
9,,2022-02-18 17:00:23,2022-02-16,MNTV,Hale Thomas E,Pres,S - Sale,$15.62,-10293,353700,-3%,"-$160,777",,,,,MNTV
10,,2022-02-18 17:00:18,2022-02-16,MNTV,Cantieri Rebecca,Chief People Officer,S - Sale,$15.62,-3850,100026,-4%,"-$60,137",,,,,MNTV
11,,2021-11-24 08:30:22,2021-11-22,MNTV,Blum Lora D,"GC, Secty",A - Grant,$16.25,146,100608,0%,"+$2,373",,,,,MNTV
12,,2021-11-24 08:30:22,2021-11-23,MNTV,Blum Lora D,"GC, Secty",S - Sale,$21.30,-146,100608,0%,"-$3,110",,,,,MNTV
13,,2021-11-24 08:30:19,2021-11-22,MNTV,Coulombe Justin,CFO,A - Grant,$14.48,1247,95013,+1%,"+$18,051",,,,,MNTV
14,,2021-11-24 08:30:17,2021-11-22,MNTV,Cantieri Rebecca,Chief People Officer,A - Grant,$16.25,165,103876,0%,"+$2,682",,,,,MNTV
15,,2021-11-24 08:30:15,2021-11-22,MNTV,Schoenstein John S,Chief Sales Officer,A - Grant,$16.25,607,115312,+1%,"+$9,865",,,,,MNTV
16,,2021-11-18 21:16:01,2021-11-16,MNTV,Schoenstein John S,Chief Sales Officer,S - Sale,$22.82,-7834,114705,-6%,"-$178,772",,,,,MNTV
17,,2021-11-18 21:14:57,2021-11-16,MNTV,Lurie Alexander J,CEO,S - Sale,$22.82,-17678,1045847,-2%,"-$403,412",,,,,MNTV
18,,2021-11-18 21:12:22,2021-11-16,MNTV,Hale Thomas E,Pres,S - Sale,$22.82,-13827,363993,-4%,"-$315,532",,,,,MNTV
