,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-11 14:34:36,2022-03-10,MRUS,Silverman Peter B.,"EVP, GC, Head of Utrecht",M - OptEx,$11.16,60000,0,-100%,"+$669,600",,,,,MRUS
1,D,2022-03-11 14:34:36,2022-03-10,MRUS,Silverman Peter B.,"EVP, GC, Head of Utrecht",S - Sale+OE,$26.95,-60000,0,-100%,"-$1,617,000",,,,,MRUS
2,M,2021-10-08 21:24:34,2021-10-07,MRUS,Bvf Partners L P/il,10%,S - Sale,$27.56,-1132714,232747,-83%,"-$31,222,474",,,,,MRUS
3,D,2021-08-16 09:24:17,2021-08-12,MRUS,De Kruif John,"SVP, CTO",M - OptEx,$0.00,5572,15282,+57%,+$0,,,,,MRUS
4,D,2021-08-16 09:24:17,2021-08-12,MRUS,De Kruif John,"SVP, CTO",S - Sale+OE,$19.34,-2787,15282,-15%,"-$53,901",,,,,MRUS
5,D,2021-08-04 15:56:14,2021-08-02,MRUS,Lundberg Sven Ante,"Pres, CEO, PFO",M - OptEx,$13.37,15000,15000,New,"+$200,474",,,,,MRUS
6,,2021-07-07 16:49:19,2021-07-02,MRUS,Bvf Partners L P/il,10%,S - Sale,$20.75,-2186022,311210,-88%,"-$45,359,957",,,,,MRUS
7,D,2021-07-07 11:35:48,2021-07-02,MRUS,Bakker Lex,"SVP, Chief Development Officer",M - OptEx,$1.93,7000,15668,+81%,"+$13,510",,,,,MRUS
8,,2021-07-06 12:00:55,2021-07-01,MRUS,Bakker Lex,"SVP, Chief Development Officer",S - Sale,$21.05,-3860,8668,-31%,"-$81,242",,,,,MRUS
9,,2021-04-01 17:18:23,2021-03-30,MRUS,Bvf Partners L P/il,10%,P - Purchase,$19.75,300000,462015,+185%,"+$5,925,000",,,,,MRUS
10,,2021-03-29 19:18:26,2021-03-25,MRUS,Lundberg Sven Ante,"Pres, CEO, PFO",G - Gift,$0.00,-74000,111495,-40%,-$0,,,,,MRUS
11,,2021-03-24 17:15:22,2021-03-22,MRUS,Bvf Partners L P/il,10%,P - Purchase,$22.75,79500,3219400,+3%,"+$1,808,625",,,,,MRUS
12,,2021-03-18 18:07:19,2021-03-16,MRUS,Bvf Partners L P/il,10%,P - Purchase,$23.00,250000,427377,+141%,"+$5,749,900",,,,,MRUS
13,D,2021-03-03 16:00:13,2021-03-01,MRUS,Lundberg Sven Ante,"Pres, CEO, PFO",M - OptEx,$13.38,74000,74000,New,"+$989,867",,,,,MRUS
14,,2021-01-25 18:51:00,2021-01-21,MRUS,Bvf Partners L P/il,10%,P - Purchase,$24.75,844680,426206,-202%,"+$20,905,830",,,,,MRUS
15,,2021-01-25 16:48:33,2021-01-25,MRUS,Incyte Corp,10%,A - Grant,$24.75,350000,3550000,+11%,"+$8,662,500",,,,,MRUS
16,D,2021-01-06 16:00:11,2021-01-04,MRUS,Liu Hui,"EVP, CBO, Head of Merus US",M - OptEx,$0.00,578,57931,+1%,+$0,,,,,MRUS
17,D,2021-01-06 16:00:07,2021-01-04,MRUS,Bakker Lex,"SVP, Chief Development Officer",M - OptEx,$0.00,91,5162,+2%,+$0,,,,,MRUS
18,D,2021-01-06 16:00:07,2021-01-04,MRUS,De Kruif John,"SVP, CTO",M - OptEx,$0.00,58,12497,0%,+$0,,,,,MRUS
19,,2020-12-22 19:04:19,2020-12-18,MRUS,Bvf Partners L P/il,10%,P - Purchase,$16.05,160000,2627851,+6%,"+$2,568,000",,,,,MRUS
20,D,2020-12-03 16:00:13,2020-12-01,MRUS,De Kruif John,"SVP, CTO",M - OptEx,$0.00,79,12439,+1%,+$0,,,,,MRUS
21,D,2020-12-03 16:00:09,2020-12-01,MRUS,Bakker Lex,"SVP, Chief Development Officer",M - OptEx,$0.00,108,5071,+2%,+$0,,,,,MRUS
