,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-04 16:55:44,2022-03-04,MSEX,Doll Dennis W,"Pres, CEO",S - Sale,$105.41,-3006,89002,-3%,"-$316,856",,,,,MSEX
1,,2022-03-04 16:55:08,2022-03-04,MSEX,Andreasen G. Christian Jr.,VP-Enterprise Engineering,S - Sale,$105.00,-1000,17665,-5%,"-$105,000",,,,,MSEX
2,,2022-03-04 10:12:06,2022-03-03,MSEX,Reinhard Walter G,Dir,S - Sale,$100.85,-500,7151,-7%,"-$50,427",,,,,MSEX
3,,2021-11-29 13:20:54,2021-11-23,MSEX,McKoy Vaughn L,Dir,A - Grant,$103.90,225,225,New,"+$23,378",,,,,MSEX
4,,2021-11-29 13:19:30,2021-11-23,MSEX,Hanemann Kim C,Dir,A - Grant,$103.90,34,2285,+2%,"+$3,533",,,,,MSEX
5,,2021-11-29 13:17:04,2021-11-23,MSEX,Bershad Joshua,Dir,A - Grant,$103.90,84,136738,0%,"+$8,728",,,,,MSEX
6,,2021-11-18 14:30:01,2021-11-16,MSEX,Ginegaw Lorrie Beth,VP-HR,S - Sale,$106.37,-495,9177,-5%,"-$52,652",,,,,MSEX
7,,2021-11-03 14:03:02,2021-11-03,MSEX,Doll Dennis W,"Pres, CEO",S - Sale,$100.46,-3000,92008,-3%,"-$301,364",,,,,MSEX
8,,2021-09-28 11:26:23,2021-09-27,MSEX,Hanemann Kim C,Dir,S - Sale,$105.47,-1082,2251,-32%,"-$114,115",,,,,MSEX
9,,2021-09-03 14:09:52,2021-09-03,MSEX,Doll Dennis W,"Pres, CEO",S - Sale,$112.56,-3000,95008,-3%,"-$337,683",,,,,MSEX
10,,2021-08-10 12:57:36,2021-08-10,MSEX,Oconnor A Bruce,"SVP, CFO",S - Sale,$105.56,-3000,31029,-9%,"-$316,668",,,,,MSEX
11,,2021-08-09 14:33:17,2021-08-09,MSEX,Sohler Bernadette M,VP-Corporate Affairs,S - Sale,$107.31,-1000,8427,-11%,"-$107,308",,,,,MSEX
12,,2021-08-06 13:41:59,2021-08-06,MSEX,Reinhard Walter G,Dir,S - Sale,$110.18,-300,7651,-4%,"-$33,053",,,,,MSEX
13,,2021-08-06 09:54:56,2021-08-05,MSEX,Doll Dennis W,"Pres, CEO",S - Sale,$106.77,-3000,98008,-3%,"-$320,316",,,,,MSEX
14,,2021-06-17 10:27:17,2021-06-16,MSEX,Sohler Bernadette M,VP-Corporate Affairs,S - Sale,$86.50,-1000,9427,-10%,"-$86,500",,,,,MSEX
15,,2021-06-04 13:33:14,2021-06-04,MSEX,Reinhard Walter G,Dir,S - Sale,$86.17,-300,7951,-4%,"-$25,851",,,,,MSEX
16,,2021-06-03 14:43:19,2021-06-03,MSEX,Doll Dennis W,"Pres, CEO",S - Sale,$85.20,-2500,101008,-2%,"-$212,988",,,,,MSEX
17,,2021-06-02 12:01:25,2021-06-01,MSEX,Oconnor A Bruce,"SVP, CFO",S - Sale,$85.77,-3950,34029,-10%,"-$338,788",,,,,MSEX
18,,2021-05-18 15:38:21,2021-05-18,MSEX,Simpson Georgia M,VP-Information Technology,S - Sale,$80.81,-649,2596,-20%,"-$52,446",,,,,MSEX
19,,2021-04-05 16:32:43,2021-04-01,MSEX,Fullagar Robert K,VP-Operations,F - Tax,$79.02,-577,3160,-15%,"-$45,595",,,,,MSEX
20,,2021-04-05 16:32:11,2021-04-01,MSEX,Oconnor A Bruce,"SVP, CFO",F - Tax,$79.02,-4402,37979,-10%,"-$347,846",,,,,MSEX
21,,2021-04-05 16:31:48,2021-04-01,MSEX,Ginegaw Lorrie Beth,VP-HR,F - Tax,$79.02,-1692,9648,-15%,"-$133,702",,,,,MSEX
22,,2021-04-05 16:31:41,2021-04-01,MSEX,Simpson Georgia M,VP-Information Technology,F - Tax,$79.02,-515,3245,-14%,"-$40,695",,,,,MSEX
23,,2021-04-05 16:30:54,2021-04-01,MSEX,Andreasen G. Christian Jr.,VP-Enterprise Engineering,F - Tax,$79.02,-590,18681,-3%,"-$46,622",,,,,MSEX
24,,2021-04-05 16:30:36,2021-04-01,MSEX,Doll Dennis W,"Pres, CEO",F - Tax,$79.02,-13547,103508,-12%,"-$1,070,484",,,,,MSEX
25,,2021-04-05 16:30:14,2021-04-01,MSEX,Sohler Bernadette M,VP-Corporate Affairs,F - Tax,$79.02,-2315,10427,-18%,"-$182,931",,,,,MSEX
26,,2021-04-01 17:13:40,2021-04-01,MSEX,Reinhard Walter G,Dir,A - Grant,$79.02,443,8251,+6%,"+$35,006",,,,,MSEX
27,,2021-04-01 17:13:06,2021-04-01,MSEX,Klein Steven M,Dir,A - Grant,$79.02,443,7559,+6%,"+$35,006",,,,,MSEX
28,,2021-04-01 17:11:34,2021-04-01,MSEX,Hanemann Kim C,Dir,A - Grant,$79.02,443,3333,+15%,"+$35,006",,,,,MSEX
29,,2021-04-01 17:10:50,2021-04-01,MSEX,Cosgrove James F. Jr.,Dir,A - Grant,$79.02,443,8096,+6%,"+$35,006",,,,,MSEX
30,,2021-04-01 17:10:32,2021-04-01,MSEX,Bershad Joshua,Dir,A - Grant,$79.02,443,136654,0%,"+$35,006",,,,,MSEX
31,,2021-04-01 17:07:33,2021-04-01,MSEX,Noble Ann L.,Dir,A - Grant,$79.02,443,1664,+36%,"+$35,006",,,,,MSEX
32,,2021-04-01 17:07:08,2021-04-01,MSEX,Mansue Amy B.,Dir,A - Grant,$79.02,443,8733,+5%,"+$35,006",,,,,MSEX
33,,2021-03-12 09:19:41,2021-03-05,MSEX,Andreasen G. Christian Jr.,VP-Enterprise Engineering,S - Sale,$72.00,-600,18152,-3%,"-$43,200",,,,,MSEX
34,,2021-03-10 15:36:25,2021-03-10,MSEX,Sohler Bernadette M,VP-Corporate Affairs,S - Sale,$76.93,-503,10515,-5%,"-$38,696",,,,,MSEX
35,,2020-07-14 11:11:42,2020-07-13,MSEX,Fullagar Robert K,VP-Operations,S - Sale,$63.87,-200,2499,-7%,"-$12,773",,,,,MSEX
36,,2020-07-13 12:01:56,2020-07-10,MSEX,Ginegaw Lorrie Beth,VP-HR,S - Sale,$63.11,-850,9428,-8%,"-$53,643",,,,,MSEX
37,,2020-06-30 10:29:34,2020-06-29,MSEX,Oconnor A Bruce,"SVP, CFO",S - Sale,$66.26,-2500,4065,-38%,"-$165,650",,,,,MSEX
38,,2020-06-18 11:14:19,2020-06-17,MSEX,Doll Dennis W,"Pres, CEO",S - Sale,$70.26,-2000,102969,-2%,"-$140,510",,,,,MSEX
39,,2020-05-21 12:45:57,2020-05-21,MSEX,Simpson Georgia M,VP-Information Technology,S - Sale,$62.48,-500,2681,-16%,"-$31,240",,,,,MSEX
40,,2020-05-20 10:54:24,2020-05-19,MSEX,Reinhard Walter G,Dir,S - Sale,$62.24,-550,7808,-7%,"-$34,231",,,,,MSEX
41,,2020-04-07 12:02:50,2020-04-06,MSEX,Sohler Bernadette M,VP-Corporate Affairs,S - Sale,$61.05,-429,10945,-4%,"-$26,190",,,,,MSEX
42,,2020-04-02 16:44:10,2020-04-01,MSEX,Reinhard Walter G,Dir,A - Grant,$60.12,582,8358,+7%,"+$34,990",,,,,MSEX
43,,2020-04-02 16:43:47,2020-04-01,MSEX,Klein Steven M,Dir,A - Grant,$60.12,582,7116,+9%,"+$34,990",,,,,MSEX
44,,2020-04-02 16:42:34,2020-04-01,MSEX,Hanemann Kim C,Dir,A - Grant,$60.12,582,2890,+25%,"+$34,990",,,,,MSEX
45,,2020-04-02 16:42:11,2020-04-01,MSEX,Shein Jeffries,Dir,A - Grant,$60.12,582,335336,0%,"+$34,990",,,,,MSEX
46,,2020-04-02 16:40:26,2020-04-01,MSEX,Cosgrove James F. Jr.,Dir,A - Grant,$60.12,582,7653,+8%,"+$34,990",,,,,MSEX
47,,2020-04-02 16:36:44,2020-04-01,MSEX,Noble Ann L.,Dir,A - Grant,$60.12,582,1208,+93%,"+$34,990",,,,,MSEX
48,,2020-04-02 16:35:23,2020-04-01,MSEX,Mansue Amy B.,Dir,A - Grant,$60.12,582,8290,+8%,"+$34,990",,,,,MSEX
49,,2020-03-10 17:08:03,2020-03-10,MSEX,Oconnor A Bruce,"SVP, CFO",S - Sale,$64.67,-3284,37001,-8%,"-$212,369",,,,,MSEX
50,,2020-01-22 11:29:52,2020-01-21,MSEX,Reinhard Walter G,Dir,S - Sale,$65.93,-500,7776,-6%,"-$32,965",,,,,MSEX
51,,2019-07-09 15:26:16,2019-07-09,MSEX,Fullagar Robert K,VP-Operations,S - Sale,$61.39,-500,2009,-20%,"-$30,695",,,,,MSEX
52,,2019-07-08 14:29:19,2019-07-05,MSEX,Ginegaw Lorrie Beth,VP-HR,S - Sale,$61.48,-650,9288,-7%,"-$39,962",,,,,MSEX
53,,2019-06-12 14:08:18,2019-06-07,MSEX,Reinhard Walter G,Dir,S - Sale,$59.78,-399,8357,-5%,"-$23,853",,,,,MSEX
54,,2019-06-07 14:56:08,2019-06-07,MSEX,Sohler Bernadette M,VP-Corporate Affairs,S - Sale,$60.05,-406,10383,-4%,"-$24,380",,,,,MSEX
55,,2019-05-16 12:51:39,2019-05-16,MSEX,Oconnor A Bruce,"SVP, CFO",S - Sale,$61.06,-1700,40285,-4%,"-$103,802",,,,,MSEX
56,,2019-05-13 16:02:34,2019-05-13,MSEX,Doll Dennis W,"Pres, CEO",S - Sale,$61.33,-3127,99403,-3%,"-$191,779",,,,,MSEX
57,,2019-05-01 11:47:19,2019-04-23,MSEX,Noble Ann L.,Dir,A - Grant,$53.97,521,521,New,"+$28,118",,,,,MSEX
