,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2022-02-15 16:21:28,2022-02-11,ODFL,Maready Kimberly S,"VP - Accounting, Fin. (PAO)",F - Tax,$294.83,-548,9352,-6%,"-$161,566",,,,,ODFL
1,M,2022-02-15 16:20:42,2022-02-11,ODFL,Plemmons Gregory B,SVP - Sales,F - Tax,$294.89,-1654,14238,-10%,"-$487,752",,,,,ODFL
2,M,2022-02-15 16:19:39,2022-02-11,ODFL,Bates David J.,SVP - Operations,F - Tax,$294.92,-1719,15321,-10%,"-$506,969",,,,,ODFL
3,M,2022-02-15 16:17:41,2022-02-11,ODFL,Overbey Cecil E. Jr.,SVP - Strategic Development,F - Tax,$294.92,-1719,21845,-7%,"-$506,969",,,,,ODFL
4,M,2022-02-15 16:17:07,2022-02-11,ODFL,Brooks Christopher T,"SVP - HR, Safety",F - Tax,$294.92,-1719,17007,-9%,"-$506,969",,,,,ODFL
5,M,2022-02-15 16:15:43,2022-02-11,ODFL,Parr Ross H.,"SVP - Legal Affairs, GC, Sec.",F - Tax,$294.92,-1719,18304,-9%,"-$506,969",,,,,ODFL
6,,2022-02-15 16:15:17,2022-02-11,ODFL,Congdon Earl E,"Chair Emeritus, Sr. Advisor",F - Tax,$295.65,-559,2451142,0%,"-$165,268",,,,,ODFL
7,,2022-02-15 16:14:26,2022-02-11,ODFL,Congdon David S,Exec COB,F - Tax,$295.65,-1164,6012461,0%,"-$344,137",,,,,ODFL
8,M,2022-02-15 16:12:49,2022-02-11,ODFL,Freeman Kevin M.,"EVP, COO",F - Tax,$295.14,-3136,29930,-9%,"-$925,555",,,,,ODFL
9,M,2022-02-15 16:11:32,2022-02-11,ODFL,Satterfield Adam N,"CFO, SVP-Finance, Asst. Sec.",F - Tax,$295.12,-2572,33049,-7%,"-$759,055",,,,,ODFL
10,M,2022-02-15 16:10:18,2022-02-11,ODFL,Gantt Greg C,"Pres, CEO",F - Tax,$295.14,-4141,44077,-9%,"-$1,222,158",,,,,ODFL
