,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-04 19:28:06,2022-03-02,PFIE,Tidball Cameron M.,Co-CEO,A - Grant,$1.24,49717,429325,+13%,"+$61,500",,,,,PFIE
1,,2022-03-04 19:28:06,2022-03-04,PFIE,Tidball Cameron M.,Co-CEO,F - Tax,$1.28,-21130,429325,-5%,"-$27,046",,,,,PFIE
2,,2022-03-04 19:24:40,2022-03-02,PFIE,Fisher Patrick David,VP of Product Development,A - Grant,$1.24,16903,125764,+16%,"+$20,909",,,,,PFIE
3,,2022-03-04 19:24:40,2022-03-04,PFIE,Fisher Patrick David,VP of Product Development,F - Tax,$1.28,-6762,125764,-5%,"-$8,655",,,,,PFIE
4,,2022-03-04 19:20:39,2022-03-02,PFIE,Oviatt Ryan W,Co-CEO,A - Grant,$1.24,49717,310628,+19%,"+$61,500",,,,,PFIE
5,,2022-03-04 19:20:39,2022-03-04,PFIE,Oviatt Ryan W,Co-CEO,F - Tax,$1.28,-11435,310628,-4%,"-$14,637",,,,,PFIE
6,,2022-03-04 19:17:10,2022-03-02,PFIE,Hatch Brenton W,"CEO, 10%",A - Grant,$1.24,66289,859560,+8%,"+$81,999",,,,,PFIE
7,,2022-03-04 19:17:10,2022-03-04,PFIE,Hatch Brenton W,"CEO, 10%",F - Tax,$1.28,-23202,859560,-3%,"-$29,699",,,,,PFIE
8,,2022-01-07 19:08:55,2021-12-31,PFIE,Tidball Cameron M.,Co-CEO,F - Tax,$0.00,-12099,400738,-3%,-$0,,,,,PFIE
9,,2022-01-07 19:07:38,2021-12-31,PFIE,Fisher Patrick David,VP of Product Development,F - Tax,$0.00,-3238,115623,-3%,-$0,,,,,PFIE
10,,2022-01-04 18:31:15,2021-12-31,PFIE,Oviatt Ryan W,Co-CEO,F - Tax,$0.00,-3761,272346,-1%,-$0,,,,,PFIE
11,,2021-07-02 17:55:43,2021-06-30,PFIE,Bell Colleen Larkin,Dir,F - Tax,$0.00,-14211,141880,-9%,-$0,,,,,PFIE
12,,2021-06-21 17:31:57,2021-06-16,PFIE,Shaw Daren,Dir,A - Grant,$0.00,63157,456458,+16%,+$0,,,,,PFIE
13,,2021-06-21 17:29:17,2021-06-18,PFIE,Spoehel Ronald R,Dir,A - Grant,$0.00,63157,423622,+18%,+$0,,,,,PFIE
14,,2021-06-21 17:24:15,2021-06-18,PFIE,Bell Colleen Larkin,Dir,A - Grant,$0.00,63157,156091,+68%,+$0,,,,,PFIE
15,,2021-06-08 18:55:29,2021-06-04,PFIE,Oviatt Ryan W,Co-CEO,A - Grant,$0.00,68181,276107,+33%,+$0,,,,,PFIE
16,,2021-06-07 19:29:48,2021-06-04,PFIE,Fisher Patrick David,VP of Product Development,A - Grant,$0.00,15991,118861,+16%,+$0,,,,,PFIE
17,,2021-06-07 19:26:35,2021-06-04,PFIE,Tidball Cameron M.,Co-CEO,A - Grant,$0.00,68181,412837,+20%,+$0,,,,,PFIE
18,,2021-06-07 19:24:16,2021-06-04,PFIE,Fugal Jay Grant,VP of Operations,A - Grant,$0.00,28636,68140,+72%,+$0,,,,,PFIE
19,,2021-03-17 19:15:06,2021-03-15,PFIE,Fisher Patrick David,VP of Product Development,F - Tax,$0.00,-1200,102870,-1%,-$0,,,,,PFIE
20,,2021-03-10 18:51:37,2021-03-08,PFIE,Tidball Cameron M.,Co-CEO,F - Tax,$0.00,-1700,344656,0%,-$0,,,,,PFIE
21,,2021-03-10 18:48:41,2021-03-08,PFIE,Fisher Patrick David,VP of Product Development,F - Tax,$0.00,-600,104070,-1%,-$0,,,,,PFIE
22,,2021-03-10 18:44:16,2021-03-08,PFIE,Fugal Jay Grant,VP of Operations,F - Tax,$0.00,-453,39504,-1%,-$0,,,,,PFIE
23,,2021-02-22 19:21:54,2021-02-18,PFIE,Oviatt Ryan W,Co-CEO,A - Grant,$0.00,18852,207926,+10%,+$0,,,,,PFIE
24,,2021-02-22 19:21:54,2021-02-18,PFIE,Oviatt Ryan W,Co-CEO,F - Tax,$0.00,-2357,207926,-1%,-$0,,,,,PFIE
25,,2021-02-22 19:20:35,2021-02-18,PFIE,Tidball Cameron M.,Co-CEO,A - Grant,$0.00,18852,346356,+6%,+$0,,,,,PFIE
26,,2021-02-22 19:20:35,2021-02-18,PFIE,Tidball Cameron M.,Co-CEO,F - Tax,$0.00,-8013,346356,-2%,-$0,,,,,PFIE
27,M,2021-02-11 18:58:08,2021-02-08,PFIE,Albert Harold,10%,S - Sale,$1.13,-479500,4520500,-10%,"-$541,091",,,,,PFIE
28,,2020-12-31 16:38:25,2020-12-31,PFIE,Tidball Cameron M.,CBDO,F - Tax,$0.00,-2755,335517,-1%,-$0,,,,,PFIE
29,,2020-12-31 16:34:57,2020-12-31,PFIE,Fisher Patrick David,VP of Product Development,F - Tax,$0.00,-1105,104670,-1%,-$0,,,,,PFIE
30,,2020-12-31 16:32:16,2020-12-31,PFIE,Oviatt Ryan W,CFO,F - Tax,$0.00,-1913,191431,-1%,-$0,,,,,PFIE
31,,2020-12-31 16:30:30,2020-12-31,PFIE,Fugal Jay Grant,VP of Operations,F - Tax,$0.00,-799,39957,-2%,-$0,,,,,PFIE
32,,2020-12-01 18:36:56,2020-11-09,PFIE,Albert Harold,10%,S - Sale,$0.79,-113529,5000000,-2%,"-$90,165",,,,,PFIE
33,M,2020-10-15 18:36:16,2020-10-08,PFIE,Albert Harold,10%,S - Sale,$0.75,-81059,5113529,-2%,"-$60,986",,,,,PFIE
34,M,2020-10-07 18:58:20,2020-10-05,PFIE,Albert Harold,10%,S - Sale,$0.75,-77954,5194588,-1%,"-$58,486",,,,,PFIE
35,M,2020-10-06 19:10:18,2020-10-06,PFIE,Albert Harold,10%,S - Sale,$0.00,-23590,272542,-8%,-$0,,,,,PFIE
36,,2020-09-10 17:05:13,2020-09-08,PFIE,Albert Harold,10%,S - Sale,$0.75,-157316,5296132,-3%,"-$117,987",,,,,PFIE
37,,2020-07-07 17:45:43,2020-06-17,PFIE,Shaw Daren,Dir,A - Grant,$0.00,90322,393301,+30%,+$0,,,,,PFIE
38,,2020-06-18 18:33:26,2020-06-17,PFIE,Spoehel Ronald R,Dir,A - Grant,$0.00,90322,360465,+33%,+$0,,,,,PFIE
39,,2020-06-18 18:26:43,2020-06-17,PFIE,Arlen Crouch,Dir,A - Grant,$0.00,90322,370465,+32%,+$0,,,,,PFIE
40,A,2020-03-11 18:31:37,2020-03-04,PFIE,Fugal Jay Grant,VP of Operations,A - Grant,$1.20,21251,40756,+109%,"+$25,501",,,,,PFIE
41,A,2020-03-11 18:31:37,2020-03-04,PFIE,Fugal Jay Grant,VP of Operations,F - Tax,$0.00,-6087,40756,-13%,-$0,,,,,PFIE
42,A,2020-03-11 18:23:07,2020-03-04,PFIE,Hatch Brenton W,"CEO, 10%",A - Grant,$1.20,212512,9022033,+2%,"+$255,014",,,,,PFIE
43,A,2020-03-11 18:23:07,2020-03-04,PFIE,Hatch Brenton W,"CEO, 10%",F - Tax,$0.00,-57379,9022033,-1%,-$0,,,,,PFIE
44,A,2020-03-11 18:19:59,2020-03-04,PFIE,Oviatt Ryan W,CFO,A - Grant,$0.88,63176,193344,+49%,"+$55,784",,,,,PFIE
45,A,2020-03-11 18:19:59,2020-03-04,PFIE,Oviatt Ryan W,CFO,F - Tax,$0.00,-18954,193344,-9%,-$0,,,,,PFIE
46,,2020-03-06 20:14:00,2020-03-04,PFIE,Hatch Brenton W,"CEO, 10%",A - Grant,$1.20,212512,9077286,+2%,"+$255,014",,,,,PFIE
47,,2020-03-06 20:14:00,2020-03-04,PFIE,Hatch Brenton W,"CEO, 10%",F - Tax,$0.00,-2126,9077286,0%,-$0,,,,,PFIE
48,,2020-03-06 20:11:31,2020-03-04,PFIE,Oviatt Ryan W,CFO,A - Grant,$0.88,63176,211666,+43%,"+$55,784",,,,,PFIE
49,,2020-03-06 20:11:31,2020-03-04,PFIE,Oviatt Ryan W,CFO,F - Tax,$0.00,-632,211666,0%,-$0,,,,,PFIE
50,,2020-03-06 20:08:46,2020-03-04,PFIE,Fugal Jay Grant,VP of Operations,A - Grant,$1.20,21251,44390,+92%,"+$25,501",,,,,PFIE
51,,2020-03-06 20:08:46,2020-03-04,PFIE,Fugal Jay Grant,VP of Operations,F - Tax,$0.00,-2453,44390,-5%,-$0,,,,,PFIE
52,,2020-03-06 20:06:22,2020-03-04,PFIE,Tidball Cameron M.,CBDO,A - Grant,$1.20,43511,338272,+15%,"+$52,213",,,,,PFIE
