,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-02-28 13:05:45,2022-02-25,PLBC,North Bj,"EVP, Chief Banking Officer",F - Tax,$39.53,-2125,15181,-12%,"-$84,001",,,,,PLBC
1,D,2022-02-28 13:05:45,2022-02-25,PLBC,North Bj,"EVP, Chief Banking Officer",M - OptEx,$8.75,9600,15181,+172%,"+$84,000",,,,,PLBC
2,D,2022-02-14 18:25:07,2022-02-14,PLBC,Belstock Richard L,"EVP, CFO",M - OptEx,$8.75,3500,51462,+7%,"+$30,625",,,,,PLBC
3,D,2022-02-01 12:55:28,2022-01-31,PLBC,Fletcher Gerald W,Dir,M - OptEx,$6.32,800,37058,+2%,"+$5,056",,,,,PLBC
4,,2022-01-26 19:01:00,2022-01-26,PLBC,Gansert Heidi S,Dir,P - Purchase,$36.25,1250,4382,+40%,"+$45,313",,,,,PLBC
5,,2021-11-15 18:10:41,2021-11-15,PLBC,Gansert Heidi S,Dir,P - Purchase,$36.50,1000,3125,+47%,"+$36,500",,,,,PLBC
6,,2021-11-01 18:23:43,2021-11-01,PLBC,Belstock Richard L,"EVP, CFO",S - Sale,$37.46,-957,47925,-2%,"-$35,853",,,,,PLBC
7,,2021-10-29 16:32:48,2021-10-29,PLBC,Belstock Richard L,"EVP, CFO",S - Sale,$37.45,-615,48882,-1%,"-$23,030",,,,,PLBC
8,M,2021-10-28 18:28:28,2021-10-27,PLBC,Belstock Richard L,"EVP, CFO",S - Sale,$37.39,-428,49497,-1%,"-$16,003",,,,,PLBC
9,D,2021-10-21 13:44:47,2021-10-21,PLBC,Reeson Terrance J,Dir,M - OptEx,$6.32,3200,86031,+4%,"+$20,224",,,,,PLBC
10,D,2021-09-21 12:07:05,2021-09-20,PLBC,Kenny Richard Francis,Dir,M - OptEx,$21.45,233,6707,+4%,"+$4,998",,,,,PLBC
11,,2021-08-03 14:46:52,2021-08-03,PLBC,Gansert Heidi S,Dir,P - Purchase,$31.95,1000,2125,+89%,"+$31,950",,,,,PLBC
12,D,2021-08-03 13:47:48,2021-08-02,PLBC,North Bj,"EVP, Chief Banking Officer",F - Tax,$32.04,-1894,7706,-20%,"-$60,684",,,,,PLBC
13,D,2021-08-03 13:47:48,2021-08-02,PLBC,North Bj,"EVP, Chief Banking Officer",M - OptEx,$6.32,9600,7706,-507%,"+$60,672",,,,,PLBC
14,,2021-07-30 17:40:33,2021-07-30,PLBC,Ascuaga Michonne R.,Dir,P - Purchase,$31.83,838,4041,+26%,"+$26,674",,,,,PLBC
15,D,2021-07-30 14:24:47,2021-07-29,PLBC,Ryback Andrew J,"Pres, CEO",M - OptEx,$8.75,2500,69640,+4%,"+$21,875",,,,,PLBC
16,D,2021-06-01 11:52:48,2021-06-01,PLBC,Belstock Richard L,"EVP, CFO",M - OptEx,$8.75,1500,49887,+3%,"+$13,125",,,,,PLBC
17,D,2021-01-29 18:32:56,2021-01-29,PLBC,Ryback Andrew J,"Pres, CEO",M - OptEx,$8.75,2500,66319,+4%,"+$21,875",,,,,PLBC
18,D,2021-01-04 12:04:30,2021-01-04,PLBC,Belstock Richard L,"EVP, CFO",M - OptEx,$6.32,3000,48271,+7%,"+$18,960",,,,,PLBC
19,D,2020-09-23 13:19:15,2020-09-22,PLBC,Ryback Andrew J,"Pres, CEO",M - OptEx,$8.75,2500,63676,+4%,"+$21,875",,,,,PLBC
20,,2020-06-01 11:47:34,2020-05-28,PLBC,Coldani Steven M.,Dir,P - Purchase,$18.90,826,16802,+5%,"+$15,614",,,,,PLBC
21,,2020-05-28 15:20:24,2020-05-27,PLBC,Ascuaga Michonne R.,Dir,P - Purchase,$19.43,1079,3203,+51%,"+$20,961",,,,,PLBC
22,AD,2020-04-23 19:37:04,2019-10-29,PLBC,Ryback Andrew J,"Pres, CEO",M - OptEx,$7.13,3000,57425,+6%,"+$21,390",,,,,PLBC
23,D,2020-04-23 19:08:45,2020-04-23,PLBC,Ryback Andrew J,"Pres, CEO",M - OptEx,$8.75,2500,60729,+4%,"+$21,875",,,,,PLBC
24,,2020-03-02 10:55:41,2020-02-28,PLBC,Ascuaga Michonne R.,Dir,P - Purchase,$25.67,101,2124,+5%,"+$2,593",,,,,PLBC
25,D,2020-02-27 15:25:14,2020-02-27,PLBC,Belstock Richard L,"EVP, CFO",M - OptEx,$6.32,3050,45091,+7%,"+$19,276",,,,,PLBC
26,,2020-02-25 14:59:18,2020-02-24,PLBC,Ascuaga Michonne R.,Dir,P - Purchase,$27.33,475,2023,+31%,"+$12,982",,,,,PLBC
27,D,2019-11-20 18:53:47,2019-11-20,PLBC,West Daniel E,Dir,M - OptEx,$6.32,3200,62550,+5%,"+$20,224",,,,,PLBC
28,,2019-11-01 12:44:48,2019-10-30,PLBC,Gansert Heidi S,Dir,P - Purchase,$22.25,1125,1125,New,"+$25,031",,,,,PLBC
29,M,2019-11-01 12:16:19,2019-07-24,PLBC,Ascuaga Michonne R.,Dir,P - Purchase,$24.14,1548,1548,New,"+$37,368",,,,,PLBC
30,D,2019-10-29 14:38:11,2019-10-29,PLBC,Ryback Andrew J,"Pres, CEO",M - OptEx,$7.13,3000,57425,+6%,"+$21,390",,,,,PLBC
31,,2019-10-22 15:33:51,2019-10-21,PLBC,Kenny Richard Francis,Dir,P - Purchase,$21.60,1158,6474,+22%,"+$25,013",,,,,PLBC
32,,2019-07-29 17:19:04,2019-07-26,PLBC,Moore Jeffrey T.,"EVP, CCO",P - Purchase,$24.93,1000,1000,New,"+$24,930",,,,,PLBC
33,,2019-07-25 18:30:01,2019-07-24,PLBC,Kenny Richard Francis,Dir,P - Purchase,$24.80,1004,5316,+23%,"+$24,899",,,,,PLBC
34,,2019-05-20 09:04:34,2019-05-17,PLBC,North Bj,"EVP, Chief Banking Officer",S - Sale,$24.84,-6400,0,-100%,"-$158,954",,,,,PLBC
35,D,2019-04-30 19:28:30,2019-04-30,PLBC,Elliott William E,Dir,F - Tax,$26.15,-765,75600,-1%,"-$20,005",,,,,PLBC
36,D,2019-04-30 19:28:30,2019-04-30,PLBC,Elliott William E,Dir,M - OptEx,$6.32,3165,75600,+4%,"+$20,003",,,,,PLBC
37,D,2019-04-22 17:44:31,2019-04-22,PLBC,Belstock Richard L,"EVP, CFO",F - Tax,$25.94,-865,41849,-2%,"-$22,438",,,,,PLBC
38,D,2019-04-22 17:44:31,2019-04-22,PLBC,Belstock Richard L,"EVP, CFO",M - OptEx,$6.32,3550,41849,+9%,"+$22,436",,,,,PLBC
39,D,2019-03-12 14:55:18,2019-02-28,PLBC,Wilson Kerry Dale,"EVP, CCO",M - OptEx,$7.94,7200,34937,+26%,"+$57,168",,,,,PLBC
40,A,2019-03-05 17:41:50,2018-11-30,PLBC,McClintock Robert J,Dir,P - Purchase,$23.37,815,102772,+1%,"+$19,051",,,,,PLBC
41,AM,2019-03-05 17:40:04,2018-08-30,PLBC,McClintock Robert J,Dir,P - Purchase,$26.37,676,101957,+1%,"+$17,828",,,,,PLBC
42,AD,2019-03-05 17:38:25,2018-04-30,PLBC,McClintock Robert J,Dir,M - OptEx,$6.32,800,152139,+1%,"+$5,056",,,,,PLBC
43,D,2019-03-05 17:35:41,2018-04-02,PLBC,McClintock Robert J,Dir,M - OptEx,$8.75,800,100481,+1%,"+$7,000",,,,,PLBC
44,,2019-02-05 15:33:55,2019-02-04,PLBC,Elliott William E,Dir,S - Sale,$24.56,-1000,73200,-1%,"-$24,565",,,,,PLBC
45,D,2018-12-19 18:47:45,2018-12-19,PLBC,Elliott William E,Dir,M - OptEx,$2.95,3200,74200,+5%,"+$9,440",,,,,PLBC
46,D,2018-12-19 18:45:26,2018-12-19,PLBC,West Daniel E,Dir,M - OptEx,$2.95,3200,59350,+6%,"+$9,440",,,,,PLBC
47,,2018-12-03 14:33:11,2018-11-30,PLBC,McClintock Robert J,Dir,P - Purchase,$23.37,815,101172,+1%,"+$19,051",,,,,PLBC
48,,2018-11-29 14:56:11,2018-11-28,PLBC,Kenny Richard Francis,Dir,P - Purchase,$23.50,1059,4312,+33%,"+$24,887",,,,,PLBC
49,D,2018-11-19 19:40:55,2018-11-19,PLBC,Ryback Andrew J,"Pres, CEO",M - OptEx,$6.32,1400,54796,+3%,"+$8,848",,,,,PLBC
50,D,2018-11-19 19:40:55,2018-11-16,PLBC,Ryback Andrew J,"Pres, CEO",P - Purchase,$26.22,600,54796,+1%,"+$15,732",,,,,PLBC
51,,2018-11-14 18:13:27,2018-11-13,PLBC,Kenny Richard Francis,Dir,P - Purchase,$26.28,953,3253,+41%,"+$25,045",,,,,PLBC
