,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-15 15:30:51,2022-03-13,RUTH,Chipman Kristy,"EVP, CFO, COO",F - Tax,$22.22,-86,82251,0%,"-$1,911",,,,,RUTH
1,,2022-03-15 15:30:38,2022-03-13,RUTH,Mirdamadi Susan,"EVP, Chief Admin Officer",F - Tax,$22.22,-4640,104571,-4%,"-$103,101",,,,,RUTH
2,,2022-03-15 15:30:24,2022-03-13,RUTH,Lynch Marcy Norwood,SVP-GC,F - Tax,$22.22,-240,45115,-1%,"-$5,333",,,,,RUTH
3,,2022-03-15 15:30:17,2022-03-13,RUTH,Hyatt David,Chief People Officer,F - Tax,$22.22,-1514,34374,-4%,"-$33,641",,,,,RUTH
4,,2022-03-15 15:30:11,2022-03-13,RUTH,Henry Cheryl Janet,"Pres, CEO",F - Tax,$22.22,-19946,652565,-3%,"-$443,200",,,,,RUTH
5,M,2022-03-01 15:30:43,2022-02-28,RUTH,Baglivo Mary,Dir,A - Grant,$0.00,4644,27953,+20%,+$0,,,,,RUTH
6,M,2022-03-01 15:30:35,2022-02-28,RUTH,King Stephen M,Dir,A - Grant,$0.00,4665,23719,+24%,+$0,,,,,RUTH
7,M,2022-03-01 15:30:25,2022-02-28,RUTH,Odonnell Michael P,Dir,A - Grant,$0.00,4612,856513,+1%,+$0,,,,,RUTH
8,M,2022-03-01 15:30:12,2022-02-28,RUTH,Alvarez Giannella,Dir,A - Grant,$0.00,4639,34307,+16%,+$0,,,,,RUTH
9,D,2022-03-01 15:00:56,2022-02-28,RUTH,Chipman Kristy,"EVP, CFO, COO",A - Grant,$0.00,28680,82337,+53%,+$0,,,,,RUTH
10,D,2022-03-01 15:00:44,2022-02-28,RUTH,Hyatt David,Chief People Officer,A - Grant,$0.00,9840,35888,+38%,+$0,,,,,RUTH
11,D,2022-03-01 15:00:39,2022-02-28,RUTH,Lynch Marcy Norwood,SVP-GC,A - Grant,$0.00,17911,45355,+65%,+$0,,,,,RUTH
12,,2022-03-01 15:00:29,2022-02-28,RUTH,Cooper Carla,Dir,A - Grant,$0.00,4585,56237,+9%,+$0,,,,,RUTH
13,D,2022-03-01 15:00:27,2022-02-28,RUTH,Mirdamadi Susan,"EVP, Chief Admin Officer",A - Grant,$0.00,6852,109211,+7%,+$0,,,,,RUTH
14,D,2022-03-01 15:00:27,2022-02-25,RUTH,Mirdamadi Susan,"EVP, Chief Admin Officer",S - Sale+OE,$24.00,-15000,109211,-12%,"-$360,000",,,,,RUTH
15,D,2022-03-01 15:00:23,2022-02-28,RUTH,Henry Cheryl Janet,"Pres, CEO",A - Grant,$0.00,96641,672511,+17%,+$0,,,,,RUTH
16,,2022-03-01 15:00:21,2022-02-28,RUTH,Perry Marie,Dir,A - Grant,$0.00,4585,20965,+28%,+$0,,,,,RUTH
17,,2022-03-01 15:00:16,2022-02-28,RUTH,Selati Robin P,Dir,A - Grant,$0.00,4585,28521,+19%,+$0,,,,,RUTH
18,,2022-02-15 15:00:13,2022-02-11,RUTH,Mirdamadi Susan,"EVP, Chief Admin Officer",S - Sale,$23.00,-15000,117359,-11%,"-$345,000",,,,,RUTH
