,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,E,2022-01-31 11:22:28,2021-11-02,SIMP,Sol Global Investments Corp.,10%,P - Purchase,$3.16,2101606,1263632,-251%,"+$6,646,418",,,,,SIMP
1,E,2022-01-31 11:22:28,2021-11-02,SIMP,Sol Global Investments Corp.,10%,S - Sale,$3.16,-2101606,1263632,-62%,"-$6,646,418",,,,,SIMP
2,,2021-11-03 17:06:14,2021-11-01,SIMP,Voigt Reinier,"Pres, CEO",A - Grant,$0.00,300000,427668,+235%,+$0,,,,,SIMP
3,,2021-11-03 17:03:30,2021-11-01,SIMP,Taylor Kevin,Chairman of the Board,A - Grant,$0.00,175000,297463,+143%,+$0,,,,,SIMP
4,,2021-11-03 17:01:54,2021-11-01,SIMP,Galloro Michael,Dir,A - Grant,$0.00,175000,307891,+132%,+$0,,,,,SIMP
5,,2021-10-08 10:48:05,2021-09-29,SIMP,Sol Verano Blocker 1 LLC,10%,P - Purchase,$3.75,133334,1877412,+8%,"+$500,003",,,,,SIMP
6,,2021-09-15 16:31:16,2021-09-13,SIMP,Sol Verano Blocker 1 LLC,10%,P - Purchase,$4.14,120773,1744078,+7%,"+$500,000",,,,,SIMP
7,M,2021-09-13 20:39:05,2021-09-02,SIMP,Sol Verano Blocker 1 LLC,10%,P - Purchase,$3.11,321420,1494935,+27%,"+$1,000,001",,,,,SIMP
8,EM,2021-09-08 13:06:43,2021-08-31,SIMP,Sol Verano Blocker 1 LLC,10%,P - Purchase,$4.20,378479,924604,+69%,"+$1,589,922",,,,,SIMP
9,,2021-01-06 21:55:42,2021-01-05,SIMP,Voigt Reinier,"Pres, CEO",S - Sale,$3.17,-10365,130853,-7%,"-$32,849",,,,,SIMP
10,A,2021-01-06 21:46:45,2018-09-13,AWSM,Voigt Reinier,COO,A - Grant,$3.53,31869,31869,New,"+$112,498",,,,,SIMP
11,,2020-06-05 12:06:26,2020-06-03,AWSM,Galloro Michael,Dir,A - Grant,$0.00,1278904,1807808,+242%,+$0,,,,,SIMP
12,,2020-06-05 12:04:34,2020-06-03,AWSM,Galloro Michael,Dir,A - Grant,$0.00,1278904,1807808,+242%,+$0,,,,,SIMP
13,,2020-06-05 12:01:04,2020-06-03,AWSM,Taylor Kevin,Chairman of the Board,A - Grant,$0.00,1599250,1224625,-427%,+$0,,,,,SIMP
14,,2020-06-05 11:44:37,2020-06-03,AWSM,Voigt Reinier,"Pres, CEO",A - Grant,$0.00,1250000,1380308,+959%,+$0,,,,,SIMP
15,,2019-05-15 19:16:47,2019-05-13,AWSM,Voigt Reinier,COO,A - Grant,$2.60,40000,130308,+44%,"+$104,000",,,,,SIMP
16,,2019-05-15 19:13:03,2019-05-13,AWSM,Rezk Carlos Felipe,"Chief Sales, Mktg Officer",A - Grant,$2.60,250000,777704,+47%,"+$650,000",,,,,SIMP
17,,2019-05-15 19:10:15,2019-05-13,AWSM,Loforti Vernon A,VP,A - Grant,$2.60,40000,40000,New,"+$104,000",,,,,SIMP
18,,2019-05-15 19:07:52,2019-05-13,AWSM,Galloro Michael,Dir,A - Grant,$2.60,50000,50000,New,"+$130,000",,,,,SIMP
19,,2019-05-15 19:05:09,2019-05-13,AWSM,Diaz Mauricio,"CEO, COB",A - Grant,$2.60,250000,841034,+42%,"+$650,000",,,,,SIMP
