,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-16 17:24:28,2022-03-15,SND,Speaker Andrew R,SEE REMARKS,S - Sale,$2.78,-50000,989187,-5%,"-$139,000",,,,,SND
1,M,2022-03-15 16:02:43,2022-03-11,SND,Speaker Andrew R,SEE REMARKS,S - Sale,$3.06,-100000,1039187,-9%,"-$306,000",,,,,SND
2,M,2022-03-15 09:12:06,2022-03-11,SND,Young James Douglas,SEE REMARKS,S - Sale,$3.18,-34008,125794,-21%,"-$108,029",,,,,SND
3,,2022-02-18 16:23:59,2022-02-16,SND,Young Charles Edwin,"CEO, 10%",A - Grant,$0.00,52083,6566948,+1%,+$0,,,,,SND
4,,2022-02-18 16:23:59,2022-02-16,SND,Young Charles Edwin,"CEO, 10%",F - Tax,$2.20,-14677,6566948,0%,"-$32,289",,,,,SND
5,,2022-02-18 16:22:30,2022-02-16,SND,Beckelman Lee E,CFO,A - Grant,$0.00,29762,434497,+7%,+$0,,,,,SND
6,,2022-02-18 16:22:30,2022-02-16,SND,Beckelman Lee E,CFO,F - Tax,$2.20,-8825,434497,-2%,"-$19,415",,,,,SND
7,,2022-02-18 16:20:44,2022-02-16,SND,Young William John,COO,A - Grant,$0.00,29762,305495,+11%,+$0,,,,,SND
8,,2022-02-18 16:20:44,2022-02-16,SND,Young William John,COO,F - Tax,$2.20,-10054,305495,-3%,"-$22,119",,,,,SND
9,,2022-02-18 16:19:17,2022-02-16,SND,Young James Douglas,SEE REMARKS,A - Grant,$0.00,19841,159802,+14%,+$0,,,,,SND
10,,2022-02-18 16:19:17,2022-02-16,SND,Young James Douglas,SEE REMARKS,F - Tax,$2.20,-6504,159802,-4%,"-$14,309",,,,,SND
11,,2022-02-18 16:16:52,2022-02-16,SND,Whelan Ronald P,SEE REMARKS,A - Grant,$0.00,19841,215721,+10%,+$0,,,,,SND
12,,2022-02-18 16:16:52,2022-02-16,SND,Whelan Ronald P,SEE REMARKS,F - Tax,$2.20,-6786,215721,-3%,"-$14,929",,,,,SND
13,,2022-01-03 16:00:41,2021-12-31,SND,Shearer Richard J,Pres-Industrial Products,F - Tax,$1.78,-14611,35389,-29%,"-$26,008",,,,,SND
14,,2021-12-21 20:41:14,2021-12-20,SND,"Clearlake Capital Group, L.P.","Dir, 10%",S - Sale,$1.88,-167779,10752666,-2%,"-$316,196",,,,,SND
15,,2021-12-20 16:07:56,2021-12-18,SND,Young Charles Edwin,"CEO, 10%",F - Tax,$1.78,-12683,6529542,0%,"-$22,576",,,,,SND
16,,2021-12-20 16:06:54,2021-12-18,SND,Beckelman Lee E,CFO,F - Tax,$1.78,-7248,413560,-2%,"-$12,901",,,,,SND
17,,2021-12-20 16:05:55,2021-12-18,SND,Young William John,COO,F - Tax,$1.78,-8477,285787,-3%,"-$15,089",,,,,SND
18,,2021-12-20 16:05:01,2021-12-18,SND,Young James Douglas,SEE REMARKS,F - Tax,$1.78,-5453,146465,-4%,"-$9,706",,,,,SND
19,,2021-12-20 16:04:15,2021-12-18,SND,Whelan Ronald P,SEE REMARKS,F - Tax,$1.78,-5735,202666,-3%,"-$10,208",,,,,SND
20,,2021-12-20 16:01:44,2021-12-18,SND,Kiszka Robert,EVP of Operations,F - Tax,$1.78,-5652,731867,-1%,"-$10,061",,,,,SND
21,,2021-10-07 16:06:31,2021-09-27,SND,Shearer Richard J,Pres-Industrial Products,A - Grant,$0.00,50000,50000,New,+$0,,,,,SND
22,,2021-08-03 09:12:36,2021-07-30,SND,Feliciano Jose Enrique,"Dir, 10%",A - Grant,$0.00,47703,10968148,0%,+$0,,,,,SND
23,,2021-08-03 09:08:31,2021-07-30,SND,Speaker Andrew R,SEE REMARKS,A - Grant,$0.00,47703,1139187,+4%,+$0,,,,,SND
