,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-14 16:25:12,2022-03-11,SNEX,Perkins Abigail H,CIO,P - Purchase,$71.75,1000,4403,+29%,"+$71,752",,,,,SNEX
1,M,2022-03-10 16:21:00,2022-03-08,SNEX,Stevens Glenn Henry,Head-Retail & Foreign Exchange,P - Purchase,$70.14,5000,37767,+15%,"+$350,690",,,,,SNEX
2,,2022-03-09 18:15:59,2022-03-08,SNEX,Rotsztain Diego,"Chief Governance, Legal Office",P - Purchase,$66.24,750,8343,+10%,"+$49,682",,,,,SNEX
3,,2022-03-07 16:46:38,2022-03-04,SNEX,Radziwill John,COB,A - Grant,$0.00,1317,461675,0%,+$0,,,,,SNEX
4,,2022-03-07 16:46:21,2022-03-04,SNEX,Fowler John Moore,Dir,A - Grant,$0.00,1317,56410,+2%,+$0,,,,,SNEX
5,,2022-03-07 16:46:04,2022-03-04,SNEX,Cooper Diane L.,Dir,A - Grant,$0.00,1317,6674,+25%,+$0,,,,,SNEX
6,,2022-03-07 16:45:46,2022-03-04,SNEX,Thamodaran Dhamu R.,Dir,A - Grant,$0.00,1317,12059,+12%,+$0,,,,,SNEX
7,,2022-03-07 16:45:23,2022-03-04,SNEX,Parthemore Eric,Dir,A - Grant,$0.00,1317,16967,+8%,+$0,,,,,SNEX
8,,2022-03-07 16:44:57,2022-03-04,SNEX,Bexiga Annabelle G,Dir,A - Grant,$0.00,1317,4424,+42%,+$0,,,,,SNEX
9,,2022-03-07 16:44:38,2022-03-04,SNEX,Branch Scott J,Dir,A - Grant,$0.00,1317,838350,0%,+$0,,,,,SNEX
10,,2022-03-07 16:44:17,2022-03-04,SNEX,Kass Steven A,Dir,A - Grant,$0.00,1317,11255,+13%,+$0,,,,,SNEX
11,,2022-02-15 18:02:42,2022-02-14,SNEX,Smith Philip Andrew,CEO - subsidiary entity,S - Sale,$73.48,-6000,154243,-4%,"-$440,890",,,,,SNEX
12,,2022-02-09 16:54:59,2022-02-08,SNEX,Schroeder Aaron,Chief Accounting Officer,S - Sale,$73.67,-1899,14708,-11%,"-$139,895",,,,,SNEX
13,,2022-02-09 16:54:25,2022-02-08,SNEX,Parthemore Eric,Dir,S - Sale,$72.50,-5000,15650,-24%,"-$362,500",,,,,SNEX
14,,2022-02-01 16:21:22,2022-01-31,SNEX,Radziwill John,COB,A - Grant,$0.00,235,460358,0%,+$0,,,,,SNEX
15,,2022-02-01 16:21:01,2022-01-31,SNEX,Cooper Diane L.,Dir,A - Grant,$0.00,157,5357,+3%,+$0,,,,,SNEX
16,,2022-02-01 16:20:45,2022-01-31,SNEX,Fowler John Moore,Dir,A - Grant,$0.00,125,55093,0%,+$0,,,,,SNEX
17,,2022-02-01 16:20:23,2022-01-31,SNEX,Thamodaran Dhamu R.,Dir,A - Grant,$0.00,157,10742,+1%,+$0,,,,,SNEX
18,,2022-02-01 16:19:56,2022-01-31,SNEX,Krehbiel Bruce,Dir,A - Grant,$0.00,157,30299,+1%,+$0,,,,,SNEX
19,,2022-02-01 16:19:37,2022-01-31,SNEX,Kass Steven A,Dir,A - Grant,$0.00,188,9938,+2%,+$0,,,,,SNEX
20,,2022-02-01 16:19:18,2022-01-31,SNEX,Parthemore Eric,Dir,A - Grant,$0.00,188,20650,+1%,+$0,,,,,SNEX
21,,2021-12-23 16:05:49,2021-12-22,SNEX,Perkins Abigail H,CIO,P - Purchase,$59.30,1250,3403,+58%,"+$74,124",,,,,SNEX
22,,2021-12-22 16:34:21,2021-12-20,SNEX,Rotsztain Diego,"Chief Governance, Legal Office",P - Purchase,$57.00,877,7593,+13%,"+$49,989",,,,,SNEX
23,,2021-12-22 16:33:56,2021-12-20,SNEX,Stevens Glenn Henry,Head-Retail & Foreign Exchange,P - Purchase,$57.48,1500,32767,+5%,"+$86,217",,,,,SNEX
24,,2021-12-17 17:20:23,2021-12-15,SNEX,Oconnor Sean Michael,"CEO, Pres",A - Grant,$0.00,12144,1213383,+1%,+$0,,,,,SNEX
25,,2021-12-17 17:19:59,2021-12-15,SNEX,Nguyen Xuong,COO,A - Grant,$0.00,6099,69404,+10%,+$0,,,,,SNEX
26,D,2021-12-17 17:19:32,2021-12-15,SNEX,Perkins Abigail H,CIO,A - Grant,$0.00,1353,2153,+169%,+$0,,,,,SNEX
27,D,2021-12-17 17:19:10,2021-12-15,SNEX,Stevens Glenn Henry,Head-Retail & Foreign Exchange,A - Grant,$0.00,6267,31267,+25%,+$0,,,,,SNEX
28,D,2021-12-17 17:18:48,2021-12-15,SNEX,Rotsztain Diego,"Chief Governance, Legal Office",A - Grant,$0.00,2294,6716,+52%,+$0,,,,,SNEX
29,,2021-12-17 17:18:24,2021-12-15,SNEX,Maurer Mark Lowry,Chief Risk Officer,A - Grant,$0.00,5427,31122,+21%,+$0,,,,,SNEX
30,,2021-12-17 17:17:54,2021-12-15,SNEX,Schroeder Aaron,Chief Accounting Officer,A - Grant,$0.00,1297,16607,+8%,+$0,,,,,SNEX
31,,2021-12-17 17:17:31,2021-12-15,SNEX,Smith Philip Andrew,CEO - subsidiary entity,A - Grant,$0.00,6771,160243,+4%,+$0,,,,,SNEX
32,,2021-12-17 17:17:02,2021-12-15,SNEX,Lyon Charles M,Executive VP - subsidiary,A - Grant,$0.00,6771,37050,+22%,+$0,,,,,SNEX
33,,2021-12-17 17:16:45,2021-12-15,SNEX,Dunaway William J,CFO,A - Grant,$0.00,5427,63748,+9%,+$0,,,,,SNEX
34,,2021-12-16 09:03:50,2021-12-15,SNEX,Maurer Mark Lowry,Chief Risk Officer,S - Sale,$60.66,-4000,25695,-13%,"-$242,632",,,,,SNEX
35,,2021-12-14 16:53:11,2021-12-10,SNEX,Stevens Glenn Henry,Head-Retail & Foreign Exchange,P - Purchase,$59.92,2500,25000,+11%,"+$149,789",,,,,SNEX
36,DM,2021-12-13 16:29:00,2021-12-09,SNEX,Smith Philip Andrew,CEO - subsidiary entity,M - OptEx,$25.91,15000,153472,+11%,"+$388,650",,,,,SNEX
37,DM,2021-12-13 16:29:00,2021-12-09,SNEX,Smith Philip Andrew,CEO - subsidiary entity,S - Sale+OE,$60.78,-15000,153472,-9%,"-$911,639",,,,,SNEX
38,D,2021-12-13 16:28:43,2021-12-10,SNEX,Dunaway William J,CFO,M - OptEx,$25.91,13332,58321,+30%,"+$345,432",,,,,SNEX
39,D,2021-12-13 16:28:43,2021-12-10,SNEX,Dunaway William J,CFO,S - Sale+OE,$59.91,-13332,58321,-19%,"-$798,756",,,,,SNEX
40,DM,2021-12-10 16:39:52,2021-12-08,SNEX,Dunaway William J,CFO,M - OptEx,$25.91,26668,58321,+84%,"+$690,968",,,,,SNEX
41,DM,2021-12-10 16:39:52,2021-12-08,SNEX,Dunaway William J,CFO,S - Sale+OE,$62.62,-26668,58321,-31%,"-$1,669,822",,,,,SNEX
42,,2021-12-10 16:39:24,2021-12-09,SNEX,Thamodaran Dhamu R.,Dir,P - Purchase,$63.05,5000,10585,+90%,"+$315,250",,,,,SNEX
43,,2021-12-09 16:38:10,2021-12-08,SNEX,Branch Scott J,Dir,G - Gift,$0.00,-6500,837033,-1%,-$0,,,,,SNEX
44,,2021-12-08 16:23:44,2021-12-06,SNEX,Stevens Glenn Henry,Head-Retail & Foreign Exchange,P - Purchase,$64.02,2500,22500,+13%,"+$160,052",,,,,SNEX
45,,2021-12-07 16:44:11,2021-12-03,SNEX,Thamodaran Dhamu R.,Dir,P - Purchase,$61.25,5000,5585,+855%,"+$306,250",,,,,SNEX
46,D,2021-12-06 16:50:31,2021-12-02,SNEX,Smith Philip Andrew,CEO - subsidiary entity,M - OptEx,$25.91,5000,153472,+3%,"+$129,550",,,,,SNEX
47,,2021-12-06 16:50:13,2021-12-02,SNEX,Rotsztain Diego,"Chief Governance, Legal Office",P - Purchase,$62.02,1214,4422,+38%,"+$75,294",,,,,SNEX
48,,2021-11-05 16:33:26,2021-11-03,SNEX,Smith Philip Andrew,CEO - subsidiary entity,S - Sale,$72.00,-3000,148472,-2%,"-$216,006",,,,,SNEX
49,,2021-11-02 16:08:44,2021-10-29,SNEX,Kass Steven A,Dir,A - Grant,$0.00,175,9750,+2%,+$0,,,,,SNEX
50,,2021-11-02 16:08:04,2021-10-29,SNEX,Parthemore Eric,Dir,A - Grant,$0.00,175,20462,+1%,+$0,,,,,SNEX
51,,2021-11-02 16:07:35,2021-10-29,SNEX,Radziwill John,COB,A - Grant,$0.00,218,460123,0%,+$0,,,,,SNEX
52,,2021-11-02 16:07:08,2021-10-29,SNEX,Fowler John Moore,Dir,A - Grant,$0.00,122,54968,0%,+$0,,,,,SNEX
53,,2021-11-02 16:06:44,2021-10-29,SNEX,Krehbiel Bruce,Dir,A - Grant,$0.00,146,30142,0%,+$0,,,,,SNEX
54,,2021-10-27 16:26:30,2021-10-26,SNEX,Harrod Patricia Marie,Retired Officer,S - Sale,$71.08,-4221,12066,-26%,"-$300,044",,,,,SNEX
55,D,2021-10-25 16:17:36,2021-10-21,SNEX,Dunaway William J,CFO,M - OptEx,$25.91,3583,58321,+7%,"+$92,836",,,,,SNEX
56,D,2021-10-25 16:17:36,2021-10-21,SNEX,Dunaway William J,CFO,S - Sale+OE,$70.03,-3583,58321,-6%,"-$250,901",,,,,SNEX
57,D,2021-10-20 16:32:50,2021-10-18,SNEX,Dunaway William J,CFO,M - OptEx,$25.91,5822,58321,+11%,"+$150,848",,,,,SNEX
58,D,2021-10-20 16:32:50,2021-10-18,SNEX,Dunaway William J,CFO,S - Sale+OE,$70.00,-5822,58321,-9%,"-$407,546",,,,,SNEX
59,DM,2021-10-18 16:52:23,2021-10-14,SNEX,Oconnor Sean Michael,"CEO, Pres",M - OptEx,$25.91,4481,1202139,0%,"+$116,103",,,,,SNEX
60,DM,2021-10-18 16:52:23,2021-10-14,SNEX,Oconnor Sean Michael,"CEO, Pres",S - Sale+OE,$68.81,-3227,1202139,0%,"-$222,055",,,,,SNEX
61,DM,2021-10-14 16:46:49,2021-10-12,SNEX,Oconnor Sean Michael,"CEO, Pres",M - OptEx,$25.91,6894,1200885,+1%,"+$178,624",,,,,SNEX
62,DM,2021-10-14 16:46:49,2021-10-12,SNEX,Oconnor Sean Michael,"CEO, Pres",S - Sale+OE,$68.07,-4946,1200885,0%,"-$336,698",,,,,SNEX
63,D,2021-10-12 17:16:00,2021-10-08,SNEX,Dunaway William J,CFO,M - OptEx,$25.91,4035,58321,+7%,"+$104,547",,,,,SNEX
64,D,2021-10-12 17:16:00,2021-10-08,SNEX,Dunaway William J,CFO,S - Sale+OE,$70.00,-4035,58321,-6%,"-$282,450",,,,,SNEX
