,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-14 12:35:47,2022-03-11,SSB,Horger Robert R,Dir,D - Sale to issuer,$0.00,-35000,73700,-32%,-$0,,,,,SSB
1,,2022-03-10 13:53:47,2022-03-08,SSB,Lapointe Greg A,Chief Banking Officer,S - Sale,$82.15,-1470,18240,-7%,"-$120,761",,,,,SSB
2,,2022-02-28 18:37:24,2022-02-28,SSB,Pinner Ernest S,Dir,S - Sale,$89.20,-3000,40597,-7%,"-$267,600",,,,,SSB
3,,2022-02-28 13:31:40,2022-02-28,SSB,Pinner Ernest S,Dir,S - Sale,$90.00,-1111,43597,-2%,"-$99,990",,,,,SSB
4,,2022-02-22 16:43:20,2022-02-18,SSB,Bockhorst Daniel E,Chief Credit Officer,F - Tax,$87.80,-363,21045,-2%,"-$31,871",,,,,SSB
5,,2022-02-22 16:43:20,2022-02-18,SSB,Bockhorst Daniel E,Chief Credit Officer,M - OptEx,$0.00,979,21045,+5%,+$0,,,,,SSB
6,,2022-02-22 16:43:03,2022-02-18,SSB,Corbett John C,CEO,F - Tax,$87.80,-1495,44784,-3%,"-$131,261",,,,,SSB
7,,2022-02-22 16:43:03,2022-02-18,SSB,Corbett John C,CEO,M - OptEx,$0.00,3736,44784,+9%,+$0,,,,,SSB
8,,2022-02-22 16:42:55,2022-02-18,SSB,Young Stephen Dean,Chief Strategy Officer,F - Tax,$87.80,-411,20349,-2%,"-$36,086",,,,,SSB
9,,2022-02-22 16:42:55,2022-02-18,SSB,Young Stephen Dean,Chief Strategy Officer,M - OptEx,$0.00,1245,20349,+7%,+$0,,,,,SSB
10,,2022-02-10 16:54:21,2022-02-10,SSB,Lapointe Greg A,Chief Banking Officer,M - OptEx,$61.49,1454,19710,+8%,"+$89,406",,,,,SSB
11,,2022-02-10 16:54:21,2022-02-10,SSB,Lapointe Greg A,Chief Banking Officer,S - Sale,$88.91,-1454,19710,-7%,"-$129,275",,,,,SSB
12,,2022-02-07 09:19:56,2022-02-07,SSB,Arana Sara,Chief Accounting Officer,M - OptEx,$0.00,173,6005,+3%,+$0,,,,,SSB
13,,2022-02-01 13:58:08,2022-01-31,SSB,Horger Robert R,Dir,F - Tax,$84.41,-1536,69679,-2%,"-$129,654",,,,,SSB
14,,2022-02-01 13:58:08,2022-01-31,SSB,Horger Robert R,Dir,M - OptEx,$41.45,3127,69679,+5%,"+$129,614",,,,,SSB
15,,2022-01-03 13:16:34,2022-01-01,SSB,Murray Richard IV,Pres,F - Tax,$80.11,-220,53357,0%,"-$17,624",,,,,SSB
16,,2022-01-03 13:16:34,2022-01-01,SSB,Murray Richard IV,Pres,M - OptEx,$0.00,461,53357,+1%,+$0,,,,,SSB
17,,2022-01-03 13:16:17,2022-01-01,SSB,Lapointe Greg A,Chief Banking Officer,F - Tax,$80.11,-239,19097,-1%,"-$19,146",,,,,SSB
18,,2022-01-03 13:16:17,2022-01-01,SSB,Lapointe Greg A,Chief Banking Officer,M - OptEx,$0.00,461,19097,+2%,+$0,,,,,SSB
19,,2022-01-03 13:15:44,2022-01-01,SSB,Desimone Beth S,"CRO, GC",F - Tax,$80.11,-274,5620,-5%,"-$21,950",,,,,SSB
20,,2022-01-03 13:15:44,2022-01-01,SSB,Desimone Beth S,"CRO, GC",M - OptEx,$0.00,653,5620,+13%,+$0,,,,,SSB
21,,2022-01-03 13:15:31,2022-01-01,SSB,Brooks Renee R,COO,F - Tax,$80.11,-169,25383,-1%,"-$13,539",,,,,SSB
22,,2022-01-03 13:15:31,2022-01-01,SSB,Brooks Renee R,COO,M - OptEx,$0.00,461,25383,+2%,+$0,,,,,SSB
