,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-09 20:16:51,2022-03-08,STXB,Golemon Jerry D.,"EVP, COO",M - OptEx,$12.60,12500,43377,+40%,"+$157,500",,,,,STXB
1,D,2022-03-09 20:08:53,2022-03-07,STXB,Patel Akash J.,Dir,M - OptEx,$15.02,24250,213051,+13%,"+$364,250",,,,,STXB
2,D,2022-03-08 20:59:33,2022-03-04,STXB,Patel H. D.,Dir,M - OptEx,$21.00,3000,72974,+4%,"+$63,000",,,,,STXB
3,D,2022-03-08 20:59:33,2022-03-04,STXB,Patel H. D.,Dir,S - Sale+OE,$27.75,-2276,72974,-3%,"-$63,159",,,,,STXB
4,D,2022-03-07 18:47:18,2022-03-03,STXB,Beall Robert S,Dir,M - OptEx,$15.25,21750,316893,+7%,"+$331,750",,,,,STXB
5,D,2022-03-04 14:37:32,2022-03-02,STXB,McGuire David M,Pres,M - OptEx,$13.98,42907,236115,+22%,"+$599,970",,,,,STXB
6,D,2022-03-02 21:07:22,2022-02-28,STXB,Bass Dean O.,"COB, CEO",M - OptEx,$14.54,120000,300310,+67%,"+$1,745,000",,,,,STXB
7,D,2022-03-02 21:07:22,2022-02-28,STXB,Bass Dean O.,"COB, CEO",S - Sale+OE,$28.42,-77093,300310,-20%,"-$2,191,007",,,,,STXB
8,D,2022-03-02 18:26:38,2022-02-28,STXB,Johnson Allison,"EVP, CFO, Chief Acct. Officer",M - OptEx,$20.36,340,21654,+2%,"+$6,922",,,,,STXB
9,,2022-03-01 08:34:53,2022-02-10,STXB,Sooy Thomas C.,Dir,A - Grant,$0.00,1000,35456,+3%,+$0,,,,,STXB
10,,2022-02-28 21:58:55,2022-02-10,STXB,Nix William K.,Dir,A - Grant,$0.00,1000,734038,0%,+$0,,,,,STXB
11,D,2022-02-28 21:50:57,2022-02-10,STXB,Johnson Allison,"EVP, CFO, Chief Acct. Officer",A - Grant,$0.00,4745,21314,+29%,+$0,,,,,STXB
12,,2022-02-28 21:38:23,2022-02-10,STXB,Golemon Jerry D.,"EVP, COO",A - Grant,$0.00,4745,30877,+18%,+$0,,,,,STXB
13,,2022-02-28 21:32:14,2022-02-10,STXB,McGuire David M,Pres,A - Grant,$0.00,11072,193208,+6%,+$0,,,,,STXB
14,,2022-02-28 21:26:07,2022-02-10,STXB,Patel H. D.,Dir,A - Grant,$0.00,1000,72250,+1%,+$0,,,,,STXB
15,,2022-02-28 21:19:25,2022-02-10,STXB,Patel Akash J.,Dir,A - Grant,$0.00,1000,188801,+1%,+$0,,,,,STXB
16,,2022-02-28 21:14:29,2022-02-10,STXB,"Metcalf, III Leo T.",Dir,A - Grant,$0.00,1000,187583,+1%,+$0,,,,,STXB
17,,2022-02-28 21:04:55,2022-02-10,STXB,Beall Robert S,Dir,A - Grant,$0.00,1000,295143,0%,+$0,,,,,STXB
18,,2022-02-28 21:04:55,2022-02-24,STXB,Beall Robert S,Dir,P - Purchase,$27.00,25000,295143,+9%,"+$675,000",,,,,STXB
19,D,2022-02-28 19:02:14,2022-02-10,STXB,Morris Steven M,Dir,A - Grant,$0.00,1000,145000,+1%,+$0,,,,,STXB
20,,2022-02-28 18:28:27,2022-02-10,STXB,Jones Allen C IV,Dir,A - Grant,$0.00,1000,169416,+1%,+$0,,,,,STXB
21,D,2022-02-28 18:19:56,2022-02-10,STXB,Jones Thomas Jr.,Dir,A - Grant,$0.00,1000,31500,+3%,+$0,,,,,STXB
22,,2022-02-28 18:02:50,2022-02-10,STXB,Blair Nelda Luce,Dir,A - Grant,$0.00,1000,10000,+11%,+$0,,,,,STXB
23,,2022-02-28 17:16:43,2022-02-10,STXB,Bass Dean O.,"COB, CEO",A - Grant,$0.00,11863,257403,+5%,+$0,,,,,STXB
24,M,2022-02-04 17:21:54,2022-02-02,STXB,"Metcalf, III Leo T.",Dir,P - Purchase,$27.50,1100,186583,+1%,"+$30,250",,,,,STXB
25,,2022-01-03 12:31:26,2021-12-29,STXB,Beall Robert S,Dir,W - Inherited,$0.00,1705,269143,-1%,$0,,,,,STXB
26,D,2021-11-26 21:27:19,2021-11-24,STXB,Johnson Allison,"EVP, Chief Financial Office",M - OptEx,$15.49,1510,16569,+10%,"+$23,384",,,,,STXB
27,,2021-11-03 18:21:05,2021-11-02,STXB,Patel Akash J.,Dir,P - Purchase,$24.79,80,187801,0%,"+$1,983",,,,,STXB
28,A,2021-11-03 18:07:58,2021-11-01,STXB,McGuire David M,Pres,S - Sale,$24.52,-2000,182136,-1%,"-$49,042",,,,,STXB
29,A,2021-11-03 18:01:24,2021-11-01,STXB,Bass Dean O.,"COB, CEO",S - Sale,$24.52,-2000,245540,-1%,"-$49,042",,,,,STXB
30,,2021-11-03 17:43:23,2021-11-01,STXB,McGuire David M,Pres,S - Sale,$24.52,-2000,182136,-1%,"-$49,042",,,,,STXB
31,,2021-11-03 17:39:48,2021-11-01,STXB,Bass Dean O.,"COB, CEO",S - Sale,$24.52,-2000,245540,-1%,"-$49,042",,,,,STXB
32,,2021-10-04 20:59:03,2021-10-04,STXB,Patel Akash J.,Dir,P - Purchase,$24.24,81,187721,0%,"+$1,963",,,,,STXB
33,,2021-10-04 20:55:11,2021-10-01,STXB,McGuire David M,Pres,S - Sale,$24.45,-2000,184136,-1%,"-$48,909",,,,,STXB
34,,2021-10-04 20:52:36,2021-10-01,STXB,Bass Dean O.,"COB, CEO",S - Sale,$24.45,-2000,247540,-1%,"-$48,909",,,,,STXB
35,,2021-09-03 16:39:46,2021-09-02,STXB,Patel Akash J.,Dir,P - Purchase,$23.74,84,187640,0%,"+$1,994",,,,,STXB
36,A,2021-09-03 15:23:56,2021-09-01,STXB,Bass Dean O.,"COB, CEO",S - Sale,$23.45,-2000,249540,-1%,"-$46,896",,,,,STXB
37,,2021-09-03 15:13:20,2021-09-01,STXB,McGuire David M,Pres,S - Sale,$23.45,-2000,186136,-1%,"-$46,896",,,,,STXB
38,,2021-09-03 15:08:13,2021-09-01,STXB,Bass Dean O.,"COB, CEO",S - Sale,$22.45,-2000,249540,-1%,"-$44,896",,,,,STXB
39,D,2021-08-26 20:12:46,2021-08-25,STXB,Johnson Allison,"EVP, CFO, CAO",M - OptEx,$13.00,4000,15059,+36%,"+$52,000",,,,,STXB
40,D,2021-08-26 19:08:47,2021-08-24,STXB,Golemon Jerry D.,"EVP, COO",M - OptEx,$10.50,2500,26132,+11%,"+$26,250",,,,,STXB
41,,2021-08-23 20:44:05,2021-08-20,STXB,"Metcalf, III Leo T.",Dir,P - Purchase,$22.02,899,185483,0%,"+$19,796",,,,,STXB
42,D,2021-08-17 17:10:56,2021-08-16,STXB,McGuire David M,Pres,M - OptEx,$10.50,19524,188136,+12%,"+$205,002",,,,,STXB
43,D,2021-08-17 17:06:51,2021-08-16,STXB,Bass Dean O.,"COB, CEO",M - OptEx,$10.50,29048,251540,+13%,"+$305,004",,,,,STXB
44,D,2021-08-17 17:01:58,2021-08-03,STXB,Patel Akash J.,Dir,M - OptEx,$10.50,1500,187556,+1%,"+$15,750",,,,,STXB
45,D,2021-08-16 18:53:31,2021-08-11,STXB,Morris Steven M,Dir,M - OptEx,$10.50,1500,144000,+1%,"+$15,750",,,,,STXB
46,D,2021-08-16 18:48:42,2021-08-11,STXB,Jones Thomas Jr.,Dir,M - OptEx,$10.50,1500,30500,+5%,"+$15,750",,,,,STXB
47,D,2021-08-16 18:48:42,2021-08-11,STXB,Jones Thomas Jr.,Dir,S - Sale+OE,$22.89,-1500,30500,-5%,"-$34,335",,,,,STXB
48,,2021-08-04 17:01:08,2021-08-03,STXB,Patel Akash J.,Dir,P - Purchase,$22.88,87,186056,0%,"+$1,991",,,,,STXB
49,,2021-08-04 16:55:42,2021-08-02,STXB,McGuire David M,Pres,S - Sale,$23.44,-2000,168612,-1%,"-$46,889",,,,,STXB
50,,2021-08-04 16:52:06,2021-08-02,STXB,Bass Dean O.,"COB, CEO",S - Sale,$23.44,-2000,222492,-1%,"-$46,889",,,,,STXB
51,,2021-07-08 11:00:38,2021-07-06,STXB,Patel Akash J.,Dir,P - Purchase,$22.71,88,185969,0%,"+$1,998",,,,,STXB
52,,2021-07-02 17:14:45,2021-07-01,STXB,McGuire David M,Pres,S - Sale,$23.00,-2000,170612,-1%,"-$46,000",,,,,STXB
53,,2021-07-02 17:06:21,2021-07-01,STXB,Bass Dean O.,"COB, CEO",S - Sale,$23.00,-2000,224492,-1%,"-$46,000",,,,,STXB
54,,2021-06-11 16:57:33,2021-06-09,STXB,Jones Thomas Jr.,Dir,S - Sale,$24.14,-8000,30500,-21%,"-$193,120",,,,,STXB
55,,2021-06-04 13:42:34,2021-06-02,STXB,Patel Akash J.,Dir,P - Purchase,$23.07,86,185881,0%,"+$1,984",,,,,STXB
56,,2021-06-04 13:36:54,2021-05-24,STXB,Kidd Steven Gregory,"Dir, 10%",S - Sale,$23.00,-2942,1853780,0%,"-$67,666",,,,,STXB
57,,2021-06-03 15:44:09,2021-06-01,STXB,McGuire David M,Pres,S - Sale,$23.00,-2000,172612,-1%,"-$46,000",,,,,STXB
58,,2021-06-03 15:40:32,2021-06-01,STXB,Bass Dean O.,"COB, CEO",S - Sale,$23.00,-2000,226492,-1%,"-$46,000",,,,,STXB
59,,2021-05-24 14:02:02,2021-05-21,STXB,Kidd Steven Gregory,"Dir, 10%",S - Sale,$23.05,-50133,1856722,-3%,"-$1,155,435",,,,,STXB
60,M,2021-05-21 16:54:07,2021-05-19,STXB,Kidd Steven Gregory,"Dir, 10%",S - Sale,$23.01,-45542,1906855,-2%,"-$1,047,980",,,,,STXB
61,,2021-05-19 15:47:39,2021-05-18,STXB,Kidd Steven Gregory,"Dir, 10%",S - Sale,$23.06,-1383,1952397,0%,"-$31,887",,,,,STXB
62,,2021-05-04 17:27:13,2021-05-03,STXB,McGuire David M,Pres,S - Sale,$23.11,-2000,174612,-1%,"-$46,217",,,,,STXB
63,,2021-05-04 17:23:12,2021-05-03,STXB,Bass Dean O.,"COB, CEO",S - Sale,$23.11,-2000,228492,-1%,"-$46,217",,,,,STXB
64,,2021-05-04 17:16:32,2021-05-03,STXB,Patel Akash J.,Dir,P - Purchase,$23.49,85,185795,0%,"+$1,997",,,,,STXB
65,,2021-04-29 18:41:59,2021-04-06,STXB,Patel Akash J.,Dir,P - Purchase,$23.00,86,185710,0%,"+$1,978",,,,,STXB
66,,2021-04-29 18:41:59,2021-04-27,STXB,Patel Akash J.,Dir,S - Sale,$22.37,-86,185710,0%,"-$1,924",,,,,STXB
67,,2021-04-08 20:18:10,2021-04-06,STXB,McGuire David M,Pres,S - Sale,$23.00,-2000,176612,-1%,"-$46,000",,,,,STXB
68,,2021-04-08 20:14:13,2021-04-06,STXB,Bass Dean O.,"COB, CEO",S - Sale,$23.00,-2000,230492,-1%,"-$46,000",,,,,STXB
69,,2021-04-05 18:49:05,2021-04-01,STXB,Nix William K.,Dir,A - Grant,$0.00,1500,642084,0%,+$0,,,,,STXB
70,,2021-04-05 18:41:19,2021-04-01,STXB,Sooy Thomas C.,Dir,A - Grant,$0.00,1500,30706,+5%,+$0,,,,,STXB
71,,2021-04-05 18:38:31,2021-04-01,STXB,Patel H. D.,Dir,A - Grant,$0.00,1500,71250,+2%,+$0,,,,,STXB
72,,2021-04-05 18:35:10,2021-04-01,STXB,Patel Akash J.,Dir,A - Grant,$0.00,1500,185710,+1%,+$0,,,,,STXB
73,,2021-04-05 18:31:14,2021-04-01,STXB,Morris Steven M,Dir,A - Grant,$0.00,1500,142500,+1%,+$0,,,,,STXB
74,,2021-04-05 18:27:19,2021-04-01,STXB,"Metcalf, III Leo T.",Dir,A - Grant,$0.00,1500,184584,+1%,+$0,,,,,STXB
75,,2021-04-05 18:23:52,2021-04-01,STXB,McGuire David M,Pres,A - Grant,$0.00,14000,178612,+9%,+$0,,,,,STXB
76,,2021-04-05 18:20:32,2021-04-01,STXB,Kidd Steven Gregory,"Dir, 10%",A - Grant,$0.00,1500,1953780,0%,+$0,,,,,STXB
77,,2021-04-05 18:15:35,2021-04-01,STXB,Jones Thomas Jr.,Dir,A - Grant,$0.00,1500,38500,+4%,+$0,,,,,STXB
78,,2021-04-05 18:12:17,2021-04-01,STXB,Jones Allen C IV,Dir,A - Grant,$0.00,1500,168416,+1%,+$0,,,,,STXB
79,,2021-04-05 18:06:38,2021-04-01,STXB,Johnson Allison,"CAO, Interim CFO",A - Grant,$0.00,6000,11059,+119%,+$0,,,,,STXB
80,,2021-04-05 18:03:03,2021-04-01,STXB,Golemon Jerry D.,"EVP, COO",A - Grant,$0.00,6000,23631,+34%,+$0,,,,,STXB
81,,2021-04-05 18:00:03,2021-04-01,STXB,Blair Nelda Luce,Dir,A - Grant,$0.00,1500,9000,+20%,+$0,,,,,STXB
82,,2021-04-05 17:56:25,2021-04-01,STXB,Beall Robert S,Dir,A - Grant,$0.00,1500,267438,+1%,+$0,,,,,STXB
