,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,DM,2022-02-15 20:24:23,2021-07-13,VIRT,Virtu Employee Holdco LLC,"See Remarks, 10%",D - Sale to issuer,$0.00,-326071,4327104,-7%,-$0,,,,,VIRT
1,,2022-02-08 16:30:29,2022-02-04,VIRT,Gic Private Ltd,10%,S - Sale,$31.04,-4027062,8731144,-32%,"-$125,000,004",,,,,VIRT
2,D,2022-02-07 21:52:06,2022-02-03,VIRT,Galvin Sean,CFO,A - Grant,$0.00,4684,7407,+172%,+$0,,,,,VIRT
3,D,2022-02-07 21:52:06,2022-02-03,VIRT,Galvin Sean,CFO,F - Tax,$0.00,-1689,7407,-19%,-$0,,,,,VIRT
4,D,2022-02-07 21:52:06,2021-08-12,VIRT,Galvin Sean,CFO,M - OptEx,$0.00,4412,7407,+147%,+$0,,,,,VIRT
5,D,2022-02-07 21:42:58,2022-02-03,VIRT,Fairclough Brett,"Co-Pres, Co-COO",A - Grant,$0.00,16262,77488,+27%,+$0,,,,,VIRT
6,D,2022-02-07 21:42:58,2022-02-03,VIRT,Fairclough Brett,"Co-Pres, Co-COO",F - Tax,$0.00,-6400,77488,-8%,-$0,,,,,VIRT
7,D,2022-02-07 21:42:47,2022-02-03,VIRT,Cavoli Stephen,EVP,A - Grant,$0.00,16262,163277,+11%,+$0,,,,,VIRT
8,D,2022-02-07 21:42:47,2022-02-03,VIRT,Cavoli Stephen,EVP,F - Tax,$0.00,-8302,163277,-5%,-$0,,,,,VIRT
9,D,2022-02-03 21:09:09,2022-02-01,VIRT,Molluso Joseph,"Co-Pres, Co-COO",F - Tax,$0.00,-5001,279854,-2%,-$0,,,,,VIRT
10,D,2022-02-03 21:09:09,2022-02-01,VIRT,Molluso Joseph,"Co-Pres, Co-COO",M - OptEx,$0.00,9042,279854,+3%,+$0,,,,,VIRT
11,D,2022-02-03 21:08:45,2022-02-01,VIRT,Fairclough Brett,"Co-Pres, Co-COO",F - Tax,$0.00,-3752,67626,-5%,-$0,,,,,VIRT
12,D,2022-02-03 21:08:45,2022-02-01,VIRT,Fairclough Brett,"Co-Pres, Co-COO",M - OptEx,$0.00,8499,67626,+14%,+$0,,,,,VIRT
13,D,2022-02-03 21:08:26,2022-02-01,VIRT,Cavoli Stephen,EVP,F - Tax,$0.00,-4339,155317,-3%,-$0,,,,,VIRT
14,D,2022-02-03 21:08:26,2022-02-01,VIRT,Cavoli Stephen,EVP,M - OptEx,$0.00,8499,155317,+6%,+$0,,,,,VIRT
15,D,2022-02-03 21:08:06,2022-02-01,VIRT,Cifu Douglas A,CEO,F - Tax,$0.00,-8885,767495,-1%,-$0,,,,,VIRT
16,D,2022-02-03 21:08:06,2022-02-01,VIRT,Cifu Douglas A,CEO,M - OptEx,$0.00,18085,767495,+2%,+$0,,,,,VIRT
17,D,2022-01-25 20:14:20,2022-01-24,VIRT,Molluso Joseph,"Co-Pres, Co-COO",M - OptEx,$0.00,66667,275813,+32%,+$0,,,,,VIRT
18,DM,2022-01-25 20:14:02,2022-01-23,VIRT,Fairclough Brett,"Co-Pres, Co-COO",F - Tax,$0.00,-5049,62879,-7%,-$0,,,,,VIRT
19,DM,2022-01-25 20:14:02,2022-01-23,VIRT,Fairclough Brett,"Co-Pres, Co-COO",M - OptEx,$0.00,14662,62879,+30%,+$0,,,,,VIRT
20,DM,2022-01-25 20:13:35,2022-01-23,VIRT,Cifu Douglas A,CEO,F - Tax,$0.00,-17521,758295,-2%,-$0,,,,,VIRT
21,DM,2022-01-25 20:13:35,2022-01-23,VIRT,Cifu Douglas A,CEO,M - OptEx,$0.00,44856,758295,+6%,+$0,,,,,VIRT
22,DM,2022-01-25 20:13:00,2022-01-23,VIRT,Cavoli Stephen,EVP,F - Tax,$0.00,-4629,151157,-3%,-$0,,,,,VIRT
23,DM,2022-01-25 20:13:00,2022-01-23,VIRT,Cavoli Stephen,EVP,M - OptEx,$0.00,12372,151157,+9%,+$0,,,,,VIRT
24,,2022-01-18 16:15:29,2022-01-13,VIRT,Gic Private Ltd,10%,S - Sale,$29.63,-3250000,12758206,-20%,"-$96,297,500",,,,,VIRT
25,D,2022-01-04 16:58:58,2021-12-31,VIRT,Molluso Joseph,"Co-Pres, Co-COO",A - Grant,$0.00,50000,209146,+31%,+$0,,,,,VIRT
26,D,2022-01-04 16:58:58,2021-12-31,VIRT,Molluso Joseph,"Co-Pres, Co-COO",F - Tax,$0.00,-28690,209146,-12%,-$0,,,,,VIRT
27,D,2022-01-04 16:58:49,2021-12-31,VIRT,Cavoli Stephen,EVP,A - Grant,$0.00,50000,143414,+54%,+$0,,,,,VIRT
28,D,2022-01-04 16:58:49,2021-12-31,VIRT,Cavoli Stephen,EVP,F - Tax,$0.00,-26565,143414,-16%,-$0,,,,,VIRT
29,D,2022-01-04 16:58:20,2021-12-31,VIRT,Fairclough Brett,"Co-Pres, Co-COO",A - Grant,$0.00,50000,53266,>999%,+$0,,,,,VIRT
30,D,2022-01-04 16:58:20,2021-12-31,VIRT,Fairclough Brett,"Co-Pres, Co-COO",F - Tax,$0.00,-24714,53266,-32%,-$0,,,,,VIRT
31,D,2022-01-04 16:58:16,2021-12-31,VIRT,Cifu Douglas A,CEO,A - Grant,$0.00,75000,730960,+11%,+$0,,,,,VIRT
32,D,2022-01-04 16:58:16,2021-12-31,VIRT,Cifu Douglas A,CEO,F - Tax,$0.00,-33878,730960,-4%,-$0,,,,,VIRT
33,D,2021-12-20 17:03:02,2021-12-17,VIRT,Tjmt Holdings LLC,"See Remarks, 10%",M - OptEx,$22.98,3000000,63308420,+5%,"+$68,940,000",,,,,VIRT
34,,2021-12-01 08:26:50,2021-11-29,VIRT,Gic Private Ltd,10%,S - Sale,$28.50,-1403509,16008206,-8%,"-$40,000,007",,,,,VIRT
35,DM,2021-11-10 17:10:07,2021-08-10,VIRT,Virtu Employee Holdco LLC,"See Remarks, 10%",D - Sale to issuer,$0.00,-32310,4653175,-1%,-$0,,,,,VIRT
