,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,A,2022-03-04 17:46:10,2021-02-24,WISA,Williams Gary,See Remarks,A - Grant,$0.00,20000,64396,+45%,+$0,,,,,WISA
1,A,2022-03-04 17:42:47,2021-02-24,WISA,Tobias Robert,Dir,A - Grant,$0.00,10000,24000,+71%,+$0,,,,,WISA
2,A,2022-03-04 17:40:25,2021-02-24,WISA,Peruvemba Sriram Krishnamurthy,Dir,A - Grant,$0.00,10000,21250,+89%,+$0,,,,,WISA
3,A,2022-03-04 17:36:04,2021-02-24,WISA,Oliva George,CFO,A - Grant,$0.00,30000,104248,+40%,+$0,,,,,WISA
4,A,2022-03-04 17:27:14,2021-02-24,WISA,Moyer Brett,See Remarks,S - Sale,$0.00,-250000,432634,-37%,-$0,,,,,WISA
5,A,2022-03-04 17:23:45,2021-02-24,WISA,Kristensen Helge,Dir,A - Grant,$0.00,10000,32482,+44%,+$0,,,,,WISA
6,A,2022-03-04 17:20:38,2021-02-24,WISA,Gilbert Jeffrey M,Dir,A - Grant,$0.00,10000,25250,+66%,+$0,,,,,WISA
7,A,2022-03-04 17:15:21,2021-02-24,WISA,Cummins Lisa M,Dir,A - Grant,$0.00,10000,24000,+71%,+$0,,,,,WISA
8,,2022-01-25 20:33:09,2022-01-13,WISA,Howitt David Marc,Dir,A - Grant,$0.00,12000,14768,+434%,+$0,,,,,WISA
9,,2022-01-18 20:43:20,2022-01-13,WISA,Wilson Wendy,Dir,A - Grant,$0.00,12000,22000,+120%,+$0,,,,,WISA
10,,2022-01-18 20:43:00,2022-01-13,WISA,Williams Gary,See Remarks,A - Grant,$0.00,50000,103966,+93%,+$0,,,,,WISA
11,,2022-01-18 20:42:48,2022-01-13,WISA,Tobias Robert,Dir,A - Grant,$0.00,12000,36000,+50%,+$0,,,,,WISA
12,,2022-01-18 20:42:23,2022-01-13,WISA,Peruvemba Sriram Krishnamurthy,Dir,A - Grant,$0.00,12000,33250,+56%,+$0,,,,,WISA
13,,2022-01-18 20:42:06,2022-01-13,WISA,Oliva George,CFO,A - Grant,$0.00,150000,262582,+133%,+$0,,,,,WISA
14,,2022-01-18 20:41:48,2022-01-13,WISA,Moyer Brett,See Remarks,A - Grant,$0.00,250000,633057,+65%,+$0,,,,,WISA
15,,2022-01-18 20:41:33,2022-01-13,WISA,Kristensen Helge,Dir,A - Grant,$0.00,12000,44482,+37%,+$0,,,,,WISA
16,,2022-01-18 20:41:11,2022-01-13,WISA,Gilbert Jeffrey M,Dir,A - Grant,$0.00,12000,37250,+48%,+$0,,,,,WISA
17,,2022-01-18 20:40:44,2022-01-13,WISA,Cummins Lisa M,Dir,A - Grant,$0.00,12000,36000,+50%,+$0,,,,,WISA
18,A,2021-12-23 19:32:52,2021-08-16,WISA,Williams Gary,See Remarks,S - Sale,$3.09,-5603,58793,-9%,"-$17,313",,,,,WISA
19,A,2021-12-23 19:32:38,2021-11-29,WISA,Oliva George,CFO,P - Purchase,$1.80,20000,112582,+22%,"+$35,996",,,,,WISA
20,A,2021-12-23 19:32:19,2021-08-16,WISA,Oliva George,CFO,S - Sale,$3.09,-11666,92582,-11%,"-$36,048",,,,,WISA
21,A,2021-12-23 19:32:04,2021-08-16,WISA,Moyer Brett,See Remarks,S - Sale,$3.13,-39577,393057,-9%,"-$123,742",,,,,WISA
22,,2021-12-10 17:01:07,2021-12-09,WISA,Williams Gary,See Remarks,S - Sale,$1.75,-4827,53966,-8%,"-$8,448",,,,,WISA
23,,2021-11-29 17:28:26,2021-11-29,WISA,Oliva George,CFO,S - Sale,$1.80,-10000,102582,-9%,"-$18,000",,,,,WISA
24,,2021-10-29 19:01:05,2021-10-29,WISA,Moyer Brett,See Remarks,S - Sale,$2.56,-5000,388057,-1%,"-$12,809",,,,,WISA
25,,2021-09-03 17:03:40,2021-09-02,WISA,Howse Michael,Former Director,S - Sale,$3.36,-2333,19333,-11%,"-$7,833",,,,,WISA
26,,2021-09-01 17:35:18,2021-08-31,WISA,Howse Michael,Former Director,S - Sale,$3.33,-2334,21666,-10%,"-$7,777",,,,,WISA
27,,2021-08-18 17:04:56,2021-08-16,WISA,Oliva George,CFO,S - Sale,$3.09,-11666,92582,-11%,"-$36,048",,,,,WISA
28,,2021-08-18 17:03:16,2021-08-16,WISA,Moyer Brett,See Remarks,S - Sale,$3.13,-39577,393057,-9%,"-$123,742",,,,,WISA
29,,2021-08-18 17:01:54,2021-08-16,WISA,Williams Gary,See Remarks,S - Sale,$3.09,-5603,58793,-9%,"-$17,313",,,,,WISA
30,,2021-05-20 19:40:19,2021-05-13,WISA,Wilson Wendy,Dir,A - Grant,$0.00,10000,10000,New,+$0,,,,,WISA
31,,2021-02-26 17:21:13,2021-02-24,WISA,Moyer Brett,See Remarks,S - Sale,$0.00,-250000,432634,-37%,-$0,,,,,WISA
32,,2021-02-26 17:20:23,2021-02-24,WISA,Williams Gary,See Remarks,A - Grant,$0.00,20000,64396,+45%,+$0,,,,,WISA
