,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2018-11-07 17:37:40,2018-11-07,WSCI,Sheely Paul D,"VP, CFO",D - Sale to issuer,$7.00,-17167,0,-100%,"-$120,169",,,,,WSCI
1,D,2018-11-07 17:21:41,2018-11-07,WSCI,Pudil Michael J,"Pres, CEO",D - Sale to issuer,$7.00,-106253,0,-100%,"-$743,771",,,,,WSCI
2,D,2018-11-07 16:56:44,2018-11-07,WSCI,Hartman James D,Dir,D - Sale to issuer,$7.00,-1000,0,-100%,"-$7,000",,,,,WSCI
3,D,2018-01-08 16:58:23,2018-01-04,WSCI,Sheely Paul D,"VP, CFO",D - Sale to issuer,$6.00,-6737,17167,-28%,"-$40,422",,,,,WSCI
4,D,2018-01-08 16:58:23,2018-01-04,WSCI,Sheely Paul D,"VP, CFO",F - Tax,$6.00,-297,17167,-2%,"-$1,782",,,,,WSCI
5,D,2018-01-08 16:58:23,2018-01-04,WSCI,Sheely Paul D,"VP, CFO",M - OptEx,$5.39,7500,17167,+78%,"+$40,425",,,,,WSCI
6,D,2017-12-27 10:49:40,2017-12-26,WSCI,Pudil Michael J,"Pres, CEO",A - Grant,$0.00,25000,115817,+28%,+$0,,,,,WSCI
7,D,2017-12-27 10:49:40,2017-12-26,WSCI,Pudil Michael J,"Pres, CEO",F - Tax,$4.69,-8400,115817,-7%,"-$39,396",,,,,WSCI
8,,2017-11-21 17:34:51,2017-11-20,WSCI,Pudil Michael J,"Pres, CEO",F - Tax,$3.17,-8,90953,0%,-$26,,,,,WSCI
9,D,2017-05-23 15:11:30,2017-05-19,WSCI,Pudil Michael J,"Pres, CEO",A - Grant,$0.00,50000,99217,+102%,+$0,,,,,WSCI
10,D,2017-05-23 15:11:30,2017-05-19,WSCI,Pudil Michael J,"Pres, CEO",F - Tax,$3.06,-9725,99217,-9%,"-$29,759",,,,,WSCI
11,,2015-11-05 11:56:21,2015-11-04,WCSI,Sheely Paul D,CFO,P - Purchase,$4.30,2500,16701,+18%,"+$10,750",,,,,WSCI
12,,2015-11-05 11:45:56,2015-11-03,WSCI,Rashleger Benjamin,CEO,P - Purchase,$4.36,4500,22745,+25%,"+$19,620",-1.0,0.0,1.0,-30.0,WSCI
13,D,2015-07-16 15:24:27,2015-07-14,WSCI,Sheely Paul D,"VP, CFO",F - Tax,$6.36,-3666,14201,-21%,"-$23,316",1.0,-3.0,-18.0,-40.0,WSCI
14,D,2015-07-16 15:24:27,2015-07-14,WSCI,Sheely Paul D,"VP, CFO",M - OptEx,$3.44,5000,14201,+54%,"+$17,200",1.0,-3.0,-18.0,-40.0,WSCI
15,,2015-01-28 12:13:03,2015-01-27,WSCI,Myers Burton F. II,Dir,S - Sale,$5.80,-2000,0,-100%,"-$11,600",-3.0,0.0,5.0,5.0,WSCI
16,AD,2015-01-07 15:15:49,2015-01-05,WSCI,Myers Burton F. II,Dir,M - OptEx,$2.13,2000,2000,New,"+$4,260",-1.0,-4.0,-2.0,5.0,WSCI
17,D,2015-01-06 12:37:25,2015-01-05,WSCI,Myers Burton F. II,Dir,M - OptEx,$2.13,2000,4000,+100%,"+$4,260",2.0,-2.0,-5.0,11.0,WSCI
18,D,2015-01-06 12:33:04,2015-01-05,WSCI,Bender Thomas C,Dir,M - OptEx,$2.13,2000,8000,+33%,"+$4,260",2.0,-2.0,-5.0,11.0,WSCI
19,,2014-12-23 10:47:05,2014-12-22,WSCI,Myers Burton F. II,Dir,S - Sale,$5.81,-2000,0,-100%,"-$11,620",-1.0,-3.0,-9.0,3.0,WSCI
20,AM,2014-07-28 14:15:04,2014-07-21,WSCI,Pudil Michael J,Dir,S - Sale,$8.00,-3801,58942,-6%,"-$30,408",-7.0,-9.0,-2.0,-24.0,WSCI
