,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-01-10 16:18:11,2022-01-07,ZS,Sinha Amit,"Pres of R, D, CTO",A - Grant,$0.00,38250,691669,+6%,+$0,,,,,ZS
1,,2022-01-10 16:18:11,2022-01-06,ZS,Sinha Amit,"Pres of R, D, CTO",S - Sale,$262.35,-6000,691669,-1%,"-$1,574,126",,,,,ZS
2,,2022-01-10 16:17:42,2022-01-07,ZS,Rajic Dali,"Pres Go-To-Mkt, Chief Rev Ofc",A - Grant,$0.00,38250,269142,+17%,+$0,,,,,ZS
3,,2022-01-07 16:28:06,2022-01-05,ZS,Schneider David,Dir,A - Grant,$0.00,618,19870,+3%,+$0,,,,,ZS
4,,2022-01-07 16:27:45,2022-01-05,ZS,Naughton Eileen,Dir,A - Grant,$0.00,618,2703,+30%,+$0,,,,,ZS
5,,2022-01-07 16:27:25,2022-01-05,ZS,Giancarlo Charles H,Dir,A - Grant,$0.00,618,368881,0%,+$0,,,,,ZS
6,,2022-01-07 16:27:06,2022-01-05,ZS,Darling Scott C,Dir,A - Grant,$0.00,618,73048,+1%,+$0,,,,,ZS
7,,2022-01-07 16:26:47,2022-01-05,ZS,Brown Andrew William Fraser,Dir,A - Grant,$0.00,618,18250,+4%,+$0,,,,,ZS
8,,2022-01-07 16:26:29,2022-01-05,ZS,Blasing Karen,Dir,A - Grant,$0.00,618,28005,+2%,+$0,,,,,ZS
9,D,2021-12-23 21:16:34,2021-12-23,ZS,Sinha Amit,"Pres of R, D, CTO",M - OptEx,$5.93,8333,659419,+1%,"+$49,373",,,,,ZS
10,D,2021-12-23 21:16:34,2021-12-23,ZS,Sinha Amit,"Pres of R, D, CTO",S - Sale+OE,$322.68,-8333,659419,-1%,"-$2,688,926",,,,,ZS
11,,2021-12-22 16:36:59,2021-12-21,ZS,Sinha Amit,"Pres of R, D, CTO",S - Sale,$308.94,-20000,597045,-3%,"-$6,178,800",,,,,ZS
12,,2021-12-22 16:36:42,2021-12-21,ZS,Rajic Dali,"Pres Go-To-Mkt, Chief Rev Ofc",S - Sale,$314.38,-25000,230892,-10%,"-$7,859,478",,,,,ZS
13,,2021-12-20 17:06:30,2021-12-16,ZS,Sinha Amit,"Pres of R, D, CTO",S - Sale,$300.01,-8204,679419,-1%,"-$2,461,297",,,,,ZS
14,,2021-12-20 17:06:16,2021-12-16,ZS,Schlossman Robert,GC,S - Sale,$300.01,-3949,120629,-3%,"-$1,184,745",,,,,ZS
15,,2021-12-20 17:05:59,2021-12-16,ZS,Rajic Dali,"Pres Go-To-Mkt, Chief Rev Ofc",S - Sale,$300.01,-4042,255892,-2%,"-$1,212,638",,,,,ZS
16,M,2021-12-20 17:05:35,2021-12-16,ZS,Canessa Remo,CFO,S - Sale,$303.46,-14730,272855,-5%,"-$4,469,984",,,,,ZS
17,A,2021-12-20 16:21:17,2021-09-16,ZS,Sinha Amit,"Pres of R, D, CTO",S - Sale,$267.45,-1200,253172,0%,"-$320,940",,,,,ZS
18,D,2021-12-10 17:07:08,2021-12-09,ZS,Sinha Amit,"Pres of R, D, CTO",M - OptEx,$5.93,7000,688703,+1%,"+$41,475",,,,,ZS
19,D,2021-12-10 17:07:08,2021-12-09,ZS,Sinha Amit,"Pres of R, D, CTO",S - Sale+OE,$306.52,-7000,688703,-1%,"-$2,145,648",,,,,ZS
20,D,2021-12-07 17:20:46,2021-12-06,ZS,Blasing Karen,Dir,M - OptEx,$5.82,2000,27387,+8%,"+$11,640",,,,,ZS
21,D,2021-12-07 17:20:46,2021-12-06,ZS,Blasing Karen,Dir,S - Sale+OE,$277.32,-2000,27387,-7%,"-$554,633",,,,,ZS
22,D,2021-11-24 18:04:31,2021-11-24,ZS,Sinha Amit,"Pres of R, D, CTO",M - OptEx,$5.93,7000,688703,+1%,"+$41,475",,,,,ZS
23,D,2021-11-24 18:04:31,2021-11-24,ZS,Sinha Amit,"Pres of R, D, CTO",S - Sale+OE,$339.68,-7000,688703,-1%,"-$2,377,784",,,,,ZS
24,D,2021-11-23 16:07:34,2021-11-22,ZS,Blasing Karen,Dir,M - OptEx,$5.82,2000,1763,-844%,"+$11,640",,,,,ZS
25,D,2021-11-23 16:07:34,2021-11-22,ZS,Blasing Karen,Dir,S - Sale+OE,$346.40,-2000,1763,-53%,"-$692,800",,,,,ZS
26,D,2021-11-15 17:54:55,2021-11-11,ZS,Sinha Amit,"Pres of R, D, CTO",M - OptEx,$5.93,7000,688703,+1%,"+$41,475",,,,,ZS
27,D,2021-11-15 17:54:55,2021-11-11,ZS,Sinha Amit,"Pres of R, D, CTO",S - Sale+OE,$345.23,-7000,688703,-1%,"-$2,416,638",,,,,ZS
28,D,2021-11-09 20:19:17,2021-11-08,ZS,Blasing Karen,Dir,M - OptEx,$5.82,2000,27387,+8%,"+$11,640",,,,,ZS
29,D,2021-11-09 20:19:17,2021-11-08,ZS,Blasing Karen,Dir,S - Sale+OE,$348.51,-2000,27387,-7%,"-$697,022",,,,,ZS
