,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-04-30,9.76,10.45,9.76,10.35,10.35,1900,AURC
1,2021-05-03,10.35,10.35,9.62,10.0,10.0,900,AURC
2,2021-05-04,10.0,10.0,10.0,10.0,10.0,100,AURC
3,2021-05-05,10.7,10.7,10.5,10.5,10.5,700,AURC
4,2021-05-06,10.5,10.5,10.5,10.5,10.5,0,AURC
5,2021-05-07,10.5,10.5,10.5,10.5,10.5,0,AURC
6,2021-05-10,10.5,10.5,10.5,10.5,10.5,1600,AURC
7,2021-05-11,10.9,10.9,9.83,9.9,9.9,258400,AURC
8,2021-05-12,9.99,11.11,9.65,9.82,9.82,2844700,AURC
9,2021-05-13,9.84,9.95,9.839,9.85,9.85,931600,AURC
10,2021-05-14,9.95,9.95,9.81,9.88,9.88,913100,AURC
11,2021-05-17,10.3,10.3,9.85,9.87,9.87,518800,AURC
12,2021-05-18,9.87,9.9,9.83,9.87,9.87,47300,AURC
13,2021-05-19,10.29,10.29,9.86,9.95,9.95,62400,AURC
14,2021-05-20,9.91,9.95,9.875,9.91,9.91,281500,AURC
15,2021-05-21,10.0,10.0,9.9,9.94,9.94,18200,AURC
16,2021-05-24,10.07,10.07,9.9,9.94,9.94,12600,AURC
17,2021-05-25,9.95,9.95,9.85,9.9,9.9,13200,AURC
18,2021-05-26,9.913,9.99,9.87,9.88,9.88,11600,AURC
19,2021-05-27,9.88,9.95,9.88,9.94,9.94,78800,AURC
20,2021-05-28,9.95,9.95,9.85,9.86,9.86,22600,AURC
21,2021-06-01,10.0,10.0,9.85,9.88,9.88,26300,AURC
22,2021-06-02,9.901,9.93,9.9,9.92,9.92,17000,AURC
23,2021-06-03,9.93,9.93,9.89,9.9,9.9,24500,AURC
24,2021-06-04,9.9,9.92,9.835,9.88,9.88,250700,AURC
25,2021-06-07,9.88,9.89,9.88,9.88,9.88,27100,AURC
26,2021-06-08,9.89,9.92,9.88,9.92,9.92,67600,AURC
27,2021-06-09,9.91,9.95,9.89,9.89,9.89,56100,AURC
28,2021-06-10,9.91,9.91,9.89,9.9,9.9,3900,AURC
29,2021-06-11,9.9,10.02,9.89,10.0,10.0,252500,AURC
30,2021-06-14,9.95,10.05,9.9,9.95,9.95,29400,AURC
31,2021-06-15,10.04,10.04,9.9,9.9,9.9,3400,AURC
32,2021-06-16,9.921,9.921,9.92,9.92,9.92,900,AURC
33,2021-06-17,9.91,9.95,9.9,9.9,9.9,18100,AURC
34,2021-06-18,9.919,9.919,9.89,9.89,9.89,41400,AURC
35,2021-06-21,9.9,9.9,9.88,9.89,9.89,52700,AURC
36,2021-06-22,9.89,9.93,9.88,9.93,9.93,12400,AURC
37,2021-06-23,9.88,9.92,9.88,9.92,9.92,5600,AURC
38,2021-06-24,9.9,9.9,9.89,9.895,9.895,3300,AURC
39,2021-06-25,9.9,10.0,9.89,9.97,9.97,130500,AURC
40,2021-06-28,9.91,10.0,9.91,9.92,9.92,14400,AURC
41,2021-06-29,9.94,9.94,9.88,9.88,9.88,113700,AURC
42,2021-06-30,9.89,9.91,9.88,9.91,9.91,10600,AURC
43,2021-07-01,9.91,9.93,9.88,9.93,9.93,46600,AURC
44,2021-07-02,9.93,9.93,9.92,9.921,9.921,4000,AURC
45,2021-07-06,9.93,9.93,9.926,9.93,9.93,10300,AURC
46,2021-07-07,9.92,9.94,9.92,9.92,9.92,6500,AURC
47,2021-07-08,9.92,9.92,9.86,9.9,9.9,52900,AURC
48,2021-07-09,9.92,9.92,9.9,9.92,9.92,2100,AURC
49,2021-07-12,9.94,9.94,9.9,9.94,9.94,17700,AURC
50,2021-07-13,9.94,9.94,9.928,9.93,9.93,3200,AURC
51,2021-07-14,9.95,9.95,9.92,9.92,9.92,4100,AURC
52,2021-07-15,9.95,9.95,9.9,9.95,9.95,18200,AURC
53,2021-07-16,9.95,9.95,9.91,9.91,9.91,13100,AURC
54,2021-07-19,9.94,9.948,9.9,9.948,9.948,43800,AURC
55,2021-07-20,9.95,9.95,9.93,9.95,9.95,11700,AURC
56,2021-07-21,9.9,9.925,9.9,9.925,9.925,2400,AURC
57,2021-07-22,9.91,9.95,9.9,9.9,9.9,603400,AURC
58,2021-07-23,9.922,9.95,9.89,9.95,9.95,8500,AURC
59,2021-07-26,9.95,9.95,9.915,9.92,9.92,2500,AURC
60,2021-07-27,9.9,9.95,9.89,9.95,9.95,116200,AURC
61,2021-07-28,9.931,9.933,9.911,9.92,9.92,117300,AURC
62,2021-07-29,9.95,9.95,9.9,9.95,9.95,103700,AURC
63,2021-07-30,9.929,9.94,9.906,9.91,9.91,47500,AURC
64,2021-08-02,9.95,9.95,9.909,9.94,9.94,4500,AURC
65,2021-08-03,9.92,9.94,9.92,9.94,9.94,1200,AURC
66,2021-08-04,9.94,9.94,9.92,9.92,9.92,8500,AURC
67,2021-08-05,9.95,9.95,9.91,9.94,9.94,2100,AURC
68,2021-08-06,9.95,9.95,9.906,9.932,9.932,1200,AURC
69,2021-08-09,9.95,9.95,9.9,9.92,9.92,7700,AURC
70,2021-08-10,9.921,9.943,9.92,9.92,9.92,2000,AURC
71,2021-08-11,9.93,9.933,9.909,9.93,9.93,2600,AURC
72,2021-08-12,9.95,9.95,9.908,9.92,9.92,2200,AURC
73,2021-08-13,9.95,9.95,9.901,9.94,9.94,15600,AURC
74,2021-08-16,9.94,9.94,9.9,9.91,9.91,214800,AURC
75,2021-08-17,9.92,9.92,9.9,9.92,9.92,108800,AURC
76,2021-08-18,9.9,9.92,9.9,9.9,9.9,157800,AURC
77,2021-08-19,9.91,9.92,9.88,9.91,9.91,101100,AURC
78,2021-08-20,9.91,9.922,9.868,9.9,9.9,643400,AURC
79,2021-08-23,9.94,9.95,9.905,9.95,9.95,9100,AURC
80,2021-08-24,9.95,9.95,9.905,9.92,9.92,6200,AURC
81,2021-08-25,9.908,9.944,9.908,9.909,9.909,2000,AURC
82,2021-08-26,9.939,9.95,9.893,9.893,9.893,1800,AURC
83,2021-08-27,9.905,9.95,9.89,9.95,9.95,6100,AURC
84,2021-08-30,9.91,9.95,9.89,9.928,9.928,1500,AURC
85,2021-08-31,9.95,9.97,9.926,9.96,9.96,17900,AURC
86,2021-09-01,9.92,9.95,9.9,9.93,9.93,35200,AURC
87,2021-09-02,9.94,9.948,9.925,9.93,9.93,2200,AURC
