,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-11-17,9.82,9.86,9.82,9.84,9.84,23300,AVHI
1,2021-11-18,9.84,9.89,9.834,9.84,9.84,584300,AVHI
2,2021-11-19,9.84,9.89,9.84,9.89,9.89,800,AVHI
3,2021-11-22,9.89,9.89,9.84,9.84,9.84,99100,AVHI
4,2021-11-23,9.87,9.87,9.87,9.87,9.87,101000,AVHI
5,2021-11-24,9.865,9.89,9.865,9.89,9.89,300,AVHI
6,2021-11-26,9.88,9.88,9.88,9.88,9.88,100000,AVHI
7,2021-11-29,9.88,9.88,9.87,9.87,9.87,12100,AVHI
8,2021-11-30,9.85,9.85,9.85,9.85,9.85,176000,AVHI
9,2021-12-01,9.85,9.85,9.85,9.85,9.85,400,AVHI
10,2021-12-02,9.84,9.84,9.84,9.84,9.84,9500,AVHI
11,2021-12-03,9.85,9.85,9.84,9.84,9.84,13300,AVHI
12,2021-12-06,9.841,9.841,9.84,9.84,9.84,2000,AVHI
13,2021-12-07,9.84,9.84,9.84,9.84,9.84,0,AVHI
14,2021-12-08,9.831,9.85,9.83,9.85,9.85,336200,AVHI
15,2021-12-09,9.85,9.86,9.85,9.85,9.85,136200,AVHI
16,2021-12-10,9.86,9.86,9.85,9.86,9.86,189300,AVHI
17,2021-12-13,9.85,9.852,9.85,9.852,9.852,65800,AVHI
18,2021-12-14,9.852,9.852,9.852,9.852,9.852,0,AVHI
19,2021-12-15,9.852,9.852,9.852,9.852,9.852,0,AVHI
20,2021-12-16,9.84,9.85,9.84,9.85,9.85,22800,AVHI
21,2021-12-17,9.85,9.86,9.85,9.85,9.85,26400,AVHI
22,2021-12-20,9.85,9.85,9.85,9.85,9.85,300,AVHI
23,2021-12-21,9.85,9.86,9.85,9.86,9.86,4000,AVHI
24,2021-12-22,9.82,9.9,9.82,9.87,9.87,42300,AVHI
25,2021-12-23,9.87,9.87,9.87,9.87,9.87,0,AVHI
26,2021-12-27,9.87,9.87,9.87,9.87,9.87,0,AVHI
27,2021-12-28,9.87,9.87,9.87,9.87,9.87,0,AVHI
28,2021-12-29,9.87,9.87,9.87,9.87,9.87,0,AVHI
29,2021-12-30,9.87,9.87,9.87,9.87,9.87,0,AVHI
30,2021-12-31,9.87,9.87,9.87,9.87,9.87,200,AVHI
