,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-04-13,11.0,11.0,9.7,9.7,9.7,5200,BRPM
1,2021-04-14,9.741,9.88,9.741,9.8,9.8,129400,BRPM
2,2021-04-15,9.8,9.86,9.8,9.82,9.82,34600,BRPM
3,2021-04-16,9.82,9.83,9.775,9.83,9.83,104000,BRPM
4,2021-04-19,9.8,9.85,9.75,9.81,9.81,5400,BRPM
5,2021-04-20,9.71,9.71,9.71,9.71,9.71,800,BRPM
6,2021-04-21,9.78,9.78,9.78,9.78,9.78,300,BRPM
7,2021-04-22,9.78,9.78,9.78,9.78,9.78,0,BRPM
8,2021-04-23,9.73,9.73,9.73,9.73,9.73,600,BRPM
9,2021-04-26,9.71,9.71,9.71,9.71,9.71,600,BRPM
10,2021-04-27,9.75,9.75,9.75,9.75,9.75,5000,BRPM
11,2021-04-28,9.75,9.78,9.75,9.75,9.75,40600,BRPM
12,2021-04-29,9.75,9.75,9.75,9.75,9.75,10700,BRPM
13,2021-04-30,9.75,9.75,9.75,9.75,9.75,90000,BRPM
14,2021-05-03,9.76,9.79,9.75,9.79,9.79,12700,BRPM
15,2021-05-04,9.77,9.79,9.75,9.79,9.79,3800,BRPM
16,2021-05-05,9.8,9.87,9.8,9.85,9.85,87600,BRPM
17,2021-05-06,9.85,9.88,9.85,9.88,9.88,52300,BRPM
18,2021-05-07,9.85,9.862,9.815,9.86,9.86,88600,BRPM
19,2021-05-10,9.86,9.86,9.86,9.86,9.86,0,BRPM
20,2021-05-11,9.77,9.77,9.77,9.77,9.77,700,BRPM
21,2021-05-12,9.86,9.86,9.8,9.8,9.8,151300,BRPM
22,2021-05-13,9.74,9.74,9.74,9.74,9.74,200,BRPM
23,2021-05-14,9.8,9.8,9.8,9.8,9.8,9100,BRPM
24,2021-05-17,9.74,9.74,9.73,9.74,9.74,2300,BRPM
25,2021-05-18,9.74,9.75,9.65,9.65,9.65,140000,BRPM
26,2021-05-19,9.69,9.71,9.69,9.69,9.69,4400,BRPM
27,2021-05-20,9.65,9.69,9.64,9.67,9.67,76200,BRPM
28,2021-05-21,9.69,9.69,9.65,9.65,9.65,8500,BRPM
29,2021-05-24,9.7,9.7,9.63,9.65,9.65,35400,BRPM
30,2021-05-25,9.66,9.7,9.62,9.64,9.64,14000,BRPM
31,2021-05-26,9.69,9.75,9.69,9.75,9.75,2400,BRPM
32,2021-05-27,9.75,9.75,9.75,9.75,9.75,0,BRPM
33,2021-05-28,9.67,9.67,9.65,9.66,9.66,2000,BRPM
34,2021-06-01,9.67,9.69,9.66,9.66,9.66,554700,BRPM
