,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-04-20,9.8,9.82,9.79,9.79,9.79,18400,HIII
1,2021-04-21,9.79,9.79,9.79,9.79,9.79,0,HIII
2,2021-04-22,9.79,9.79,9.79,9.79,9.79,0,HIII
3,2021-04-23,9.77,10.0,9.77,10.0,10.0,28100,HIII
4,2021-04-26,9.86,9.86,9.86,9.86,9.86,35000,HIII
5,2021-04-27,9.86,9.87,9.75,9.75,9.75,254800,HIII
6,2021-04-28,9.75,9.75,9.75,9.75,9.75,500,HIII
7,2021-04-29,9.75,9.99,9.75,9.83,9.83,143200,HIII
8,2021-04-30,9.78,9.85,9.78,9.85,9.85,46600,HIII
9,2021-05-03,9.79,9.88,9.79,9.88,9.88,4600,HIII
10,2021-05-04,9.76,9.9,9.75,9.8,9.8,17200,HIII
11,2021-05-05,9.77,9.82,9.75,9.82,9.82,35900,HIII
12,2021-05-06,9.82,9.85,9.82,9.85,9.85,40200,HIII
13,2021-05-07,9.82,9.86,9.82,9.83,9.83,219000,HIII
14,2021-05-10,9.82,9.82,9.812,9.812,9.812,300,HIII
15,2021-05-11,9.77,10.07,9.75,9.95,9.95,18100,HIII
16,2021-05-12,9.87,9.88,9.87,9.88,9.88,16000,HIII
17,2021-05-13,9.86,9.86,9.81,9.84,9.84,4500,HIII
18,2021-05-14,9.8,9.82,9.78,9.8,9.8,202600,HIII
19,2021-05-17,9.735,9.94,9.695,9.8,9.8,123700,HIII
20,2021-05-18,9.74,9.77,9.73,9.77,9.77,2600,HIII
21,2021-05-19,9.789,9.789,9.789,9.789,9.789,1100,HIII
22,2021-05-20,9.76,9.95,9.73,9.95,9.95,7800,HIII
23,2021-05-21,9.72,9.72,9.71,9.71,9.71,1700,HIII
24,2021-05-24,9.71,9.71,9.71,9.71,9.71,0,HIII
25,2021-05-25,9.83,9.83,9.77,9.77,9.77,1500,HIII
26,2021-05-26,10.05,10.07,9.745,9.85,9.85,12900,HIII
27,2021-05-27,9.8,9.8,9.724,9.724,9.724,21400,HIII
28,2021-05-28,9.724,9.724,9.724,9.724,9.724,0,HIII
29,2021-06-01,9.78,9.78,9.72,9.72,9.72,107100,HIII
30,2021-06-02,9.8,9.8,9.72,9.745,9.745,4400,HIII
31,2021-06-03,9.745,9.745,9.745,9.745,9.745,0,HIII
32,2021-06-04,9.82,9.85,9.775,9.775,9.775,3800,HIII
33,2021-06-07,9.775,9.775,9.775,9.775,9.775,0,HIII
34,2021-06-08,9.775,9.775,9.775,9.775,9.775,0,HIII
35,2021-06-09,9.775,9.775,9.775,9.775,9.775,0,HIII
36,2021-06-10,9.8,9.8,9.76,9.77,9.77,6100,HIII
37,2021-06-11,9.77,9.77,9.76,9.76,9.76,17800,HIII
38,2021-06-14,9.76,9.77,9.75,9.75,9.75,16500,HIII
39,2021-06-15,9.77,9.77,9.73,9.73,9.73,3200,HIII
40,2021-06-16,9.73,9.77,9.73,9.73,9.73,1700,HIII
41,2021-06-17,9.725,9.74,9.7,9.72,9.72,18800,HIII
42,2021-06-18,9.71,9.735,9.7,9.71,9.71,16300,HIII
43,2021-06-21,9.71,9.71,9.71,9.71,9.71,0,HIII
44,2021-06-22,9.71,9.71,9.71,9.71,9.71,0,HIII
45,2021-06-23,9.73,9.74,9.71,9.74,9.74,3800,HIII
46,2021-06-24,9.74,9.74,9.74,9.74,9.74,0,HIII
47,2021-06-25,9.74,9.74,9.74,9.74,9.74,600000,HIII
48,2021-06-28,9.73,9.74,9.71,9.735,9.735,213400,HIII
49,2021-06-29,9.75,9.78,9.73,9.74,9.74,97000,HIII
50,2021-06-30,9.755,9.755,9.755,9.755,9.755,5200,HIII
51,2021-07-01,9.74,9.78,9.74,9.78,9.78,15700,HIII
52,2021-07-02,9.8,9.911,9.75,9.75,9.75,3300,HIII
53,2021-07-06,9.9,9.9,9.75,9.8,9.8,2700,HIII
54,2021-07-07,9.75,9.76,9.75,9.76,9.76,203600,HIII
55,2021-07-08,9.76,9.76,9.76,9.76,9.76,0,HIII
56,2021-07-09,9.72,9.73,9.71,9.71,9.71,900,HIII
57,2021-07-12,9.87,9.87,9.72,9.795,9.795,3800,HIII
58,2021-07-13,9.8,9.8,9.75,9.79,9.79,26300,HIII
59,2021-07-14,9.79,9.79,9.79,9.79,9.79,100,HIII
60,2021-07-15,9.71,9.76,9.71,9.75,9.75,14300,HIII
61,2021-07-16,9.91,9.91,9.91,9.91,9.91,200,HIII
62,2021-07-19,9.91,9.91,9.91,9.91,9.91,100,HIII
63,2021-07-20,9.91,9.91,9.91,9.91,9.91,100,HIII
64,2021-07-21,9.775,9.78,9.775,9.78,9.78,100400,HIII
65,2021-07-22,9.78,9.78,9.78,9.78,9.78,0,HIII
66,2021-07-23,9.79,9.79,9.745,9.76,9.76,6800,HIII
67,2021-07-26,9.7,9.71,9.67,9.71,9.71,15000,HIII
68,2021-07-27,9.71,9.72,9.67,9.67,9.67,118000,HIII
69,2021-07-28,9.68,9.68,9.68,9.68,9.68,3900,HIII
70,2021-07-29,9.68,9.7,9.68,9.7,9.7,4000,HIII
71,2021-07-30,9.7,9.7,9.7,9.7,9.7,0,HIII
72,2021-08-02,9.72,9.83,9.65,9.69,9.69,104300,HIII
73,2021-08-03,9.69,9.745,9.66,9.68,9.68,78600,HIII
74,2021-08-04,9.68,9.68,9.68,9.68,9.68,0,HIII
75,2021-08-05,9.66,9.67,9.66,9.67,9.67,8900,HIII
76,2021-08-06,9.67,9.67,9.67,9.67,9.67,0,HIII
77,2021-08-09,9.67,9.67,9.67,9.67,9.67,0,HIII
78,2021-08-10,9.67,9.67,9.67,9.67,9.67,0,HIII
79,2021-08-11,9.67,9.67,9.67,9.67,9.67,0,HIII
80,2021-08-12,9.69,9.69,9.67,9.69,9.69,1800,HIII
81,2021-08-13,9.67,9.72,9.67,9.72,9.72,1400,HIII
82,2021-08-16,9.7,9.72,9.67,9.69,9.69,14500,HIII
83,2021-08-17,9.69,9.69,9.67,9.67,9.67,3800,HIII
84,2021-08-18,9.67,9.69,9.65,9.68,9.68,18800,HIII
85,2021-08-19,9.68,9.68,9.68,9.68,9.68,0,HIII
86,2021-08-20,9.7,9.72,9.65,9.68,9.68,112100,HIII
87,2021-08-23,9.66,9.74,9.6,9.68,9.68,1114100,HIII
88,2021-08-24,9.68,9.73,9.68,9.72,9.72,62700,HIII
89,2021-08-25,9.65,9.72,9.65,9.66,9.66,820200,HIII
90,2021-08-26,9.68,9.72,9.67,9.67,9.67,1100,HIII
91,2021-08-27,9.72,9.73,9.7,9.7,9.7,1100,HIII
92,2021-08-30,9.65,9.66,9.65,9.66,9.66,12700,HIII
93,2021-08-31,9.7,9.7,9.685,9.7,9.7,4300,HIII
94,2021-09-01,9.685,9.72,9.63,9.72,9.72,8600,HIII
95,2021-09-02,9.72,9.72,9.72,9.72,9.72,4100,HIII
96,2021-09-03,9.72,9.72,9.72,9.72,9.72,100,HIII
97,2021-09-07,9.66,9.71,9.66,9.71,9.71,323800,HIII
98,2021-09-08,9.7,9.71,9.68,9.71,9.71,57100,HIII
99,2021-09-09,9.71,9.74,9.68,9.74,9.74,11300,HIII
100,2021-09-10,9.68,9.73,9.68,9.73,9.73,5600,HIII
101,2021-09-13,9.73,9.73,9.7,9.715,9.715,9000,HIII
102,2021-09-14,9.68,9.74,9.68,9.74,9.74,123200,HIII
103,2021-09-15,9.73,9.75,9.72,9.75,9.75,142600,HIII
104,2021-09-16,9.7,9.71,9.61,9.681,9.681,28000,HIII
105,2021-09-17,9.73,9.74,9.69,9.74,9.74,8900,HIII
106,2021-09-20,9.7,9.75,9.7,9.72,9.72,88700,HIII
107,2021-09-21,9.72,9.75,9.71,9.72,9.72,255800,HIII
108,2021-09-22,9.69,9.75,9.69,9.73,9.73,2300,HIII
109,2021-09-23,9.7,9.74,9.7,9.73,9.73,339000,HIII
110,2021-09-24,9.73,9.73,9.73,9.73,9.73,0,HIII
111,2021-09-27,9.73,9.73,9.73,9.73,9.73,0,HIII
112,2021-09-28,9.73,9.73,9.73,9.73,9.73,0,HIII
113,2021-09-29,9.73,9.75,9.71,9.74,9.74,97100,HIII
114,2021-09-30,9.73,9.75,9.71,9.73,9.73,102500,HIII
115,2021-10-01,9.76,9.76,9.72,9.745,9.745,21700,HIII
116,2021-10-04,9.76,9.76,9.7,9.76,9.76,81400,HIII
117,2021-10-05,9.71,9.71,9.71,9.71,9.71,500,HIII
118,2021-10-06,9.75,9.75,9.75,9.75,9.75,1100,HIII
119,2021-10-07,9.725,9.75,9.725,9.75,9.75,28800,HIII
