,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,12.06,12.2,11.85,12.05,12.05,121500,MBIO
1,2018-01-03,11.9,12.0,11.51,11.62,11.62,76300,MBIO
2,2018-01-04,11.84,11.98,11.221,11.91,11.91,77400,MBIO
3,2018-01-05,11.78,12.165,11.65,11.89,11.89,66000,MBIO
4,2018-01-08,11.98,12.195,11.73,11.82,11.82,49900,MBIO
5,2018-01-09,11.99,12.0,11.58,11.71,11.71,35500,MBIO
6,2018-01-10,11.95,12.89,11.8,11.93,11.93,107000,MBIO
7,2018-01-11,12.02,12.59,11.7,12.38,12.38,85500,MBIO
8,2018-01-12,12.35,12.41,11.74,11.77,11.77,87900,MBIO
9,2018-01-16,11.93,12.07,11.04,11.3,11.3,116700,MBIO
10,2018-01-17,11.42,12.3,11.4,12.01,12.01,84900,MBIO
11,2018-01-18,11.85,12.26,11.511,12.1,12.1,62100,MBIO
12,2018-01-19,12.21,12.6,11.8,12.25,12.25,143700,MBIO
13,2018-01-22,12.3,12.6,11.77,12.18,12.18,104600,MBIO
14,2018-01-23,12.35,12.35,12.0,12.09,12.09,52600,MBIO
15,2018-01-24,12.15,12.45,11.89,12.14,12.14,73800,MBIO
16,2018-01-25,12.295,12.45,12.0,12.03,12.03,75200,MBIO
17,2018-01-26,12.03,12.24,11.76,12.08,12.08,98100,MBIO
18,2018-01-29,12.13,12.694,11.82,12.04,12.04,131900,MBIO
19,2018-01-30,11.92,12.283,11.65,12.16,12.16,62500,MBIO
20,2018-01-31,12.025,12.26,11.74,11.94,11.94,91400,MBIO
21,2018-02-01,12.2,12.38,11.76,11.83,11.83,58500,MBIO
22,2018-02-02,11.82,12.135,10.88,11.25,11.25,221700,MBIO
23,2018-02-05,11.26,11.67,10.41,10.64,10.64,61300,MBIO
24,2018-02-06,10.63,11.18,10.04,10.29,10.29,89500,MBIO
25,2018-02-07,10.35,11.307,10.35,10.94,10.94,94000,MBIO
26,2018-02-08,11.0,11.0,10.52,10.69,10.69,47400,MBIO
27,2018-02-09,10.76,11.79,10.03,10.14,10.14,31300,MBIO
28,2018-02-12,10.27,10.54,10.0,10.42,10.42,37900,MBIO
29,2018-02-13,10.49,11.3,10.2,10.94,10.94,146800,MBIO
30,2018-02-14,10.91,11.39,10.4,10.82,10.82,123600,MBIO
31,2018-02-15,10.95,11.0,10.5,10.66,10.66,50900,MBIO
32,2018-02-16,10.66,11.69,10.482,11.19,11.19,52100,MBIO
33,2018-02-20,11.11,11.499,10.75,10.86,10.86,64800,MBIO
34,2018-02-21,10.95,11.31,10.59,11.05,11.05,61800,MBIO
35,2018-02-22,11.09,11.49,10.7,11.01,11.01,113400,MBIO
36,2018-02-23,11.11,11.5,10.91,11.21,11.21,32100,MBIO
37,2018-02-26,11.2,11.275,10.56,10.75,10.75,65900,MBIO
38,2018-02-27,10.86,11.3,10.84,11.19,11.19,15800,MBIO
39,2018-02-28,10.971,11.17,10.78,11.16,11.16,6300,MBIO
40,2018-03-01,11.07,11.289,10.44,10.66,10.66,54900,MBIO
41,2018-03-02,10.7,10.93,10.501,10.89,10.89,79700,MBIO
42,2018-03-05,10.96,11.16,10.62,11.0,11.0,100600,MBIO
43,2018-03-06,10.52,11.06,10.5,10.96,10.96,150100,MBIO
44,2018-03-07,11.03,11.03,10.56,10.97,10.97,103800,MBIO
45,2018-03-08,10.95,11.5,10.63,11.48,11.48,165800,MBIO
46,2018-03-09,11.43,11.47,10.85,11.45,11.45,114200,MBIO
47,2018-03-12,11.43,11.58,11.12,11.45,11.45,111600,MBIO
48,2018-03-13,11.35,11.535,11.22,11.3,11.3,54100,MBIO
49,2018-03-14,11.36,11.58,11.053,11.2,11.2,132800,MBIO
50,2018-03-15,11.3,11.3,10.87,10.97,10.97,117900,MBIO
51,2018-03-16,11.0,11.99,10.95,11.98,11.98,145300,MBIO
52,2018-03-19,11.96,11.99,11.05,11.26,11.26,98200,MBIO
53,2018-03-20,11.35,11.87,11.06,11.34,11.34,81400,MBIO
54,2018-03-21,11.29,11.87,11.16,11.45,11.45,51300,MBIO
55,2018-03-22,11.32,11.66,11.12,11.21,11.21,32700,MBIO
56,2018-03-23,11.27,11.65,11.12,11.2,11.2,43400,MBIO
57,2018-03-26,11.29,11.5,10.9,11.07,11.07,85000,MBIO
58,2018-03-27,11.075,11.18,10.82,11.0,11.0,66800,MBIO
59,2018-03-28,10.94,10.94,10.5,10.63,10.63,43600,MBIO
60,2018-03-29,10.68,11.04,10.471,10.94,10.94,48700,MBIO
61,2018-04-02,11.13,11.18,10.6,10.99,10.99,57700,MBIO
62,2018-04-03,11.06,11.13,10.785,11.0,11.0,75500,MBIO
63,2018-04-04,10.89,10.89,10.63,10.74,10.74,44000,MBIO
64,2018-04-05,10.83,10.87,10.3,10.86,10.86,260400,MBIO
65,2018-04-06,10.77,10.77,10.095,10.37,10.37,113300,MBIO
