,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-02-22,63.009998,63.369999,62.630001,62.779999,62.779999,1157162.0,NA
1,2018-02-23,,,,,,,NA
2,2018-02-26,,,,,,,NA
3,2018-02-27,,,,,,,NA
4,2018-02-28,,,,,,,NA
5,2018-03-01,,,,,,,NA
6,2018-03-02,,,,,,,NA
7,2018-03-05,,,,,,,NA
8,2018-03-06,,,,,,,NA
9,2018-03-07,,,,,,,NA
10,2018-03-08,,,,,,,NA
11,2018-03-09,,,,,,,NA
12,2018-03-12,,,,,,,NA
13,2018-03-13,,,,,,,NA
14,2018-03-14,,,,,,,NA
15,2018-03-15,,,,,,,NA
16,2018-03-16,,,,,,,NA
17,2018-03-19,,,,,,,NA
18,2018-03-20,,,,,,,NA
19,2018-03-21,,,,,,,NA
20,2018-03-22,,,,,,,NA
21,2018-03-23,,,,,,,NA
22,2018-03-26,,,,,,,NA
23,2018-03-27,,,,,,,NA
24,2018-03-28,,,,,,,NA
25,2018-03-29,,,,,,,NA
26,2018-04-02,,,,,,,NA
27,2018-04-03,,,,,,,NA
28,2018-04-04,,,,,,,NA
29,2018-04-05,,,,,,,NA
30,2018-04-06,,,,,,,NA
31,2018-04-09,,,,,,,NA
32,2018-04-10,,,,,,,NA
33,2018-04-11,,,,,,,NA
34,2018-04-12,,,,,,,NA
35,2018-04-13,,,,,,,NA
36,2018-04-16,,,,,,,NA
37,2018-04-17,,,,,,,NA
38,2018-04-18,,,,,,,NA
39,2018-04-19,,,,,,,NA
40,2018-04-20,,,,,,,NA
41,2018-04-23,,,,,,,NA
42,2018-04-24,,,,,,,NA
43,2018-04-25,,,,,,,NA
44,2018-04-26,,,,,,,NA
45,2018-04-27,,,,,,,NA
46,2018-04-30,,,,,,,NA
47,2018-05-01,,,,,,,NA
48,2018-05-02,,,,,,,NA
49,2018-05-03,,,,,,,NA
50,2018-05-04,,,,,,,NA
51,2018-05-07,,,,,,,NA
52,2018-05-08,,,,,,,NA
53,2018-05-09,,,,,,,NA
54,2018-05-10,,,,,,,NA
55,2018-05-11,,,,,,,NA
56,2018-05-14,,,,,,,NA
57,2018-05-15,,,,,,,NA
58,2018-05-16,,,,,,,NA
59,2018-05-17,,,,,,,NA
60,2018-05-18,,,,,,,NA
61,2018-05-21,,,,,,,NA
62,2018-05-22,,,,,,,NA
63,2018-05-23,,,,,,,NA
64,2018-05-24,,,,,,,NA
65,2018-05-25,,,,,,,NA
66,2018-05-29,,,,,,,NA
67,2018-05-30,,,,,,,NA
68,2018-05-31,,,,,,,NA
69,2018-06-01,,,,,,,NA
70,2018-06-04,,,,,,,NA
71,2018-06-05,,,,,,,NA
72,2018-06-06,,,,,,,NA
73,2018-06-07,,,,,,,NA
74,2018-06-08,,,,,,,NA
75,2018-06-11,,,,,,,NA
