,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-03-01,10.1,10.27,10.039,10.1,10.1,13500,PACX
1,2021-03-02,10.19,10.29,9.91,9.95,9.95,171000,PACX
2,2021-03-03,10.2,10.215,9.84,9.95,9.95,204000,PACX
3,2021-03-04,9.99,10.13,9.85,10.03,10.03,209100,PACX
4,2021-03-05,9.809,10.03,9.809,9.95,9.95,24500,PACX
5,2021-03-08,9.8,10.025,9.76,9.92,9.92,36400,PACX
6,2021-03-09,9.945,9.95,9.864,9.925,9.925,4700,PACX
7,2021-03-10,9.75,9.97,9.75,9.94,9.94,31100,PACX
8,2021-03-11,9.994,10.0,9.79,9.99,9.99,30900,PACX
9,2021-03-12,9.89,9.99,9.86,9.92,9.92,14700,PACX
10,2021-03-15,9.95,9.95,9.75,9.8,9.8,139100,PACX
11,2021-03-16,9.81,9.81,9.7,9.78,9.78,342700,PACX
12,2021-03-17,9.77,9.86,9.76,9.8,9.8,172800,PACX
13,2021-03-18,9.87,9.87,9.735,9.74,9.74,86800,PACX
14,2021-03-19,9.83,9.84,9.775,9.8,9.8,12000,PACX
15,2021-03-22,9.79,9.88,9.7,9.78,9.78,24900,PACX
16,2021-03-23,9.759,9.759,9.62,9.645,9.645,49700,PACX
17,2021-03-24,9.667,9.69,9.61,9.65,9.65,435200,PACX
18,2021-03-25,9.55,9.73,9.55,9.65,9.65,160300,PACX
19,2021-03-26,9.65,9.78,9.64,9.71,9.71,43100,PACX
20,2021-03-29,9.73,9.819,9.64,9.66,9.66,178700,PACX
21,2021-03-30,9.68,9.753,9.68,9.75,9.75,113000,PACX
22,2021-03-31,9.8,9.8,9.72,9.72,9.72,94100,PACX
23,2021-04-01,9.75,9.78,9.71,9.74,9.74,32800,PACX
24,2021-04-05,9.72,9.793,9.72,9.75,9.75,35600,PACX
25,2021-04-06,9.73,9.81,9.73,9.8,9.8,78700,PACX
26,2021-04-07,9.79,9.83,9.79,9.79,9.79,32700,PACX
27,2021-04-08,9.847,9.85,9.75,9.79,9.79,51600,PACX
28,2021-04-09,9.77,9.88,9.77,9.88,9.88,39200,PACX
29,2021-04-12,9.78,9.865,9.78,9.824,9.824,21500,PACX
30,2021-04-13,9.83,10.01,9.83,9.85,9.85,33100,PACX
31,2021-04-14,9.85,9.88,9.82,9.85,9.85,332800,PACX
32,2021-04-15,9.84,9.85,9.82,9.82,9.82,7800,PACX
33,2021-04-16,9.89,9.89,9.75,9.84,9.84,153600,PACX
34,2021-04-19,9.87,9.87,9.75,9.82,9.82,62900,PACX
35,2021-04-20,9.8,9.82,9.79,9.79,9.79,19300,PACX
36,2021-04-21,9.78,9.88,9.78,9.87,9.87,47300,PACX
37,2021-04-22,9.83,9.88,9.802,9.85,9.85,6900,PACX
38,2021-04-23,9.859,9.86,9.81,9.85,9.85,4600,PACX
39,2021-04-26,9.8,9.87,9.78,9.78,9.78,26500,PACX
40,2021-04-27,9.795,9.8,9.76,9.8,9.8,39600,PACX
41,2021-04-28,9.8,9.87,9.78,9.86,9.86,2400,PACX
42,2021-04-29,9.87,9.88,9.77,9.78,9.78,14400,PACX
43,2021-04-30,9.81,9.81,9.76,9.8,9.8,8000,PACX
44,2021-05-03,9.76,9.8,9.75,9.76,9.76,24800,PACX
45,2021-05-04,9.8,9.8,9.75,9.8,9.8,27800,PACX
46,2021-05-05,9.78,9.83,9.76,9.78,9.78,22200,PACX
47,2021-05-06,9.77,9.78,9.76,9.76,9.76,30800,PACX
48,2021-05-07,9.79,9.79,9.75,9.76,9.76,42700,PACX
49,2021-05-10,9.75,9.78,9.75,9.75,9.75,10300,PACX
50,2021-05-11,9.72,9.75,9.71,9.71,9.71,6000,PACX
51,2021-05-12,9.72,9.75,9.71,9.72,9.72,4500,PACX
52,2021-05-13,9.75,9.75,9.71,9.74,9.74,6400,PACX
53,2021-05-14,9.71,9.76,9.71,9.71,9.71,5300,PACX
54,2021-05-17,9.715,9.72,9.715,9.72,9.72,2900,PACX
55,2021-05-18,9.74,9.74,9.71,9.71,9.71,500,PACX
56,2021-05-19,9.735,9.76,9.66,9.76,9.76,3000,PACX
57,2021-05-20,9.7,9.7,9.7,9.7,9.7,300,PACX
58,2021-05-21,9.7,9.7,9.7,9.7,9.7,200,PACX
59,2021-05-24,9.7,9.7,9.7,9.7,9.7,0,PACX
60,2021-05-25,9.7,9.73,9.7,9.73,9.73,600,PACX
61,2021-05-26,9.75,9.77,9.74,9.75,9.75,8200,PACX
62,2021-05-27,10.1,10.13,9.89,9.91,9.91,8677000,PACX
63,2021-05-28,9.98,9.98,9.88,9.88,9.88,1662900,PACX
64,2021-06-01,9.92,9.92,9.87,9.88,9.88,1313600,PACX
65,2021-06-02,9.9,9.91,9.85,9.91,9.91,665000,PACX
66,2021-06-03,9.88,9.92,9.87,9.87,9.87,2076900,PACX
67,2021-06-04,9.885,9.92,9.87,9.91,9.91,1399900,PACX
68,2021-06-07,9.91,9.91,9.87,9.87,9.87,193500,PACX
69,2021-06-08,9.89,9.91,9.86,9.9,9.9,240400,PACX
70,2021-06-09,9.95,9.95,9.87,9.93,9.93,553100,PACX
71,2021-06-10,9.95,9.95,9.87,9.94,9.94,295900,PACX
72,2021-06-11,9.94,9.98,9.91,9.95,9.95,1083300,PACX
73,2021-06-14,9.97,9.97,9.92,9.93,9.93,131900,PACX
74,2021-06-15,9.95,9.959,9.87,9.9,9.9,148900,PACX
75,2021-06-16,9.93,9.94,9.9,9.94,9.94,123400,PACX
76,2021-06-17,9.95,9.98,9.9,9.93,9.93,163200,PACX
77,2021-06-18,9.94,9.97,9.85,9.97,9.97,282600,PACX
78,2021-06-21,9.92,9.97,9.88,9.9,9.9,181000,PACX
79,2021-06-22,9.94,9.94,9.865,9.92,9.92,227600,PACX
80,2021-06-23,9.93,9.94,9.89,9.89,9.89,26800,PACX
81,2021-06-24,9.9,9.909,9.87,9.895,9.895,1033700,PACX
82,2021-06-25,9.9,9.91,9.88,9.89,9.89,145500,PACX
83,2021-06-28,9.92,9.95,9.88,9.9,9.9,701000,PACX
84,2021-06-29,9.91,9.92,9.89,9.919,9.919,122900,PACX
85,2021-06-30,9.92,9.92,9.89,9.91,9.91,59300,PACX
86,2021-07-01,9.91,9.92,9.88,9.88,9.88,103300,PACX
87,2021-07-02,9.9,9.9,9.87,9.875,9.875,81700,PACX
88,2021-07-06,9.9,9.9,9.87,9.88,9.88,116800,PACX
89,2021-07-07,9.89,9.9,9.87,9.89,9.89,311200,PACX
90,2021-07-08,9.9,9.91,9.87,9.9,9.9,475800,PACX
91,2021-07-09,9.9,9.905,9.89,9.9,9.9,25000,PACX
92,2021-07-12,9.9,9.9,9.89,9.9,9.9,15500,PACX
