,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,22.08,22.25,22.0,22.0,19.850464,1300,UBOH
1,2018-01-03,22.120001,22.120001,22.0,22.049999,19.895576,500,UBOH
2,2018-01-04,22.0,22.0,22.0,22.0,19.850464,200,UBOH
3,2018-01-05,22.0,22.030001,21.950001,21.950001,19.805349,2000,UBOH
4,2018-01-08,21.950001,21.950001,21.700001,21.700001,19.579773,1000,UBOH
5,2018-01-09,21.57,21.57,21.5,21.549999,19.444431,1400,UBOH
6,2018-01-10,21.299999,21.41,21.0,21.1,19.038397,1800,UBOH
7,2018-01-11,21.4,21.4,21.059999,21.18,19.11058,1100,UBOH
8,2018-01-12,21.450001,21.450001,21.450001,21.450001,19.3542,100,UBOH
9,2018-01-16,21.85,22.0,21.65,22.0,19.850464,700,UBOH
10,2018-01-17,21.35,21.969999,21.25,21.969999,19.823391,1600,UBOH
11,2018-01-18,21.799999,21.799999,21.799999,21.799999,19.670002,100,UBOH
12,2018-01-19,21.799999,22.0,21.799999,22.0,19.850464,1600,UBOH
13,2018-01-22,22.0,22.0,22.0,22.0,19.850464,0,UBOH
14,2018-01-23,22.0,22.0,21.879999,22.0,19.850464,4400,UBOH
15,2018-01-24,22.1,22.25,21.799999,22.200001,20.030924,11100,UBOH
16,2018-01-25,21.5,22.200001,21.5,21.799999,19.670002,3600,UBOH
17,2018-01-26,22.200001,22.200001,22.200001,22.200001,20.030924,300,UBOH
18,2018-01-29,22.1,22.1,21.5,22.1,19.940691,4000,UBOH
19,2018-01-30,22.1,22.200001,22.1,22.190001,20.021898,1400,UBOH
20,2018-01-31,21.93,22.15,21.93,22.15,19.985806,3900,UBOH
21,2018-02-01,22.15,22.15,22.15,22.15,19.985806,0,UBOH
22,2018-02-02,22.200001,22.200001,22.1,22.1,19.940691,2200,UBOH
23,2018-02-05,22.049999,22.049999,22.0,22.049999,19.895576,2700,UBOH
24,2018-02-06,22.049999,22.049999,22.049999,22.049999,19.895576,0,UBOH
25,2018-02-07,22.1,22.1,21.75,22.049999,19.895576,3500,UBOH
26,2018-02-08,22.1,22.1,21.889999,22.0,19.850464,1600,UBOH
27,2018-02-09,21.9,21.9,21.82,21.85,19.715111,700,UBOH
28,2018-02-12,21.799999,22.1,21.75,21.85,19.715111,4700,UBOH
29,2018-02-13,21.85,21.85,21.25,21.25,19.173744,3700,UBOH
30,2018-02-14,21.65,21.65,21.42,21.5,19.399315,800,UBOH
31,2018-02-15,21.35,21.35,21.299999,21.299999,19.218853,2200,UBOH
32,2018-02-16,21.200001,21.27,21.0,21.0,18.94817,7900,UBOH
33,2018-02-20,21.0,21.07,20.950001,20.959999,18.912075,5000,UBOH
34,2018-02-21,20.9,20.9,20.9,20.9,18.857937,1200,UBOH
35,2018-02-22,20.6,20.799999,20.6,20.799999,18.76771,1600,UBOH
36,2018-02-23,20.9,20.9,20.83,20.85,18.812826,800,UBOH
37,2018-02-26,20.5,20.98,20.5,20.85,18.812826,3100,UBOH
38,2018-02-27,20.389999,20.6,20.360001,20.450001,18.55872,1300,UBOH
39,2018-02-28,20.35,20.549999,20.35,20.549999,18.649467,1200,UBOH
40,2018-03-01,20.530001,20.700001,20.35,20.700001,18.785601,1400,UBOH
41,2018-03-02,20.799999,22.0,20.799999,22.0,19.965372,1100,UBOH
42,2018-03-05,22.0,22.0,20.4,21.799999,19.783863,5300,UBOH
43,2018-03-06,20.75,21.18,20.6,20.75,18.830976,3100,UBOH
44,2018-03-07,20.549999,21.5,20.5,21.5,19.511614,5100,UBOH
45,2018-03-08,21.5,21.5,20.549999,21.35,19.375479,3200,UBOH
46,2018-03-09,21.17,21.360001,21.17,21.299999,19.330107,1800,UBOH
47,2018-03-12,21.450001,21.450001,20.700001,21.0,19.057854,5600,UBOH
48,2018-03-13,21.9,21.9,20.799999,20.799999,18.87635,1700,UBOH
49,2018-03-14,21.65,21.65,21.6,21.65,19.647738,1200,UBOH
50,2018-03-15,21.700001,22.25,21.200001,22.15,20.101496,50400,UBOH
51,2018-03-16,22.15,22.15,22.0,22.15,20.101496,1400,UBOH
52,2018-03-19,22.08,22.15,22.08,22.15,20.101496,800,UBOH
