,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-02-28 19:43:46,2022-02-24,ACM,Wolfenbarger Janet Carol,Dir,M - OptEx,0.0,2673,29072,+10%,0.0,,,,,ACM
1,D,2022-02-28 19:42:38,2022-02-24,ACM,Tishman Daniel R.,Dir,M - OptEx,0.0,2673,62825,+4%,0.0,,,,,ACM
2,D,2022-02-28 19:41:47,2022-02-24,ACM,Stotlar Douglas,Dir,M - OptEx,0.0,2673,50532,+6%,0.0,,,,,ACM
3,D,2022-02-28 19:40:25,2022-02-24,ACM,Schmitz Clarence T,Dir,M - OptEx,0.0,2673,40219,+7%,0.0,,,,,ACM
4,D,2022-02-28 19:38:30,2022-02-24,ACM,Kennard Lydia H,Dir,M - OptEx,0.0,2673,11860,+29%,0.0,,,,,ACM
5,D,2022-02-28 19:37:22,2022-02-24,ACM,Hinman Jacqueline C.,Dir,M - OptEx,0.0,2673,8927,+43%,0.0,,,,,ACM
6,D,2022-02-28 19:36:06,2022-02-24,ACM,Creel Diane C,Dir,M - OptEx,0.0,2673,2673,New,0.0,,,,,ACM
7,D,2022-02-28 19:34:12,2022-02-24,ACM,Card Robert G,Dir,M - OptEx,0.0,2673,8945,+43%,0.0,,,,,ACM
8,D,2022-02-28 19:32:07,2022-02-24,ACM,Buss Brad W,Dir,M - OptEx,0.0,2673,18763,+17%,0.0,,,,,ACM
9,D,2022-02-28 19:05:15,2022-02-24,ACM,Van 'T Noordende Alexander M,Dir,M - OptEx,0.0,2673,4928,+119%,0.0,,,,,ACM
10,D,2021-12-21 19:37:00,2021-12-17,ACM,Kapoor Gaurav,CFO,A - Grant,0.0,17274,32293,+115%,0.0,,,,,ACM
11,D,2021-12-21 19:37:00,2021-12-17,ACM,Kapoor Gaurav,CFO,F - Tax,73.4,-12646,32293,-28%,-928216.0,,,,,ACM
12,D,2021-12-21 19:37:00,2021-12-17,ACM,Kapoor Gaurav,CFO,M - OptEx,0.0,8637,32293,+37%,0.0,,,,,ACM
13,D,2021-12-21 19:36:10,2021-12-17,ACM,Battley Todd,Chief Strategy Officer,A - Grant,0.0,4910,12126,+68%,0.0,,,,,ACM
14,D,2021-12-21 19:36:10,2021-12-17,ACM,Battley Todd,Chief Strategy Officer,M - OptEx,0.0,2455,12126,+25%,0.0,,,,,ACM
15,D,2021-12-21 19:35:31,2021-12-17,ACM,Rudd Troy,CEO,A - Grant,0.0,96000,167663,+134%,0.0,,,,,ACM
16,D,2021-12-21 19:35:31,2021-12-17,ACM,Rudd Troy,CEO,F - Tax,73.4,-64192,167663,-28%,-4711693.0,,,,,ACM
17,D,2021-12-21 19:35:31,2021-12-17,ACM,Rudd Troy,CEO,M - OptEx,0.0,32000,167663,+24%,0.0,,,,,ACM
