,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2015-03-19 12:32:17,2015-01-05,AERT,Brooks Joe G,Dir,G - Gift,0.08,-137011,3869908,-3%,-10961.0,,,,,AERT
1,,2009-09-14 18:37:37,2009-09-09,AERT,Lau Peter,Dir,P - Purchase,0.51,10000,20000,+100%,5100.0,,,,,AERT
2,M,2009-04-06 18:08:46,2009-04-03,AERT,Lau Peter,Dir,P - Purchase,0.62,10000,10000,New,6171.0,,,,,AERT
3,M,2008-12-24 14:28:19,2008-12-11,AERT,Lau Peter,Dir,S - Sale,0.2,-25450,27500,-48%,-5144.0,,,,,AERT
4,,2008-12-05 10:40:28,2008-12-02,AERT,Drinkwater Alford,SVP,P - Purchase,0.23,2000,12000,+20%,460.0,,,,,AERT
5,,2008-04-14 17:36:20,2008-04-10,AERT,Miwa Hisao Sal,Dir,S - Sale,0.85,-13424,181451,-7%,-11404.0,,,,,AERT
6,,2008-04-08 18:24:42,2008-04-04,AERT,Lau Peter,Dir,P - Purchase,0.85,13950,52950,+36%,11858.0,,,,,AERT
7,,2008-03-03 21:43:26,2008-02-28,AERT,Lau Peter,Dir,P - Purchase,0.98,15000,42500,+55%,14678.0,,,,,AERT
8,,2007-11-21 15:09:16,2007-11-19,AERTA,Thayer Robert Alden,"Senior vice-Pres, CFO",P - Purchase,0.79,5000,205000,+3%,3940.0,,,,,AERT
9,,2007-06-06 15:56:24,2007-06-05,AERTA,Brooks Marjorie S,"Secretary, Treasurer",S - Sale,1.05,-1771792,10415041,-15%,-1860382.0,,,,,AERT
10,,2007-06-06 15:49:06,2007-06-05,AERTA,Brooks Stephen W,Co-CEO,P - Purchase,1.05,885896,1707008,+108%,930191.0,,,,,AERT
11,,2007-06-06 15:20:18,2007-06-05,AERTA,Brooks Joe G,"COB, Co-CEO, Pres",P - Purchase,1.05,885896,1782668,+99%,930191.0,,,,,AERT
12,D,2007-05-24 18:48:22,2007-05-23,AERTA,Miwa Hisao Sal,Dir,S - Sale+OE,1.37,-21963,194875,-10%,-30096.0,,,,,AERT
13,DM,2007-05-22 19:09:22,2007-05-18,AERTA,Miwa Hisao Sal,Dir,S - Sale+OE,1.36,-21400,216838,-9%,-29012.0,,,,,AERT
14,M,2007-05-17 18:22:15,2007-05-15,AERTA,Miwa Hisao Sal,Dir,S - Sale,1.42,-45600,238238,-16%,-64969.0,,,,,AERT
15,DM,2007-04-11 18:17:39,2007-04-09,AERTA,Miwa Hisao Sal,Dir,S - Sale+OE,1.46,-6117,283838,-2%,-8954.0,,,,,AERT
16,D,2007-04-05 15:25:39,2007-04-03,AERTA,Miwa Hisao Sal,Dir,S - Sale+OE,1.4,-5500,289955,-2%,-7710.0,,,,,AERT
17,M,2007-04-03 16:35:07,2007-03-30,AERTA,Miwa Hisao Sal,Dir,S - Sale,1.4,-27704,295455,-9%,-38796.0,,,,,AERT
18,DM,2007-03-30 17:37:42,2007-03-28,AERTA,Miwa Hisao Sal,Dir,S - Sale+OE,1.48,-22406,323159,-6%,-33161.0,,,,,AERT
19,M,2007-03-28 20:20:35,2007-03-26,AERTA,Miwa Hisao Sal,Dir,S - Sale,1.48,-33816,345565,-9%,-50076.0,,,,,AERT
20,M,2007-03-26 15:46:18,2007-03-22,AERTA,Miwa Hisao Sal,Dir,S - Sale,1.53,-35430,379381,-9%,-54205.0,,,,,AERT
21,D,2006-12-29 16:30:35,2006-12-27,AERTA,Tull Michael M,Dir,P - Purchase,1.2,283333,640780,+79%,340000.0,,,,,AERT
22,DM,2006-12-04 17:32:22,2006-11-29,AERTA,Brooks J Douglas,Exec Vice-Pres,G - Gift,1.88,-15000,894065,-2%,-28150.0,,,,,AERT
23,D,2006-12-04 17:32:22,2006-11-30,AERTA,Brooks J Douglas,Exec Vice-Pres,P - Purchase,0.47,300000,894065,+50%,140630.0,,,,,AERT
24,D,2006-11-21 10:01:46,2006-11-21,AERTA,Miwa Hisao Sal,Dir,P - Purchase,0.38,75000,378963,+25%,28125.0,,,,,AERT
25,D,2006-11-21 10:01:46,2006-11-17,AERTA,Miwa Hisao Sal,Dir,S - Sale+OE,1.64,-75000,378963,-17%,-122731.0,,,,,AERT
26,M,2006-08-30 18:17:15,2006-08-28,AERTA,Milbank Samuel L Tony,Dir,S - Sale,2.8,-10000,513807,-2%,-28000.0,,,,,AERT
27,,2006-08-18 17:20:25,2006-08-16,AERTA,Milbank Samuel L Tony,Dir,S - Sale,2.83,-15000,523807,-3%,-42450.0,,,,,AERT
28,,2006-06-02 19:29:50,2006-05-31,AERTA,Brooks J Douglas,Exec Vice-Pres,G - Gift,3.02,-10000,909065,-1%,-30200.0,,,,,AERT
29,D,2006-03-31 16:27:20,2006-03-29,AERTA,Miwa Hisao Sal,Dir,P - Purchase,0.81,25000,453963,+6%,20250.0,,,,,AERT
30,M,2006-03-24 16:27:59,2006-03-21,AERTA,Miwa Hisao Sal,Dir,S - Sale,1.89,-19400,453963,-4%,-36750.0,,,,,AERT
31,,2006-03-21 14:46:16,2006-03-20,AERTA,Miwa Hisao Sal,Dir,S - Sale,1.95,-5600,473363,-1%,-10920.0,,,,,AERT
32,,2005-12-13 13:14:03,2005-12-08,AERTA,Brooks J Douglas,Exec Vice-Pres,G - Gift,1.6,-8888,929509,-1%,-14221.0,,,,,AERT
33,,2005-11-21 10:51:53,2005-11-17,AERTA,Milbank Samuel L Tony,Dir,P - Purchase,1.42,10000,542317,+2%,14200.0,,,,,AERT
34,M,2005-11-21 10:51:53,2005-08-22,AERTA,Milbank Samuel L Tony,Dir,S - Sale,1.28,-18000,542317,-3%,-23070.0,,,,,AERT
35,,2005-11-03 17:18:53,2005-11-01,AERTA,Miwa Hisao Sal,Dir,S - Sale,1.33,-3000,478963,-1%,-3990.0,,,,,AERT
36,,2005-08-23 12:12:41,2005-08-19,AERTA,Milbank Samuel L Tony,Dir,S - Sale,1.24,-2000,550317,0%,-2480.0,,,,,AERT
37,,2005-08-04 18:17:00,2005-08-02,AERTA,Miwa Hisao Sal,Dir,S - Sale,1.29,-25000,481963,-5%,-32175.0,,,,,AERT
