,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-07 17:21:13,2022-03-03,AES,Rubiolo Juan Ignacio,"EVP, Pres Int. Businesses",A - Grant,0.0,12161,65458,+23%,0.0,,,,,AES
1,,2022-03-07 17:19:51,2022-03-03,AES,Nebreda Julian,"EVP, Pres US, Glob. Bus. Lines",A - Grant,0.0,15473,116846,+15%,0.0,,,,,AES
2,,2022-03-07 17:19:51,2022-03-03,AES,Nebreda Julian,"EVP, Pres US, Glob. Bus. Lines",F - Tax,21.46,-5128,116846,-4%,-110047.0,,,,,AES
3,,2022-03-07 17:18:42,2022-03-03,AES,Mendoza Tish,"EVP, CHRO",A - Grant,0.0,17734,172586,+11%,0.0,,,,,AES
4,,2022-03-07 17:18:42,2022-03-03,AES,Mendoza Tish,"EVP, CHRO",F - Tax,21.46,-7467,172586,-4%,-160242.0,,,,,AES
5,,2022-03-07 17:16:21,2022-03-03,AES,Freedman Paul L,"EVP, GC, Corp. Secretary",A - Grant,0.0,12379,60755,+26%,0.0,,,,,AES
6,,2022-03-07 17:16:21,2022-03-03,AES,Freedman Paul L,"EVP, GC, Corp. Secretary",F - Tax,21.46,-5507,60755,-8%,-118180.0,,,,,AES
7,,2022-03-07 17:14:46,2022-03-03,AES,Da Santos Bernerd,"EVP, COO",A - Grant,0.0,43170,264458,+20%,0.0,,,,,AES
8,,2022-03-07 17:14:46,2022-03-03,AES,Da Santos Bernerd,"EVP, COO",F - Tax,21.46,-18741,264458,-7%,-402182.0,,,,,AES
9,,2022-03-07 17:13:07,2022-03-03,AES,Gluski Andres,"Pres, CEO",A - Grant,0.0,150771,1315338,+13%,0.0,,,,,AES
10,,2022-03-07 17:13:07,2022-03-03,AES,Gluski Andres,"Pres, CEO",F - Tax,21.46,-72823,1315338,-5%,-1562782.0,,,,,AES
11,,2022-03-07 07:50:40,2022-03-04,AES,Coughlin Stephen,"EVP, CFO",P - Purchase,21.3,47000,67622,+228%,1001100.0,,,,,AES
