,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-01-04 16:24:39,2022-01-03,ALCO,Slack Henry R,Dir,A - Grant,37.69,498,154550,0%,18770.0,,,,,ALC
1,,2022-01-04 16:23:57,2022-01-03,ALCO,Putnam Adam,Dir,A - Grant,37.69,531,4469,+13%,20013.0,,,,,ALC
2,,2022-01-04 16:21:58,2022-01-03,ALCO,Purse Toby K,Dir,A - Grant,37.69,531,9080,+6%,20013.0,,,,,ALC
3,,2022-01-04 16:21:20,2022-01-03,ALCO,Krusen W Andrew Jr,Dir,A - Grant,37.69,564,71777,+1%,21257.0,,,,,ALC
4,,2022-01-04 16:20:09,2022-01-03,ALCO,Fishman Benjamin D,Dir,A - Grant,37.69,830,3280,+34%,31283.0,,,,,ALC
5,,2022-01-04 16:18:53,2022-01-03,ALCO,English Katherine,Dir,A - Grant,37.69,531,4433,+14%,20013.0,,,,,ALC
6,,2022-01-04 16:17:59,2022-01-03,ALCO,Eisner R. Gregory,Dir,A - Grant,37.69,498,28373,+2%,18770.0,,,,,ALC
7,,2022-01-04 16:17:00,2022-01-03,ALCO,Brokaw George R,Dir,A - Grant,37.69,498,258474,0%,18770.0,,,,,ALC
8,D,2021-12-16 16:14:07,2021-12-15,ALCO,Rallo Richard,"CFO, CAO",M - OptEx,33.96,5000,6293,+387%,169800.0,,,,,ALC
9,,2021-11-12 16:20:39,2021-10-15,ALCO,Kiernan John E,"Pres, CEO",A - Grant,0.0,2500,19079,+15%,0.0,,,,,ALC
10,,2021-11-12 16:19:40,2021-11-05,ALCO,Sutton Daniel Keith,Pres of Citrus,A - Grant,0.0,674,1488,+83%,0.0,,,,,ALC
11,,2021-11-12 16:18:14,2021-11-05,ALCO,Sampel James,CIO,A - Grant,0.0,472,991,+91%,0.0,,,,,ALC
12,,2021-11-12 16:17:08,2021-11-05,ALCO,Rallo Richard,"CFO, CAO",A - Grant,0.0,674,1293,+109%,0.0,,,,,ALC
13,,2021-10-15 21:04:21,2021-10-13,ALCO,Arlon Valencia Holdings LLC,Dir,S - Sale,34.5,-533,727188,0%,-18389.0,,,,,ALC
14,M,2021-10-08 20:19:11,2021-10-05,ALCO,Arlon Valencia Holdings LLC,Dir,S - Sale,34.63,-7008,727721,-1%,-242693.0,,,,,ALC
15,M,2021-10-04 20:49:18,2021-09-30,ALCO,Arlon Valencia Holdings LLC,Dir,S - Sale,34.53,-1692,734729,0%,-58419.0,,,,,ALC
16,,2021-10-04 16:26:22,2021-10-01,ALCO,Slack Henry R,Dir,A - Grant,34.37,546,154052,0%,18766.0,,,,,ALC
17,,2021-10-04 16:25:10,2021-10-01,ALCO,Putnam Adam,Dir,A - Grant,34.37,582,3938,+17%,20003.0,,,,,ALC
18,,2021-10-04 16:24:39,2021-10-01,ALCO,Purse Toby K,Dir,A - Grant,34.37,582,8549,+7%,20003.0,,,,,ALC
19,,2021-10-04 16:23:49,2021-10-01,ALCO,Krusen W Andrew Jr,Dir,A - Grant,34.37,619,71213,+1%,21275.0,,,,,ALC
20,,2021-10-04 16:23:15,2021-10-01,ALCO,Fishman Benjamin D,Dir,A - Grant,34.37,1237,2450,+102%,42516.0,,,,,ALC
21,,2021-10-04 16:22:28,2021-10-01,ALCO,English Katherine,Dir,A - Grant,34.37,546,3902,+16%,18766.0,,,,,ALC
22,,2021-10-04 16:21:48,2021-10-01,ALCO,Eisner R. Gregory,Dir,A - Grant,34.37,546,27875,+2%,18766.0,,,,,ALC
23,,2021-10-04 16:20:05,2021-10-01,ALCO,Brokaw George R,Dir,A - Grant,34.37,546,257976,0%,18766.0,,,,,ALC
24,M,2021-09-29 21:29:37,2021-09-27,ALCO,Arlon Valencia Holdings LLC,"Dir, 10%",S - Sale,34.64,-21217,736421,-3%,-734956.0,,,,,ALC
25,M,2021-09-23 21:06:05,2021-09-21,ALCO,Arlon Valencia Holdings LLC,"Dir, 10%",S - Sale,35.27,-12083,757638,-2%,-426226.0,,,,,ALC
26,M,2021-09-20 21:03:48,2021-09-16,ALCO,Arlon Valencia Holdings LLC,"Dir, 10%",S - Sale,35.41,-18700,769721,-2%,-662215.0,,,,,ALC
27,M,2021-09-15 21:02:44,2021-09-13,ALCO,Arlon Valencia Holdings LLC,"Dir, 10%",S - Sale,36.0,-22500,788421,-3%,-810000.0,,,,,ALC
28,M,2021-09-13 08:01:25,2021-09-08,ALCO,Arlon Valencia Holdings LLC,"Dir, 10%",S - Sale,36.03,-20000,810921,-2%,-720625.0,,,,,ALC
29,,2021-07-06 12:57:49,2021-07-01,ALCO,Slack Henry R,Dir,A - Grant,35.05,535,153506,0%,18752.0,,,,,ALC
30,,2021-07-06 12:55:46,2021-07-01,ALCO,Putnam Adam,Dir,A - Grant,35.05,535,3356,+19%,18752.0,,,,,ALC
31,,2021-07-06 12:53:45,2021-07-01,ALCO,Purse Toby K,Dir,A - Grant,35.05,571,7967,+8%,20014.0,,,,,ALC
32,,2021-07-06 12:51:32,2021-07-01,ALCO,Krusen W Andrew Jr,Dir,A - Grant,35.05,607,70594,+1%,21275.0,,,,,ALC
33,,2021-07-06 12:49:16,2021-07-01,ALCO,Fishman Benjamin D,Dir,A - Grant,35.05,1213,1213,New,42516.0,,,,,ALC
34,,2021-07-06 12:47:20,2021-07-01,ALCO,English Katherine,Dir,A - Grant,35.05,535,3356,+19%,18752.0,,,,,ALC
35,,2021-07-06 12:43:52,2021-07-01,ALCO,Eisner R. Gregory,Dir,A - Grant,35.05,535,27329,+2%,18752.0,,,,,ALC
36,,2021-07-06 12:40:10,2021-07-01,ALCO,Brokaw George R,Dir,A - Grant,35.05,535,257430,0%,18752.0,,,,,ALC
37,,2021-04-02 16:13:02,2021-04-01,ALCO,Slack Henry R,Dir,A - Grant,29.51,795,152971,+1%,23460.0,,,,,ALC
38,,2021-04-02 16:12:30,2021-04-01,ALCO,Putnam Adam,Dir,A - Grant,29.51,795,2821,+39%,23460.0,,,,,ALC
39,,2021-04-02 16:12:04,2021-04-01,ALCO,Purse Toby K,Dir,A - Grant,29.51,848,7396,+13%,25024.0,,,,,ALC
40,,2021-04-02 16:11:29,2021-04-01,ALCO,Krusen W Andrew Jr,Dir,A - Grant,29.51,901,69987,+1%,26589.0,,,,,ALC
41,,2021-04-02 16:10:35,2021-04-01,ALCO,English Katherine,Dir,A - Grant,29.51,795,2821,+39%,23460.0,,,,,ALC
42,,2021-04-02 16:10:23,2021-04-01,ALCO,Eisner R. Gregory,Dir,A - Grant,29.51,795,26794,+3%,23460.0,,,,,ALC
43,,2021-04-02 16:09:45,2021-04-01,ALCO,Brokaw George R,Dir,A - Grant,29.51,795,256895,0%,23460.0,,,,,ALC
44,,2021-04-02 16:09:00,2021-04-01,ALCO,Arlon Valencia Holdings LLC,"Dir, 10%",A - Grant,29.51,1801,830921,0%,53148.0,,,,,ALC
45,,2021-03-08 17:25:08,2021-03-04,ALCO,Trafelet Remy W,10%,S - Sale,29.1,-65000,751068,-8%,-1891200.0,,,,,ALC
46,,2021-02-11 13:01:26,2021-02-09,ALCO,Trafelet Remy W,10%,S - Sale,31.0,-49923,816068,-6%,-1547613.0,,,,,ALC
47,,2021-01-05 16:17:15,2021-01-04,ALCO,Slack Henry R,Dir,A - Grant,30.6,766,152176,+1%,23440.0,,,,,ALC
48,,2021-01-05 16:16:46,2021-01-04,ALCO,Putnam Adam,Dir,A - Grant,30.6,766,2026,+61%,23440.0,,,,,ALC
49,,2021-01-05 16:16:15,2021-01-04,ALCO,Purse Toby K,Dir,A - Grant,30.6,817,6548,+14%,25000.0,,,,,ALC
50,,2021-01-05 16:15:48,2021-01-04,ALCO,Krusen W Andrew Jr,Dir,A - Grant,30.6,869,69086,+1%,26591.0,,,,,ALC
51,,2021-01-05 16:15:22,2021-01-04,ALCO,English Katherine,Dir,A - Grant,30.6,766,2026,+61%,23440.0,,,,,ALC
52,,2021-01-05 16:14:53,2021-01-04,ALCO,Eisner R. Gregory,Dir,A - Grant,30.6,766,25999,+3%,23440.0,,,,,ALC
53,,2021-01-05 16:14:20,2021-01-04,ALCO,Brokaw George R,Dir,A - Grant,30.6,766,256100,0%,23440.0,,,,,ALC
54,,2021-01-05 16:13:11,2021-01-04,ALCO,Arlon Valencia Holdings LLC,"Dir, 10%",A - Grant,30.6,1737,829120,0%,53152.0,,,,,ALC
55,,2020-12-22 20:46:14,2020-12-18,ALCO,Trafelet Remy W,10%,S - Sale,31.55,-510,865991,0%,-16091.0,,,,,ALC
56,M,2020-12-17 18:13:27,2020-12-14,ALCO,Trafelet Remy W,10%,S - Sale,31.5,-44605,866501,-5%,-1405058.0,,,,,ALC
57,,2020-11-12 20:47:19,2020-11-10,ALCO,Sutton Daniel Keith,Pres of Citrus,A - Grant,0.0,714,814,+714%,0.0,,,,,ALC
58,,2020-11-12 20:45:40,2020-11-10,ALCO,Sampel James,CIO,A - Grant,0.0,519,519,New,0.0,,,,,ALC
59,,2020-11-12 20:43:50,2020-11-10,ALCO,Rallo Richard,"CFO, CAO",A - Grant,0.0,619,619,New,0.0,,,,,ALC
60,,2020-11-12 20:41:30,2020-11-10,ALCO,Kiernan John E,"Pres, CEO",A - Grant,0.0,3579,16579,+28%,0.0,,,,,ALC
61,,2020-10-05 16:12:06,2020-10-01,ALCO,Brokaw George R,Dir,A - Grant,28.65,819,255334,0%,23464.0,,,,,ALC
62,,2020-10-02 16:09:37,2020-10-01,ALCO,Slack Henry R,Dir,A - Grant,28.65,819,151410,+1%,23464.0,,,,,ALC
63,,2020-10-02 16:09:04,2020-10-01,ALCO,Putnam Adam,Dir,A - Grant,28.65,819,1260,+186%,23464.0,,,,,ALC
64,,2020-10-02 16:08:35,2020-10-01,ALCO,Purse Toby K,Dir,A - Grant,28.65,873,5731,+18%,25011.0,,,,,ALC
65,,2020-10-02 16:08:05,2020-10-01,ALCO,Krusen W Andrew Jr,Dir,A - Grant,28.65,928,68217,+1%,26587.0,,,,,ALC
66,,2020-10-02 16:07:35,2020-10-01,ALCO,English Katherine,Dir,A - Grant,28.65,819,1260,+186%,23464.0,,,,,ALC
67,,2020-10-02 16:07:04,2020-10-01,ALCO,Eisner R. Gregory,Dir,A - Grant,28.65,819,25233,+3%,23464.0,,,,,ALC
