,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-10 16:05:41,2021-12-09,AVYA,Spears Stephen,"EVP, Chief Revenue Officer",S - Sale,20.58,-23748,227631,-9%,-488734.0,,,,,AVYA
1,,2021-12-09 16:09:02,2021-12-08,AVYA,Chirico James M,"Pres, CEO",S - Sale,21.09,-30000,1328261,-2%,-632700.0,,,,,AVYA
2,,2021-12-02 16:14:33,2021-11-30,AVYA,Speed Kevin,"GVP, Controller, CAO",S - Sale,20.03,-10000,53686,-16%,-200300.0,,,,,AVYA
3,,2021-11-29 16:08:38,2021-11-24,AVYA,Chirico James M,"Pres, CEO",S - Sale,21.41,-50000,1147748,-4%,-1070500.0,,,,,AVYA
4,,2021-11-29 16:07:08,2021-11-24,AVYA,Shah Shefali A,"EVP, CAO",S - Sale,21.74,-25000,163979,-13%,-543500.0,,,,,AVYA
5,,2021-11-29 16:05:47,2021-11-24,AVYA,McGrath Kieran J,"EVP, CFO",S - Sale,21.83,-35000,266701,-12%,-764050.0,,,,,AVYA
6,,2021-09-17 16:06:03,2021-09-15,AVYA,Spears Stephen,"EVP, Chief Revenue Officer",S - Sale,19.2,-13000,206330,-6%,-249600.0,,,,,AVYA
7,D,2021-02-16 19:35:55,2021-02-11,AVYA,Chirico James M,"Pres, CEO",S - Sale+OE,32.8,-304469,1224940,-20%,-9986250.0,,,,,AVYA
8,,2021-01-19 16:34:45,2021-01-15,AVYA,Spradley Susan Louise,Dir,S - Sale,20.86,-12847,39570,-25%,-267988.0,,,,,AVYA
9,,2020-03-12 16:06:05,2020-03-11,AVYA,McGrath Kieran J,"EVP, CFO",P - Purchase,8.72,28700,329931,+10%,250207.0,,,,,AVYA
10,,2020-03-10 16:43:10,2020-03-10,AVYA,Shah Shefali A,"EVP, CAO, GC",P - Purchase,9.14,10000,146881,+7%,91350.0,,,,,AVYA
11,,2020-03-04 16:12:52,2020-03-03,AVYA,Bartolo Anthony,"EVP, Chief Product Officer",P - Purchase,12.88,10000,185746,+6%,128800.0,,,,,AVYA
