,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-04-29 16:48:55,2022-04-28,AXP,Squeri Stephen J,"COB, CEO",S - Sale,178.38,-48160,198195,-20%,-8590632.0,,,,,AXP
1,,2022-02-15 16:20:22,2022-02-14,AXP,Lieberman Quinn Jessica,EVP - Controller,S - Sale,191.42,-1804,2643,-41%,-345316.0,,,,,AXP
2,D,2022-02-09 19:44:36,2022-02-09,AXP,Williams Anre D,"Group Pres, Enterprise Serv.",S - Sale+OE,196.82,-139909,114178,-55%,-27536698.0,,,,,AXP
3,,2022-02-09 19:21:56,2022-02-08,AXP,Joabar Raymond,"Grp. Pres, GMNS",S - Sale,192.67,-7800,15536,-33%,-1502824.0,,,,,AXP
4,ADM,2022-02-09 19:20:17,2022-01-31,AXP,Seeger Laureen,GC,S - Sale+OE,180.48,-44386,47764,-48%,-8010945.0,,,,,AXP
5,AD,2022-02-07 18:42:13,2022-02-03,AXP,Pickett Denise,"Pres, GSG, TLS",S - Sale+OE,183.96,-7000,17207,-29%,-1287685.0,,,,,AXP
6,AD,2022-02-07 18:18:36,2022-02-01,AXP,Squeri Stephen J,"COB, CEO",S - Sale+OE,178.6,-267656,246354,-52%,-47804524.0,,,,,AXP
7,ADM,2022-02-07 18:13:02,2022-01-31,AXP,Marrs Anna,"Group Pres, GCS, CFR",S - Sale+OE,178.49,-36682,15642,-70%,-6547461.0,,,,,AXP
8,D,2022-02-02 17:20:46,2022-01-31,AXP,Seeger Laureen,GC,S - Sale+OE,175.57,-30808,60986,-34%,-5408884.0,,,,,AXP
9,D,2022-02-02 17:16:49,2022-02-01,AXP,Squeri Stephen J,"COB, CEO",S - Sale+OE,178.6,-267656,246353,-52%,-47804524.0,,,,,AXP
10,AD,2022-02-02 17:11:06,2022-01-31,AXP,Marrs Anna,"Group Pres, GCS, CFR",S - Sale+OE,177.14,-29982,19376,-61%,-5310964.0,,,,,AXP
11,D,2021-11-29 14:51:59,2021-11-24,AXP,Marrs Anna,"Group Pres, GCS, CFR",S - Sale+OE,171.22,-26094,5975,-81%,-4467815.0,,,,,AXP
12,,2021-09-14 14:57:19,2021-09-10,AXP,Gordon Marc D,CIO,S - Sale,159.24,-13424,17600,-43%,-2137638.0,,,,,AXP
13,D,2021-08-04 18:03:35,2021-08-02,AXP,Campbell Jeffrey C,"Vice COB, CFO",S - Sale+OE,170.48,-74677,86125,-46%,-12731019.0,,,,,AXP
14,D,2021-06-21 15:04:59,2021-06-17,AXP,Seeger Laureen,GC,S - Sale+OE,165.44,-20625,47408,-30%,-3412248.0,,,,,AXP
15,D,2021-06-11 15:33:56,2021-06-09,AXP,Joabar Raymond,"Grp. Pres, GMNS",S - Sale+OE,164.03,-10000,15292,-40%,-1640300.0,,,,,AXP
16,,2021-05-11 14:40:45,2021-05-07,AXP,Pickett Denise,"Pres, GSG, TLS",S - Sale,157.53,-2460,17035,-13%,-387524.0,,,,,AXP
17,D,2021-05-04 17:06:24,2021-04-30,AXP,Pickett Denise,"Pres, GSG, TLS",S - Sale+OE,153.11,-5260,19495,-21%,-805359.0,,,,,AXP
18,D,2021-03-11 14:05:14,2021-03-09,AXP,Buckminster Douglas E.,"Grp Pres, Glb Consumer Svcs",S - Sale+OE,146.08,-32833,78074,-30%,-4796344.0,,,,,AXP
19,D,2021-03-09 17:27:22,2021-03-05,AXP,Williams Anre D,"Group Pres, GMNS",S - Sale+OE,145.88,-59352,93480,-39%,-8658270.0,,,,,AXP
20,D,2021-03-02 15:32:12,2021-02-26,AXP,Squeri Stephen J,"COB, CEO",S - Sale+OE,135.58,-69635,207285,-25%,-9440877.0,,,,,AXP
21,D,2021-02-09 13:39:24,2021-02-05,AXP,Gordon Marc D,CIO,S - Sale+OE,126.0,-33445,28128,-54%,-4214070.0,,,,,AXP
22,D,2021-02-04 16:15:37,2021-02-02,AXP,Pickett Denise,"Pres, Glbl Services Group",S - Sale+OE,119.09,-29292,17011,-63%,-3488384.0,,,,,AXP
23,,2020-11-12 14:06:15,2020-11-10,AXP,Marrs Anna,"Pres, Global Comm. Services",S - Sale,119.56,-2064,0,-100%,-246772.0,,,,,AXP
24,D,2020-11-10 15:03:40,2020-11-06,AXP,Buckminster Douglas E.,"Grp Pres, Glb Consumer Svcs",S - Sale+OE,96.85,-14827,95730,-13%,-1435995.0,,,,,AXP
25,,2020-08-20 16:21:12,2020-08-18,AXP,Pickett Denise,"Pres, Glbl Services Group",S - Sale,96.62,-2864,11577,-20%,-276720.0,,,,,AXP
26,,2020-02-13 15:37:50,2020-02-11,AXP,Pike Lynn Ann,Dir,P - Purchase,132.87,1000,1065,>999%,132870.0,,,,,AXP
27,,2020-02-10 17:04:25,2020-02-07,AXP,Joabar Raymond,"CRO, Pres, GRBC",S - Sale,132.29,-4531,8596,-35%,-599406.0,,,,,AXP
28,,2020-02-03 17:23:07,2020-01-30,AXP,Leonsis Theodore,Dir,S - Sale,132.61,-7575,4005,-65%,-1004521.0,,,,,AXP
29,D,2020-01-30 18:11:40,2020-01-29,AXP,Seeger Laureen,GC,S - Sale+OE,132.05,-20918,35951,-37%,-2762167.0,,,,,AXP
30,,2020-01-30 18:07:30,2020-01-29,AXP,Petrino Richard,EVP - Corporate Controller,S - Sale,131.83,-3500,7115,-33%,-461405.0,,,,,AXP
31,D,2020-01-29 17:19:34,2020-01-27,AXP,Joabar Raymond,"CRO, Pres, GRBC",S - Sale+OE,131.21,-17544,8596,-67%,-2301948.0,,,,,AXP
32,D,2020-01-28 17:30:32,2020-01-24,AXP,Seeger Laureen,GC,S - Sale+OE,136.04,-27571,26168,-51%,-3750799.0,,,,,AXP
33,,2019-12-04 17:32:54,2019-12-02,AXP,Squeri Stephen J,"COB, CEO",S - Sale,117.96,-15000,180417,-8%,-1769382.0,,,,,AXP
34,,2019-10-29 10:08:39,2019-10-25,AXP,Pickett Denise,"Pres, Glbl Services Group",S - Sale,118.39,-2400,8770,-21%,-284136.0,,,,,AXP
35,,2019-10-25 14:20:31,2019-10-23,AXP,Leonsis Theodore,Dir,S - Sale,116.44,-8420,11580,-42%,-980425.0,,,,,AXP
36,,2019-09-05 17:00:24,2019-09-03,AXP,Squeri Stephen J,"COB, CEO",S - Sale,118.33,-15000,195417,-7%,-1774919.0,,,,,AXP
37,,2019-08-02 11:52:04,2019-08-01,AXP,Campbell Jeffrey C,CFO,S - Sale,124.91,-7045,55934,-11%,-879964.0,,,,,AXP
38,D,2019-07-26 10:30:53,2019-07-25,AXP,Fabara Paul D,"Pres, Global Services Group",S - Sale+OE,127.06,-15455,31494,-33%,-1963712.0,,,,,AXP
39,,2019-06-12 13:01:30,2019-06-10,AXP,Campbell Jeffrey C,CFO,S - Sale,122.93,-6500,62979,-9%,-799032.0,,,,,AXP
40,,2019-06-05 13:06:42,2019-06-03,AXP,Squeri Stephen J,"COB, CEO",S - Sale,114.69,-15000,210416,-7%,-1720295.0,,,,,AXP
41,D,2019-05-30 15:09:52,2019-05-28,AXP,Seeger Laureen,GC,S - Sale+OE,119.25,-44584,35791,-55%,-5316707.0,,,,,AXP
42,D,2019-05-21 14:33:32,2019-05-20,AXP,Squeri Stephen J,"COB, CEO",S - Sale+OE,119.95,-101964,225416,-31%,-12230582.0,,,,,AXP
43,D,2019-04-29 17:24:44,2019-04-25,AXP,Pickett Denise,"Pres, GRBC, CRO",S - Sale+OE,116.21,-17964,13689,-57%,-2087596.0,,,,,AXP
