,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,DM,2021-11-15 10:55:24,2021-11-11,BIOBI,Tumolo Annette,EVP,S - Sale+OE,749.8,-6346,4593,-58%,-4758198.0,,,,,BIO
1,,2021-09-08 12:07:39,2021-09-03,BIOBI,Daskal Ilan,"EVP, CFO",S - Sale,820.06,-270,9,-97%,-221416.0,,,,,BIO
2,D,2021-09-03 17:05:47,2021-09-01,BIOBI,Last Andrew J.,"EVP, COO",S - Sale+OE,813.1,-2000,1736,-54%,-1626203.0,,,,,BIO
3,D,2021-09-03 17:02:51,2021-09-02,BIOBI,Daskal Ilan,"EVP, CFO",S - Sale+OE,828.0,-540,279,-66%,-447121.0,,,,,BIO
4,,2021-08-27 10:39:27,2021-08-26,BIOBI,Tumolo Annette,EVP,S - Sale,792.58,-600,3099,-16%,-475548.0,,,,,BIO
5,D,2021-08-10 11:58:29,2021-08-09,BIOBI,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale+OE,754.93,-3000,3669,-45%,-2264796.0,,,,,BIO
6,,2021-08-05 12:40:07,2021-08-04,BIOBI,Ernst Timothy S,"EVP, GC, Sec",S - Sale,760.26,-327,919,-26%,-248605.0,,,,,BIO
7,D,2021-08-05 12:38:21,2021-08-04,BIOBI,Daskal Ilan,"EVP, CFO",S - Sale+OE,751.84,-2300,7,-100%,-1729241.0,,,,,BIO
8,D,2021-02-22 16:05:08,2021-02-19,BIOBI,Ernst Timothy S,"EVP, GC, Sec",S - Sale+OE,640.77,-923,1220,-43%,-591499.0,,,,,BIO
9,,2020-12-17 12:54:10,2020-12-15,BIOBI,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,580.67,-374,3669,-9%,-217171.0,,,,,BIO
10,D,2020-11-10 12:40:56,2020-11-06,BIOBI,Tumolo Annette,EVP,S - Sale+OE,640.72,-1200,3699,-24%,-768865.0,,,,,BIO
11,D,2020-08-21 14:01:04,2020-08-19,BIO,Magni Giovanni,"EVP, Chief Strategy Officer",S - Sale+OE,519.88,-12847,20738,-38%,-6678844.0,,,,,BIO
12,,2020-08-19 12:42:10,2020-08-18,BIO,Magni Giovanni,"EVP, Chief Strategy Officer",S - Sale,518.81,-2382,12435,-16%,-1235805.0,,,,,BIO
13,,2020-06-02 17:11:36,2020-06-01,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,485.4,-1500,2310,-39%,-728100.0,,,,,BIO
14,,2020-05-14 13:11:02,2020-05-13,BIO,Hutton Ronald W,"VP, Treasurer",S - Sale,457.35,-443,4140,-10%,-202606.0,,,,,BIO
15,D,2019-12-05 19:03:29,2019-12-04,BIO,Ernst Timothy S,"EVP, GC, Sec",S - Sale+OE,370.11,-1906,456,-81%,-705436.0,,,,,BIO
16,,2019-11-12 11:33:31,2019-11-11,BIO,Stark James R,"VP, Corporate Controller",S - Sale,351.45,-848,0,-100%,-298030.0,,,,,BIO
17,,2019-09-16 18:05:27,2019-09-12,BIO,Tumolo Annette,EVP,S - Sale,330.0,-522,2410,-18%,-172260.0,,,,,BIO
18,D,2019-09-13 11:54:19,2019-09-12,BIO,Hertia John,EVP,S - Sale+OE,328.29,-838,18980,-4%,-275104.0,,,,,BIO
19,D,2019-09-10 17:15:39,2019-09-09,BIO,Hertia John,EVP,S - Sale+OE,336.47,-444,18014,-2%,-149393.0,,,,,BIO
20,D,2019-09-09 17:50:09,2019-09-06,BIO,Hertia John,EVP,S - Sale+OE,336.57,-5195,17858,-23%,-1748490.0,,,,,BIO
21,D,2019-09-09 17:36:25,2019-09-06,BIO,Tumolo Annette,EVP,S - Sale+OE,340.0,-371,2309,-14%,-126140.0,,,,,BIO
22,D,2019-09-05 14:00:10,2019-09-04,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale+OE,333.08,-1089,2403,-31%,-362723.0,,,,,BIO
23,,2019-08-14 17:51:05,2019-08-14,BIO,Ernst Timothy S,"EVP, GC, Sec",S - Sale,320.0,-310,103,-75%,-99200.0,,,,,BIO
24,,2019-08-14 17:46:00,2019-08-14,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,320.0,-325,3100,-9%,-104000.0,,,,,BIO
25,M,2019-05-16 19:01:35,2019-05-15,BIO,Ernst Timothy S,"EVP, GC, Sec",S - Sale,295.47,-846,390,-68%,-249887.0,,,,,BIO
26,,2018-12-17 11:20:46,2018-12-14,BIO,Tsingos Christine A,"EVP, CFO",S - Sale,248.0,-1411,6683,-17%,-349928.0,,,,,BIO
27,,2018-12-14 19:00:14,2018-12-14,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,248.03,-392,3425,-10%,-97228.0,,,,,BIO
28,,2018-12-12 17:16:48,2018-12-12,BIO,Stark James R,"VP, Corporate Controller",S - Sale,254.77,-848,0,-100%,-216045.0,,,,,BIO
29,D,2018-12-12 17:07:38,2018-12-11,BIO,Tumolo Annette,EVP,S - Sale+OE,254.51,-2376,1504,-61%,-604704.0,,,,,BIO
30,,2018-06-14 13:23:53,2018-06-13,BIO,Crowley Michael,"EVP, GBL Commercial Operations",S - Sale,303.42,-350,2142,-14%,-106197.0,,,,,BIO
