,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2022-02-15 19:15:07,2022-02-11,BKH,Kinzley Richard,"SVP,amp; CFO",A - Grant,12.8,4612,54014,+9%,59030.0,,,,,BKH
1,,2022-02-15 19:15:07,2022-02-11,BKH,Kinzley Richard,"SVP,amp; CFO",F - Tax,66.66,-715,54014,-1%,-47689.0,,,,,BKH
2,M,2022-02-15 19:04:51,2022-02-11,BKH,Landis Jennifer C,SVP HR,A - Grant,8.57,2229,18536,+14%,19106.0,,,,,BKH
3,,2022-02-15 19:04:51,2022-02-11,BKH,Landis Jennifer C,SVP HR,F - Tax,66.66,-305,18536,-2%,-20310.0,,,,,BKH
4,M,2022-02-15 19:01:49,2022-02-11,BKH,Iverson Brian,SVP GC,A - Grant,10.6,4259,37559,+13%,45128.0,,,,,BKH
5,,2022-02-15 19:01:49,2022-02-11,BKH,Iverson Brian,SVP GC,F - Tax,66.66,-555,37559,-1%,-37024.0,,,,,BKH
6,,2022-02-15 19:00:43,2022-02-11,BKH,Erik Keller D,SVP Chief Info Officer,A - Grant,0.0,1800,7200,+33%,0.0,,,,,BKH
7,,2022-02-15 19:00:43,2022-02-11,BKH,Erik Keller D,SVP Chief Info Officer,F - Tax,66.66,-205,7200,-3%,-13657.0,,,,,BKH
8,,2022-02-15 18:59:37,2022-02-14,BKH,Wevik Stuart A,SVP - Utility Operations,A - Grant,68.48,423,24387,+2%,28967.0,,,,,BKH
9,,2022-02-15 18:59:37,2022-02-11,BKH,Wevik Stuart A,SVP - Utility Operations,F - Tax,66.66,-461,24387,-2%,-30751.0,,,,,BKH
10,M,2022-02-15 18:56:29,2022-02-11,BKH,Evans Linden R,"Pres, CEO",A - Grant,10.63,16336,145949,+13%,173597.0,,,,,BKH
11,,2022-02-15 18:56:29,2022-02-11,BKH,Evans Linden R,"Pres, CEO",F - Tax,66.66,-2797,145949,-2%,-186469.0,,,,,BKH
12,,2022-02-14 18:55:56,2022-02-10,BKH,Landis Jennifer C,SVP HR,F - Tax,66.77,-97,16611,-1%,-6454.0,,,,,BKH
13,,2022-02-14 18:54:35,2022-02-10,BKH,Evans Linden R,"Pres, CEO",F - Tax,66.77,-853,132410,-1%,-56937.0,,,,,BKH
14,,2022-02-14 18:53:34,2022-02-10,BKH,Iverson Brian,SVP GC,F - Tax,66.77,-193,33856,-1%,-12914.0,,,,,BKH
15,,2022-02-14 18:52:12,2022-02-10,BKH,Kinzley Richard,"SVP,amp; CFO",F - Tax,66.77,-251,50117,0%,-16772.0,,,,,BKH
16,,2022-02-14 18:21:00,2022-02-10,BKH,Wevik Stuart A,SVP - Utility Operations,F - Tax,66.77,-206,24425,-1%,-13732.0,,,,,BKH
17,D,2022-01-05 17:46:35,2022-01-03,BKH,Taylor Teresa,Dir,A - Grant,0.0,496,2834,+21%,0.0,,,,,BKH
18,D,2022-01-05 17:45:30,2022-01-03,BKH,Vering John B,Dir,A - Grant,0.0,496,11592,+4%,0.0,,,,,BKH
19,,2022-01-05 17:44:07,2022-01-03,BKH,Prochazka Scott M,Dir,A - Grant,0.0,496,681,+267%,0.0,,,,,BKH
20,D,2022-01-05 17:43:01,2022-01-03,BKH,Schober Mark A,Dir,A - Grant,0.0,496,5632,+10%,0.0,,,,,BKH
21,D,2022-01-05 17:42:24,2022-01-03,BKH,Roberts Rebecca B,Dir,A - Grant,0.0,496,5302,+10%,0.0,,,,,BKH
22,D,2022-01-05 17:38:43,2022-01-03,BKH,Otto Robert P,Dir,A - Grant,0.0,496,3437,+17%,0.0,,,,,BKH
23,D,2022-01-05 17:37:51,2022-01-03,BKH,Mills Steven Richard,Dir,A - Grant,0.0,496,18623,+3%,0.0,,,,,BKH
24,D,2022-01-05 16:43:32,2022-01-03,BKH,McAllister Kathleen S,Dir,A - Grant,0.0,496,5365,+10%,0.0,,,,,BKH
25,D,2022-01-05 16:42:22,2022-01-03,BKH,Jensen Tony A,Dir,A - Grant,0.0,496,6981,+8%,0.0,,,,,BKH
26,D,2022-01-05 16:41:22,2022-01-03,BKH,Granger Barry M,Dir,A - Grant,0.0,496,681,+267%,0.0,,,,,BKH
27,,2021-08-04 18:53:01,2021-08-04,BKH,Wevik Stuart A,SVP - Utility Operations,S - Sale,70.0,-1000,23675,-4%,-70000.0,,,,,BKH
28,,2021-07-19 16:55:36,2021-07-16,BKH,Wevik Stuart A,SVP - Utility Operations,S - Sale,68.54,-2000,24675,-7%,-137080.0,,,,,BKH
29,,2021-07-15 15:02:11,2021-07-14,BKH,Wevik Stuart A,SVP - Utility Operations,S - Sale,67.0,-1000,26675,-4%,-67000.0,,,,,BKH
30,,2021-05-10 18:01:23,2021-05-06,BKH,Wevik Stuart A,SVP - Utility Operations,F - Tax,68.4,-109,27675,0%,-7428.0,,,,,BKH
31,,2021-02-16 12:50:34,2021-02-11,BKH,Landis Jennifer C,SVP HR,A - Grant,0.0,2283,16086,+17%,0.0,,,,,BKH
32,,2021-02-16 12:50:34,2021-02-11,BKH,Landis Jennifer C,SVP HR,F - Tax,61.86,-94,16086,-1%,-5827.0,,,,,BKH
33,,2021-02-16 12:49:29,2021-02-11,BKH,Wevik Stuart A,SVP - Utility Operations,A - Grant,0.0,3943,27783,+17%,0.0,,,,,BKH
34,,2021-02-16 12:49:29,2021-02-11,BKH,Wevik Stuart A,SVP - Utility Operations,F - Tax,61.86,-144,27783,-1%,-8932.0,,,,,BKH
35,,2021-02-16 12:48:31,2021-02-11,BKH,Kinzley Richard,"SVP,amp; CFO",A - Grant,0.0,5188,51832,+11%,0.0,,,,,BKH
36,,2021-02-16 12:48:31,2021-02-11,BKH,Kinzley Richard,"SVP,amp; CFO",F - Tax,61.86,-294,51832,-1%,-18211.0,,,,,BKH
37,,2021-02-16 12:47:22,2021-02-11,BKH,Erik Keller D,SVP Chief Info Officer,A - Grant,0.0,2075,5605,+59%,0.0,,,,,BKH
38,,2021-02-16 12:44:13,2021-02-11,BKH,Iverson Brian,SVP GC,A - Grant,0.0,4068,34049,+14%,0.0,,,,,BKH
39,,2021-02-16 12:44:13,2021-02-11,BKH,Iverson Brian,SVP GC,F - Tax,61.86,-225,34049,-1%,-13918.0,,,,,BKH
40,,2021-02-16 12:43:08,2021-02-11,BKH,Buchholz Scott,SVP Strategic Initiatives,F - Tax,61.86,-173,40861,0%,-10683.0,,,,,BKH
41,,2021-02-16 12:19:15,2021-02-11,BKH,Evans Linden R,"Pres, CEO",A - Grant,0.0,17848,138360,+15%,0.0,,,,,BKH
42,,2021-02-16 12:19:15,2021-02-11,BKH,Evans Linden R,"Pres, CEO",F - Tax,61.86,-1180,138360,-1%,-73000.0,,,,,BKH
43,,2021-02-12 17:30:09,2021-02-10,BKH,Landis Jennifer C,SVP HR,F - Tax,61.98,-76,13897,-1%,-4724.0,,,,,BKH
44,,2021-02-12 17:20:54,2021-02-10,BKH,Buchholz Scott,SVP Strategic Initiatives,F - Tax,61.98,-144,41034,0%,-8898.0,,,,,BKH
45,,2021-02-12 17:19:06,2021-02-10,BKH,Evans Linden R,"Pres, CEO",F - Tax,61.98,-853,121692,-1%,-52853.0,,,,,BKH
46,,2021-02-12 17:13:34,2021-02-10,BKH,Wevik Stuart A,SVP - Utility Operations,F - Tax,61.98,-192,23985,-1%,-11908.0,,,,,BKH
47,,2021-02-12 17:11:08,2021-02-10,BKH,Kinzley Richard,"SVP,amp; CFO",F - Tax,61.98,-252,46939,-1%,-15635.0,,,,,BKH
48,,2021-02-12 17:09:52,2021-02-10,BKH,Iverson Brian,SVP GC,F - Tax,61.98,-199,30206,-1%,-12345.0,,,,,BKH
49,,2021-02-09 17:10:06,2021-02-05,BKH,Wevik Stuart A,SVP - Utility Operations,A - Grant,59.86,1179,24177,+5%,70575.0,,,,,BKH
50,,2021-02-09 17:10:06,2021-02-05,BKH,Wevik Stuart A,SVP - Utility Operations,F - Tax,61.93,-174,24177,-1%,-10781.0,,,,,BKH
51,,2021-02-09 17:09:01,2021-02-05,BKH,Kinzley Richard,"SVP,amp; CFO",A - Grant,59.86,2516,47191,+6%,150608.0,,,,,BKH
52,,2021-02-09 17:09:01,2021-02-05,BKH,Kinzley Richard,"SVP,amp; CFO",F - Tax,61.93,-372,47191,-1%,-23027.0,,,,,BKH
53,,2021-02-09 17:07:56,2021-02-05,BKH,Landis Jennifer C,SVP HR,A - Grant,59.86,812,13973,+6%,48606.0,,,,,BKH
54,,2021-02-09 17:07:56,2021-02-05,BKH,Landis Jennifer C,SVP HR,F - Tax,61.93,-127,13973,-1%,-7852.0,,,,,BKH
55,,2021-02-09 17:04:49,2021-02-05,BKH,Iverson Brian,SVP GC,A - Grant,59.86,1966,30405,+7%,117685.0,,,,,BKH
56,,2021-02-09 17:04:49,2021-02-05,BKH,Iverson Brian,SVP GC,F - Tax,61.93,-290,30405,-1%,-17990.0,,,,,BKH
57,,2021-02-09 17:03:52,2021-02-05,BKH,Evans Linden R,"Pres, CEO",A - Grant,59.86,4403,122545,+4%,263564.0,,,,,BKH
58,,2021-02-09 17:03:52,2021-02-05,BKH,Evans Linden R,"Pres, CEO",F - Tax,61.93,-651,122545,-1%,-40294.0,,,,,BKH
59,,2021-02-09 17:02:35,2021-02-05,BKH,Buchholz Scott,SVP Strategic Initiatives,A - Grant,59.86,1258,41177,+3%,75304.0,,,,,BKH
60,,2021-02-09 17:02:35,2021-02-05,BKH,Buchholz Scott,SVP Strategic Initiatives,F - Tax,61.93,-231,41177,-1%,-14283.0,,,,,BKH
61,D,2020-12-03 12:19:57,2020-12-01,BKH,McAllister Kathleen S,Dir,P - Purchase,61.86,2000,4839,+70%,123718.0,,,,,BKH
62,D,2020-09-16 16:51:08,2020-09-15,BKH,McAllister Kathleen S,Dir,P - Purchase,54.76,1000,2633,+61%,54762.0,,,,,BKH
63,D,2020-09-14 11:39:17,2020-09-11,BKH,McAllister Kathleen S,Dir,P - Purchase,53.22,1000,1633,+158%,53220.0,,,,,BKH
64,A,2020-09-03 17:57:20,2020-08-06,BKH,Evans Linden R,"Pres, CEO",P - Purchase,57.42,1000,117113,+1%,57421.0,,,,,BKH
65,,2020-08-27 17:46:57,2020-08-25,BKH,Kinzley Richard,"SVP,amp; CFO",P - Purchase,56.22,1000,45365,+2%,56216.0,,,,,BKH
66,D,2020-08-27 17:45:49,2020-08-26,BKH,Mills Steven Richard,Dir,P - Purchase,54.63,5000,18127,+38%,273156.0,,,,,BKH
67,,2020-08-07 09:48:10,2020-08-06,BKH,Evans Linden R,"Pres, CEO",P - Purchase,57.42,1000,120684,+1%,57421.0,,,,,BKH
68,D,2020-05-12 16:30:17,2020-05-12,BKH,Jensen Tony A,Dir,P - Purchase,58.43,3421,6106,+127%,199886.0,,,,,BKH
69,,2020-04-22 16:26:49,2020-04-21,BKH,Emery David R,Exec COB,S - Sale,61.52,-6250,88846,-7%,-384526.0,,,,,BKH
70,,2020-04-16 18:12:59,2020-04-15,BKH,Beachy Karen H,"SVP - Growth,amp; Strategy",A - Grant,79.28,606,6542,+10%,48074.0,,,,,BKH
71,,2020-03-25 15:45:47,2020-03-25,BKH,Emery David R,Exec COB,S - Sale,60.0,-6250,95096,-6%,-375019.0,,,,,BKH
72,D,2020-03-12 17:03:33,2020-03-12,BKH,Jensen Tony A,Dir,P - Purchase,63.25,2340,2565,>999%,148008.0,,,,,BKH
73,,2020-02-18 12:59:25,2020-02-18,BKH,Emery David R,Exec COB,S - Sale,85.34,-6250,101346,-6%,-533357.0,,,,,BKH
74,,2020-02-13 14:16:57,2020-02-11,BKH,Landis Jennifer C,SVP HR,F - Tax,84.56,-92,12760,-1%,-7753.0,,,,,BKH
75,,2020-02-13 14:15:52,2020-02-11,BKH,Iverson Brian,SVP GC,F - Tax,84.56,-225,28730,-1%,-19025.0,,,,,BKH
76,,2020-02-13 14:14:48,2020-02-11,BKH,Kinzley Richard,"SVP,amp; CFO",F - Tax,84.56,-294,44365,-1%,-24894.0,,,,,BKH
77,,2020-02-13 14:13:44,2020-02-11,BKH,Evans Linden R,"Pres, CEO",F - Tax,84.56,-931,119684,-1%,-78685.0,,,,,BKH
78,,2020-02-13 14:12:39,2020-02-11,BKH,Buchholz Scott,SVP CHIEF INFO OFFICER,F - Tax,84.56,-167,40131,0%,-14122.0,,,,,BKH
79,,2020-02-11 19:06:22,2020-02-10,BKH,Kinzley Richard,"SVP,amp; CFO",A - Grant,0.0,3108,44659,+7%,0.0,,,,,BKH
80,,2020-02-11 19:05:17,2020-02-10,BKH,Iverson Brian,SVP GC,A - Grant,0.0,2456,28955,+9%,0.0,,,,,BKH
