,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2020-12-22 16:59:08,2020-12-18,BXG,Tonkin Dusty,"EVP, Chief Sales Officer",P - Purchase,7.09,10000,40390,+33%,70900.0,,,,,BXG
1,,2020-05-14 14:29:56,2020-05-13,BXG,Tonkin Dusty,"EVP, Chief Sales Officer",P - Purchase,3.51,20290,20290,New,71218.0,,,,,BXG
2,,2019-12-23 13:26:25,2019-12-18,BXG,Tonkin Dusty,"EVP, Chief Sales Officer",P - Purchase,10.31,10100,10100,New,104131.0,,,,,BXG
3,,2018-08-14 15:35:23,2018-08-13,BXG,Pearson Shawn B,"Pres, CEO",P - Purchase,19.24,2619,2619,New,50390.0,,,,,BXG
4,,2017-12-05 16:49:53,2017-12-05,BXG,Bbx Capital Corp,10%,S - Sale,14.0,-974797,67261010,-1%,-13647158.0,,,,,BXG
5,,2017-12-05 16:44:31,2017-12-05,BXG,Abdo John E,"Dir, 10%",S - Sale,14.0,-974797,67281010,-1%,-13647158.0,,,,,BXG
6,,2017-12-05 16:40:42,2017-12-05,BXG,Levan Alan B,"Dir, 10%",S - Sale,14.0,-974797,67281010,-1%,-13647158.0,,,,,BXG
7,,2017-11-21 11:55:00,2017-11-21,BXG,Wise Seth M,Dir,P - Purchase,14.0,7500,7500,New,105000.0,,,,,BXG
8,,2017-11-21 11:53:36,2017-11-21,BXG,Wardak Ahmad M,EVP,P - Purchase,14.0,15000,15000,New,210000.0,,,,,BXG
9,,2017-11-21 11:52:06,2017-11-21,BXG,Saturday Susan,"EVP, CHRO",P - Purchase,14.0,3000,3000,New,42000.0,,,,,BXG
10,,2017-11-21 11:50:57,2017-11-21,BXG,Nerenhausen Mark,Dir,P - Purchase,14.0,1000,1000,New,14000.0,,,,,BXG
11,,2017-11-21 11:49:15,2017-11-21,BXG,Levan Jarett,Dir,P - Purchase,14.0,7500,7500,New,105000.0,,,,,BXG
12,,2017-11-21 11:48:00,2017-11-21,BXG,Levan Alan B,"Dir, 10%",P - Purchase,14.0,20000,136491614,0%,280000.0,,,,,BXG
13,,2017-11-21 11:48:00,2017-11-21,BXG,Levan Alan B,"Dir, 10%",S - Sale,14.0,-2761925,136491614,-2%,-38666950.0,,,,,BXG
14,,2017-11-21 11:46:24,2017-11-21,BXG,Puleo Anthony M,"EVP, CFO, Treasurer",P - Purchase,14.0,7000,7000,New,98000.0,,,,,BXG
15,,2017-11-21 11:44:51,2017-11-21,BXG,Bbx Capital Corp,10%,S - Sale,14.0,-2761925,68235807,-4%,-38666950.0,,,,,BXG
16,,2017-11-21 11:42:59,2017-11-21,BXG,Abdo John E,"Dir, 10%",P - Purchase,14.0,20000,136491614,0%,280000.0,,,,,BXG
17,,2017-11-21 11:42:59,2017-11-21,BXG,Abdo John E,"Dir, 10%",S - Sale,14.0,-2761925,136491614,-2%,-38666950.0,,,,,BXG
18,,2017-11-21 11:41:27,2017-11-21,BXG,Allmand James R III,Dir,P - Purchase,14.0,1000,1000,New,14000.0,,,,,BXG
19,,2017-11-21 11:40:37,2017-11-21,BXG,Sharpe Orlando,Dir,P - Purchase,14.0,3500,3500,New,49000.0,,,,,BXG
20,,2017-11-21 11:39:13,2017-11-17,BXG,Sevell Arnold,Dir,P - Purchase,13.02,1000,1000,New,13020.0,,,,,BXG
