,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2013-03-29 21:27:18,2013-03-28,CASC,Warren Robert C Jr,"Pres, CEO, 10%",D - Sale to issuer,65.0,-22498,0,-100%,-1462370.0,-2,-5,18,-4,CAE
1,D,2013-03-29 20:46:13,2013-03-28,CASC,Chazin-Wright Susan F.,VP-HR,D - Sale to issuer,65.0,-4036,0,-100%,-262340.0,-2,-5,18,-4,CAE
2,D,2013-03-29 20:20:22,2013-03-28,CASC,Roncari Davide,VP - Europe,D - Sale to issuer,65.0,-3901,0,-100%,-253565.0,-2,-5,18,-4,CAE
3,D,2013-03-29 19:48:39,2013-03-28,CASC,Pointer Joseph G,CFO,D - Sale to issuer,65.0,-4655,0,-100%,-302575.0,-2,-5,18,-4,CAE
4,D,2013-03-29 18:49:13,2013-03-28,CASC,Nickoloff Jeffrey K,VP-Corp. Mfg.,D - Sale to issuer,65.0,-4028,0,-100%,-261820.0,-2,-5,18,-4,CAE
5,D,2013-03-29 17:58:47,2013-03-28,CASC,Kreiter Kevin Bradford,"VP-Engineering, Marketing",D - Sale to issuer,65.0,-3435,0,-100%,-223275.0,-2,-5,18,-4,CAE
6,D,2013-03-29 17:05:05,2013-03-28,CASC,Drake Peter David,VP - Americas,D - Sale to issuer,65.0,-481,0,-100%,-31265.0,-2,-5,18,-4,CAE
7,D,2013-03-29 14:33:35,2013-03-28,CASC,Cushing John A,Treasurer,D - Sale to issuer,65.0,-481,0,-100%,-31265.0,6,1,24,1,CAE
8,D,2013-03-29 13:16:56,2013-03-28,CASC,Anderson Richard Sibert,COO,D - Sale to issuer,65.0,-10769,0,-100%,-699985.0,6,1,24,1,CAE
9,D,2013-03-28 20:18:37,2013-03-28,CASC,Altenhofen Francis Robert,VP-Asia Pacific,D - Sale to issuer,65.0,-3789,0,-100%,-246285.0,6,1,25,5,CAE
10,D,2013-03-28 19:35:43,2013-03-28,CASC,Wilgenbusch Nancy,Dir,D - Sale to issuer,65.0,-1933,0,-100%,-125645.0,6,1,25,5,CAE
11,D,2013-03-28 18:58:02,2013-03-28,CASC,Osterman James S,Dir,D - Sale to issuer,65.0,-1933,0,-100%,-125645.0,6,1,25,5,CAE
12,,2013-03-28 18:31:01,2013-03-28,CASC,Wessinger Henry W II,Dir,D - Sale to issuer,65.0,-1933,0,-100%,-125645.0,6,1,25,5,CAE
13,,2013-03-28 18:22:08,2013-03-28,CASC,Nickerson Peter D,Dir,D - Sale to issuer,65.0,-1933,0,-100%,-125645.0,6,1,25,5,CAE
14,D,2013-03-28 18:11:10,2013-03-28,CASC,McDougall Duane Charles,Dir,D - Sale to issuer,65.0,-1933,0,-100%,-125645.0,6,1,25,5,CAE
15,D,2013-03-28 17:13:16,2013-03-28,CASC,Lardy Nicholas R,Dir,D - Sale to issuer,65.0,-1933,0,-100%,-125645.0,6,1,25,5,CAE
16,,2013-03-11 18:45:18,2012-11-14,CASC,McDougall Duane Charles,Dir,G - Gift,0.0,-2697,11381,-19%,-0.0,0,0,3,-21,CAE
17,,2012-12-28 16:53:46,2012-12-26,CASC,Warren Wendy W,10%,G - Gift,0.0,-14300,1492734,-1%,-0.0,4,12,8,-14,CAE
18,M,2012-12-28 16:53:46,2012-12-24,CASC,Warren Wendy W,10%,S - Sale,64.3,-57943,1492734,-4%,-3725771.0,4,12,8,-14,CAE
19,A,2012-10-30 19:01:56,2012-06-08,CASC,Wilgenbusch Nancy,Dir,A - Grant,0.0,1321,8241,+19%,0.0,-1,-1,-10,-50,CAE
20,A,2012-10-30 18:47:09,2012-06-08,CASC,Warren Robert C Jr,"Pres, CEO",A - Grant,0.0,12089,123455,+11%,0.0,-1,-1,-10,-50,CAE
21,A,2012-10-30 18:25:59,2012-06-08,CASC,Anderson Richard Sibert,COO,A - Grant,0.0,6057,45074,+16%,0.0,-1,-1,-10,-50,CAE
22,M,2012-08-28 19:06:49,2011-10-31,CASC,Warren Robert C Jr,"Pres, CEO, 10%",S - Sale,41.38,-27424,124359,-18%,-1134813.0,7,3,-1,-61,CAE
23,M,2012-07-13 19:38:55,2012-07-13,CASC,Osterman James S,Dir,S - Sale,48.87,-1435,19765,-7%,-70125.0,-2,-2,1,-46,CAE
24,M,2012-07-12 17:34:19,2012-07-11,CASC,Osterman James S,Dir,S - Sale,48.75,-1467,21200,-6%,-71516.0,-1,-3,0,-45,CAE
25,D,2012-07-06 19:34:58,2012-07-05,CASC,Osterman James S,Dir,M - OptEx,21.15,2902,22667,+15%,61377.0,1,-5,-8,-54,CAE
26,,2012-06-12 17:44:27,2012-06-08,CASC,Chazin-Wright Susan F.,VP-HR,A - Grant,0.0,2632,4738,+125%,0.0,6,8,24,27,CAE
27,,2012-06-12 17:38:08,2012-06-08,CASC,Warren Robert C Jr,"Pres, CEO, 10%",A - Grant,0.0,12089,151783,+9%,0.0,6,8,24,27,CAE
28,,2012-06-12 17:29:04,2012-06-08,CASC,Roncari Davide,VP - Europe,A - Grant,0.0,2414,4644,+108%,0.0,6,8,24,27,CAE
29,,2012-06-12 17:22:54,2012-06-08,CASC,Pointer Joseph G,CFO,A - Grant,0.0,3036,5464,+125%,0.0,6,8,24,27,CAE
