,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2016-12-21 14:38:14,2016-12-21,CKEC,Wiggins Gregory S,"Asst VP, Chief Acctg Officer",A - Grant,0.0,2244,0,-100%,0.0,0.0,,,,CKEC
1,,2016-12-21 14:38:14,2016-12-21,CKEC,Wiggins Gregory S,"Asst VP, Chief Acctg Officer",D - Sale to issuer,0.0,-10672,0,-100%,-0.0,0.0,,,,CKEC
2,D,2016-12-21 14:37:13,2016-12-21,CKEC,Cole Jeff A,"VP, Controller",A - Grant,0.0,3566,0,-100%,0.0,0.0,,,,CKEC
3,D,2016-12-21 14:37:13,2016-12-21,CKEC,Cole Jeff A,"VP, Controller",D - Sale to issuer,0.0,-25157,0,-100%,-0.0,0.0,,,,CKEC
4,,2016-12-21 14:36:25,2016-12-21,CKEC,Collins Robert M,"SVP, CMO",A - Grant,0.0,2800,0,-100%,0.0,0.0,,,,CKEC
5,,2016-12-21 14:36:25,2016-12-21,CKEC,Collins Robert M,"SVP, CMO",D - Sale to issuer,0.0,-5600,0,-100%,-0.0,0.0,,,,CKEC
6,,2016-12-21 14:35:36,2016-12-21,CKEC,Mayo A Dale,"Pres, Alternative Programming",A - Grant,0.0,4125,0,-100%,0.0,0.0,,,,CKEC
7,,2016-12-21 14:35:36,2016-12-21,CKEC,Mayo A Dale,"Pres, Alternative Programming",D - Sale to issuer,0.0,-84207,0,-100%,-0.0,0.0,,,,CKEC
8,D,2016-12-21 14:34:51,2016-12-21,CKEC,Ellis Daniel E,"SVP, GC, Sec",A - Grant,0.0,12566,0,-100%,0.0,0.0,,,,CKEC
9,D,2016-12-21 14:34:51,2016-12-21,CKEC,Ellis Daniel E,"SVP, GC, Sec",D - Sale to issuer,0.0,-93018,0,-100%,-0.0,0.0,,,,CKEC
10,D,2016-12-21 14:34:51,2016-12-21,CKEC,Ellis Daniel E,"SVP, GC, Sec",F - Tax,33.4,-2798,0,-100%,-93450.0,0.0,,,,CKEC
11,D,2016-12-21 14:34:51,2016-12-21,CKEC,Ellis Daniel E,"SVP, GC, Sec",M - OptEx,6.23,15000,0,-100%,93450.0,0.0,,,,CKEC
12,D,2016-12-21 14:33:59,2016-12-21,CKEC,Van Noy Fred W,SVP-COO,A - Grant,0.0,24099,0,-100%,0.0,0.0,,,,CKEC
13,D,2016-12-21 14:33:59,2016-12-21,CKEC,Van Noy Fred W,SVP-COO,D - Sale to issuer,0.0,-196765,0,-100%,-0.0,0.0,,,,CKEC
14,D,2016-12-21 14:33:59,2016-12-21,CKEC,Van Noy Fred W,SVP-COO,F - Tax,33.4,-25668,0,-100%,-857297.0,0.0,,,,CKEC
15,D,2016-12-21 14:33:59,2016-12-21,CKEC,Van Noy Fred W,SVP-COO,M - OptEx,12.36,69334,0,-100%,857297.0,0.0,,,,CKEC
16,D,2016-12-21 14:32:55,2016-12-21,CKEC,Hare Richard B,"SVP-Finance, Treasurer, CFO",A - Grant,0.0,17133,0,-100%,0.0,0.0,,,,CKEC
17,D,2016-12-21 14:32:55,2016-12-21,CKEC,Hare Richard B,"SVP-Finance, Treasurer, CFO",D - Sale to issuer,0.0,-166241,0,-100%,-0.0,0.0,,,,CKEC
18,D,2016-12-21 14:32:55,2016-12-21,CKEC,Hare Richard B,"SVP-Finance, Treasurer, CFO",F - Tax,33.4,-56036,0,-100%,-1871600.0,0.0,,,,CKEC
19,D,2016-12-21 14:32:55,2016-12-21,CKEC,Hare Richard B,"SVP-Finance, Treasurer, CFO",M - OptEx,13.86,135000,0,-100%,1871600.0,0.0,,,,CKEC
20,D,2016-12-21 14:31:46,2016-12-21,CKEC,Passman S David III,"Pres, CEO",A - Grant,0.0,66634,0,-100%,0.0,0.0,,,,CKEC
21,D,2016-12-21 14:31:46,2016-12-21,CKEC,Passman S David III,"Pres, CEO",D - Sale to issuer,0.0,-594112,0,-100%,-0.0,0.0,,,,CKEC
22,D,2016-12-21 14:31:46,2016-12-21,CKEC,Passman S David III,"Pres, CEO",F - Tax,33.4,-88928,0,-100%,-2970198.0,0.0,,,,CKEC
23,D,2016-12-21 14:31:46,2016-12-21,CKEC,Passman S David III,"Pres, CEO",M - OptEx,8.74,340000,0,-100%,2970200.0,0.0,,,,CKEC
24,,2016-12-21 10:19:58,2016-12-21,CKEC,Wilson Patricia A,Dir,D - Sale to issuer,0.0,-31482,0,-100%,-0.0,0.0,,,,CKEC
25,,2016-12-21 10:14:20,2016-12-21,CKEC,Fleming James A,Dir,D - Sale to issuer,0.0,-28732,0,-100%,-0.0,0.0,,,,CKEC
26,,2016-12-21 10:12:50,2016-12-21,CKEC,Erwin Sean T,Dir,D - Sale to issuer,0.0,-13985,0,-100%,-0.0,0.0,,,,CKEC
27,D,2016-12-21 10:10:39,2016-12-21,CKEC,Berkman Jeffrey Warren,Dir,D - Sale to issuer,0.0,-22971,0,-100%,-0.0,0.0,,,,CKEC
28,D,2016-12-21 10:10:39,2016-12-21,CKEC,Berkman Jeffrey Warren,Dir,F - Tax,33.4,-988,0,-100%,-33000.0,0.0,,,,CKEC
29,D,2016-12-21 10:10:39,2016-12-21,CKEC,Berkman Jeffrey Warren,Dir,M - OptEx,6.6,5000,0,-100%,33000.0,0.0,,,,CKEC
30,,2016-12-21 10:08:01,2016-12-21,CKEC,Bell Mark R,Dir,D - Sale to issuer,0.0,-19061,0,-100%,-0.0,0.0,,,,CKEC
31,,2016-12-21 10:05:02,2016-12-21,CKEC,Smith Roland,Dir,D - Sale to issuer,0.0,-47540,0,-100%,-0.0,0.0,,,,CKEC
32,A,2016-06-13 12:09:03,2016-05-25,CKEC,Wilson Patricia A,Dir,A - Grant,0.0,2673,31482,+9%,0.0,0.0,1.0,2.0,12.0,CKEC
33,A,2016-06-13 12:06:24,2016-05-25,CKEC,Smith Roland,Dir,A - Grant,0.0,3676,47540,+8%,0.0,0.0,1.0,2.0,12.0,CKEC
34,A,2016-06-13 12:03:34,2016-05-25,CKEC,Fleming James A,Dir,A - Grant,0.0,2673,28732,+10%,0.0,0.0,1.0,2.0,12.0,CKEC
35,A,2016-06-13 12:00:46,2016-05-25,CKEC,Erwin Sean T,Dir,A - Grant,0.0,2673,13985,+24%,0.0,0.0,1.0,2.0,12.0,CKEC
36,A,2016-06-13 11:57:37,2016-05-25,CKEC,Berkman Jeffrey Warren,Dir,A - Grant,0.0,2673,21632,+14%,0.0,0.0,1.0,2.0,12.0,CKEC
37,A,2016-06-13 11:51:42,2016-05-25,CKEC,Bell Mark R,Dir,A - Grant,0.0,2673,19061,+16%,0.0,0.0,1.0,2.0,12.0,CKEC
38,,2016-05-26 08:54:04,2016-05-25,CKEC,Wilson Patricia A,Dir,A - Grant,0.0,2005,30814,+7%,0.0,0.0,0.0,3.0,14.0,CKEC
39,,2016-05-26 08:52:01,2016-05-25,CKEC,Fleming James A,Dir,A - Grant,0.0,2005,28064,+8%,0.0,0.0,0.0,3.0,14.0,CKEC
40,,2016-05-26 08:49:41,2016-05-25,CKEC,Erwin Sean T,Dir,A - Grant,0.0,2005,13317,+18%,0.0,0.0,0.0,3.0,14.0,CKEC
41,,2016-05-26 08:46:29,2016-05-25,CKEC,Berkman Jeffrey Warren,Dir,A - Grant,0.0,2005,20964,+11%,0.0,0.0,0.0,3.0,14.0,CKEC
42,,2016-05-26 08:44:05,2016-05-25,CKEC,Bell Mark R,Dir,A - Grant,0.0,2005,18393,+12%,0.0,0.0,0.0,3.0,14.0,CKEC
43,,2016-05-26 08:37:40,2016-05-25,CKEC,Smith Roland,Dir,A - Grant,0.0,3008,46872,+7%,0.0,0.0,0.0,3.0,14.0,CKEC
44,,2016-04-13 14:08:02,2016-03-30,CKEC,Mayo A Dale,"Pres, Alternative Programming",G - Gift,0.0,-2000,88082,-2%,-0.0,0.0,0.0,-1.0,10.0,CKEC
45,A,2016-03-09 14:47:00,2016-02-29,CKEC,Hare Richard B,"SVP-Finance, Treasurer, CFO",A - Grant,0.0,11197,70144,+19%,0.0,0.0,-1.0,0.0,7.0,CKEC
46,A,2016-03-09 14:47:00,2016-03-01,CKEC,Hare Richard B,"SVP-Finance, Treasurer, CFO",F - Tax,0.0,-7465,70144,-10%,-0.0,0.0,-1.0,0.0,7.0,CKEC
