,X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-08-17 15:35:18,2022-08-16,CMS,Cms Energy Corp,Wells Leeroy Jr,SVP,F - Tax,70.26,-179,34226,-1%,-12577.0,,,,,CMS+PR+B
1,,2022-08-16 15:14:52,2022-08-13,B,Barnes Group Inc,Hurley Patrick T,"SVP, CTO",F - Tax,35.07,-281,10137,-3%,-9855.0,,,,,CMS+PR+B
2,,2022-08-16 15:14:32,2022-08-13,B,Barnes Group Inc,Hovorka Lukas,"SVP, Corporate Development",F - Tax,35.07,-371,38755,-1%,-13011.0,,,,,CMS+PR+B
3,,2022-08-16 15:14:10,2022-08-13,B,Barnes Group Inc,Edwards Dawn N,"SVP, HR",F - Tax,35.07,-346,94876,0%,-12134.0,,,,,CMS+PR+B
4,,2022-08-16 15:13:54,2022-08-13,B,Barnes Group Inc,Dempsey Patrick,Exec Vice COB,F - Tax,35.07,-3915,427956,-1%,-137299.0,,,,,CMS+PR+B
5,,2022-08-16 15:13:38,2022-08-13,B,Barnes Group Inc,Acker Marian,"VP, Controller",F - Tax,35.07,-212,29404,-1%,-7435.0,,,,,CMS+PR+B
6,,2022-08-15 15:45:05,2022-08-11,B,Barnes Group Inc,Moule Stephen Geoffrey,"SVP, BGI; Pres, Barnes Indust",F - Tax,34.71,-384,11808,-3%,-13329.0,,,,,CMS+PR+B
7,,2022-08-15 15:44:10,2022-08-11,B,Barnes Group Inc,Hurley Patrick T,"SVP, CTO",F - Tax,34.71,-459,10418,-4%,-15932.0,,,,,CMS+PR+B
8,,2022-08-15 15:43:37,2022-08-11,B,Barnes Group Inc,Edwards Dawn N,"SVP, HR",F - Tax,34.71,-293,95222,0%,-10170.0,,,,,CMS+PR+B
9,,2022-08-15 15:43:07,2022-08-11,B,Barnes Group Inc,Dempsey Patrick,Exec Vice COB,F - Tax,34.71,-2593,431871,-1%,-90003.0,,,,,CMS+PR+B
10,,2022-08-15 15:42:36,2022-08-11,B,Barnes Group Inc,Acker Marian,"VP, Controller",F - Tax,34.71,-330,29616,-1%,-11454.0,,,,,CMS+PR+B
11,,2022-08-08 15:53:08,2022-08-07,B,Barnes Group Inc,Hurley Patrick T,"SVP, CTO",F - Tax,33.78,-757,10877,-7%,-25571.0,,,,,CMS+PR+B
12,,2022-08-03 10:45:55,2022-08-01,B,Barnes Group Inc,Hook Thomas J,"Pres, CEO",F - Tax,33.96,-34,13341,0%,-1155.0,,,,,CMS+PR+B
13,,2022-06-14 16:24:13,2022-06-10,B,Barnes Group Inc,Mangum Mylle H,Dir,P - Purchase,35.59,60,22671,0%,2151.0,,,,,CMS+PR+B
14,,2022-06-14 13:58:15,2022-06-10,CMS,Cms Energy Corp,Johnson Shaun M,"SVP, GC",S - Sale,67.77,-736,44543,-2%,-49880.0,,,,,CMS+PR+B
15,,2022-06-10 09:30:29,2022-06-09,CMS,Cms Energy Corp,Barfield Jon E,Dir,S - Sale,69.44,-1267,14120,-8%,-87976.0,,,,,CMS+PR+B
16,,2022-06-03 14:16:12,2022-06-01,CMS,Cms Energy Corp,McIntosh Scott B,"VP, Controller, CAO",S - Sale,70.86,-703,23639,-3%,-49816.0,,,,,CMS+PR+B
17,,2022-06-03 09:36:21,2022-06-02,B,Barnes Group Inc,Moule Stephen Geoffrey,"SVP, BGI; Pres, Barnes Indust",F - Tax,36.58,-456,12192,-4%,-16680.0,,,,,CMS+PR+B
18,,2022-06-01 16:22:20,2022-05-26,B,Barnes Group Inc,Barnes Thomas O,Dir,G - Gift,0.0,-950,464892,0%,-0.0,,,,,CMS+PR+B
19,,2022-06-01 16:21:56,2022-05-26,B,Barnes Group Inc,Barnes Elijah Kent,Dir,G - Gift,0.0,950,543145,0%,0.0,,,,,CMS+PR+B
20,,2022-06-01 14:24:28,2022-05-31,CMS,Cms Energy Corp,McIntosh Scott B,"VP, Controller, CAO",S - Sale,71.21,-703,24196,-3%,-50060.0,,,,,CMS+PR+B
