,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-04-19 11:28:56,2022-04-18,CNNE,Moullet Barry B,Dir,P - Purchase,23.06,1000,13915,+8%,23064.0,,,,,CNNE
1,,2022-04-15 09:15:58,2022-04-14,CNNE,Moullet Barry B,Dir,P - Purchase,23.5,1000,12915,+8%,23500.0,,,,,CNNE
2,,2022-04-11 20:16:16,2022-04-11,CNNE,Moullet Barry B,Dir,P - Purchase,23.5,2000,11915,+20%,47000.0,,,,,CNNE
3,,2022-04-05 09:45:44,2022-04-04,CNNE,Massey Richard N,CEO,P - Purchase,24.24,20000,334536,+6%,484854.0,,,,,CNNE
4,M,2022-03-08 16:02:07,2022-03-07,CNNE,Moullet Barry B,Dir,P - Purchase,24.27,3000,9915,+43%,72819.0,,,,,CNNE
5,,2022-03-04 09:11:53,2022-02-23,CNNE,Moullet Barry B,Dir,P - Purchase,25.51,2000,6915,+41%,51020.0,,,,,CNNE
6,,2022-02-28 14:42:21,2022-02-24,CNNE,Massey Richard N,CEO,P - Purchase,24.57,5000,314536,+2%,122846.0,,,,,CNNE
7,,2022-02-24 14:21:39,2022-02-22,CNNE,Massey Richard N,CEO,P - Purchase,26.4,10000,309536,+3%,264000.0,,,,,CNNE
8,,2021-06-10 10:36:46,2021-06-09,CNNE,Coy Bryan D.,CFO,P - Purchase,34.82,1000,3000,+50%,34824.0,,,,,CNNE
9,,2021-05-14 10:32:49,2021-05-12,CNNE,Massey Richard N,CEO,P - Purchase,35.96,10000,299536,+3%,359621.0,,,,,CNNE
10,,2021-05-12 11:51:30,2021-05-12,CNNE,Coy Bryan D.,CFO,P - Purchase,35.83,1000,2000,+100%,35830.0,,,,,CNNE
11,,2021-03-15 10:47:01,2021-03-12,CNNE,Coy Bryan D.,CFO,P - Purchase,39.1,1000,1000,New,39100.0,,,,,CNNE
12,,2021-02-26 20:42:04,2021-02-24,CNNE,Massey Richard N,CEO,P - Purchase,39.78,10000,289536,+4%,397836.0,,,,,CNNE
13,,2020-12-09 15:35:42,2020-12-08,CNNE,Massey Richard N,CEO,P - Purchase,42.33,15000,279536,+6%,634950.0,,,,,CNNE
14,,2020-08-26 12:50:50,2020-08-24,CNNE,Massey Richard N,CEO,P - Purchase,36.95,5000,265087,+2%,184750.0,,,,,CNNE
15,,2020-06-17 11:07:53,2020-06-15,CNNE,Willey Frank P,Dir,P - Purchase,37.5,15000,428837,+4%,562500.0,,,,,CNNE
16,,2020-06-17 11:06:32,2020-06-15,CNNE,Martire Frank R,Dir,P - Purchase,37.5,133333,304804,+78%,4999988.0,,,,,CNNE
17,,2020-06-17 09:56:07,2020-06-15,CNNE,Gravelle Michael L,EVP,P - Purchase,37.5,6667,156364,+4%,250013.0,,,,,CNNE
18,,2020-06-17 09:54:41,2020-06-15,CNNE,Bickett Brent B,Pres,P - Purchase,37.5,26667,420654,+7%,1000013.0,,,,,CNNE
19,,2020-06-17 09:53:31,2020-06-15,CNNE,Cox Richard L.,"EVP, CFO",P - Purchase,37.5,26667,141884,+23%,1000013.0,,,,,CNNE
20,,2020-06-17 09:52:16,2020-06-15,CNNE,Meinhardt Erika,Dir,P - Purchase,37.5,13333,110034,+14%,499988.0,,,,,CNNE
21,,2020-06-17 09:51:02,2020-06-15,CNNE,Massey Richard N,Dir,P - Purchase,37.5,26667,260566,+11%,1000013.0,,,,,CNNE
22,,2020-03-13 11:30:45,2020-03-13,CNNE,Massey Richard N,Dir,P - Purchase,30.87,20000,233899,+9%,617400.0,,,,,CNNE
23,,2019-12-09 08:52:45,2019-12-06,CNNE,Gravelle Michael L,EVP,P - Purchase,33.0,3030,149697,+2%,99990.0,,,,,CNNE
24,,2019-12-09 08:51:32,2019-12-06,CNNE,Willey Frank P,Dir,P - Purchase,33.0,5000,413837,+1%,165000.0,,,,,CNNE
25,,2019-12-09 08:50:29,2019-12-06,CNNE,Harris Hugh R,Dir,P - Purchase,33.0,7500,33365,+29%,247500.0,,,,,CNNE
26,,2019-12-09 08:48:50,2019-12-06,CNNE,Martire Frank R,Dir,P - Purchase,33.0,60606,171471,+55%,1999998.0,,,,,CNNE
27,,2019-12-09 08:47:59,2019-12-06,CNNE,Meinhardt Erika,Dir,P - Purchase,33.0,8000,96701,+9%,264000.0,,,,,CNNE
28,M,2019-10-08 16:15:21,2019-10-07,CNNE,Massey Richard N,Dir,P - Purchase,27.53,10000,213899,+5%,275322.0,,,,,CNNE
29,,2019-09-23 11:25:33,2019-09-20,CNNE,Cox Richard L.,"EVP, CFO",P - Purchase,27.05,3699,118142,+3%,100073.0,,,,,CNNE
30,,2019-08-30 17:06:37,2019-08-29,CNNE,Massey Richard N,Dir,P - Purchase,28.49,20000,203899,+11%,569810.0,,,,,CNNE
31,,2019-05-14 09:07:10,2019-05-13,CNNE,Massey Richard N,Dir,P - Purchase,25.15,20000,183899,+12%,503000.0,,,,,CNNE
32,,2018-12-06 11:03:40,2018-12-04,CNNE,Massey Richard N,Dir,P - Purchase,17.0,10000,163899,+6%,169961.0,,,,,CNNE
33,,2018-11-26 13:28:00,2018-11-21,CNNE,Holland C Malcolm III,Dir,P - Purchase,17.37,10000,18583,+117%,173661.0,,,,,CNNE
34,,2018-11-20 10:25:16,2018-11-16,CNNE,Cox Richard L.,"EVP, CFO",P - Purchase,18.0,25000,116176,+27%,450000.0,,,,,CNNE
35,,2018-11-16 10:55:48,2018-11-15,CNNE,Massey Richard N,Dir,P - Purchase,17.97,25000,149381,+20%,449250.0,,,,,CNNE
36,,2018-08-16 13:31:51,2018-08-15,CNNE,Massey Richard N,Dir,P - Purchase,18.7,39000,124381,+46%,729261.0,,,,,CNNE
37,,2018-05-24 14:43:05,2018-05-23,CNNE,Harris Hugh R,Dir,P - Purchase,19.87,15000,19065,+369%,298033.0,,,,,CNNE
