,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-04-11 18:42:52,2022-04-11,COO,Petersmeyer Gary S,Dir,S - Sale+OE,410.55,-300,3624,-8%,-123165.0,,,,,COO
1,D,2022-04-04 17:59:42,2022-04-04,COO,Lindell Jody S,Dir,S - Sale+OE,421.04,-700,19793,-3%,-294728.0,,,,,COO
2,D,2022-03-29 18:11:24,2022-03-29,COO,Weiss Robert S,Dir,S - Sale+OE,415.24,-13039,143070,-8%,-5414368.0,,,,,COO
3,D,2022-03-18 18:15:20,2022-03-18,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",S - Sale+OE,421.51,-5607,1553,-78%,-2363411.0,,,,,COO
4,D,2021-09-15 19:29:00,2021-09-15,COO,Petersmeyer Gary S,Dir,S - Sale+OE,440.86,-2255,1472,-61%,-994129.0,,,,,COO
5,D,2021-09-07 18:40:19,2021-09-07,COO,McBride Daniel G,"EVP, COO, Pres-CooperVision",S - Sale+OE,450.13,-72624,34235,-68%,-32690355.0,,,,,COO
6,D,2021-09-07 18:34:24,2021-09-07,COO,Andrews Brian G,"EVP, CFO, Treasurer",S - Sale+OE,453.12,-4963,3277,-60%,-2248830.0,,,,,COO
7,D,2021-07-12 19:29:54,2021-07-12,COO,Petersmeyer Gary S,Dir,S - Sale+OE,412.28,-400,1927,-17%,-164912.0,,,,,COO
8,D,2021-07-06 17:03:02,2021-07-02,COO,Lindell Jody S,Dir,S - Sale+OE,405.54,-4500,19793,-19%,-1824919.0,,,,,COO
9,D,2021-06-17 19:06:33,2021-06-17,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",S - Sale+OE,385.55,-2200,1101,-67%,-848217.0,,,,,COO
10,D,2021-04-15 18:37:03,2021-04-15,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",S - Sale+OE,397.92,-2643,1088,-71%,-1051699.0,,,,,COO
11,D,2021-03-08 18:32:54,2021-03-08,COO,White Albert G III,"Pres, CEO",S - Sale+OE,388.62,-79745,41430,-66%,-30990533.0,,,,,COO
12,,2020-10-09 20:26:45,2020-10-08,COO,Auerbach Robert D,Special Advisor to the CEO,S - Sale,350.0,-2538,1403,-64%,-888300.0,,,,,COO
13,D,2020-10-07 17:06:12,2020-10-06,COO,Petersmeyer Gary S,Dir,S - Sale+OE,348.54,-1000,1338,-43%,-348540.0,,,,,COO
14,D,2020-09-17 17:21:22,2020-09-16,COO,Lindell Jody S,Dir,S - Sale+OE,338.69,-6500,37858,-15%,-2201453.0,,,,,COO
15,,2020-07-08 16:58:07,2020-07-08,COO,White Albert G III,"Pres, CEO",P - Purchase,278.23,1000,41430,+2%,278230.0,,,,,COO
16,,2020-07-08 16:57:50,2020-07-08,COO,Sheffield Holly R,"EVP, CSO",P - Purchase,280.12,889,2699,+49%,249024.0,,,,,COO
17,,2020-06-15 16:43:12,2020-06-12,COO,Sheffield Holly R,"EVP, CSO",P - Purchase,283.18,880,1810,+95%,249198.0,,,,,COO
18,,2020-06-15 16:39:38,2020-06-11,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",P - Purchase,281.47,1000,1800,+125%,281470.0,,,,,COO
19,D,2020-01-07 16:57:29,2020-01-06,COO,Lindell Jody S,Dir,S - Sale+OE,321.01,-3500,18804,-16%,-1123534.0,,,,,COO
20,,2020-01-07 16:54:15,2020-01-06,COO,Petersmeyer Gary S,Dir,S - Sale,322.29,-250,1338,-16%,-80573.0,,,,,COO
21,D,2020-01-06 17:44:35,2020-01-02,COO,Kalkstein Michael,Dir,S - Sale+OE,320.35,-9500,5838,-62%,-3043319.0,,,,,COO
22,M,2019-09-13 18:47:46,2019-09-11,COO,Rubenstein Allan E,Dir,S - Sale,300.53,-1835,3191,-37%,-551477.0,,,,,COO
23,D,2019-06-26 17:23:08,2019-06-24,COO,Lindell Jody S,Dir,S - Sale+OE,328.29,-3000,18804,-14%,-984857.0,,,,,COO
24,,2019-06-19 17:57:05,2019-06-19,COO,Golden Randal,"VP, GC, Sec.",S - Sale,328.16,-1154,1148,-50%,-378697.0,,,,,COO
25,D,2019-06-19 17:55:06,2019-06-18,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",S - Sale+OE,326.67,-5532,0,-100%,-1807155.0,,,,,COO
26,,2019-06-19 17:51:59,2019-06-17,COO,Petersmeyer Gary S,Dir,S - Sale,323.92,-355,1588,-18%,-114992.0,,,,,COO
27,D,2019-06-12 17:30:34,2019-06-10,COO,Weiss Robert S,Dir,S - Sale+OE,323.74,-52156,149272,-26%,-16885084.0,,,,,COO
28,D,2019-06-07 17:46:35,2019-06-06,COO,McBride Daniel G,"EVP, COO, Pres-CooperVision",S - Sale+OE,315.99,-11981,32807,-27%,-3785838.0,,,,,COO
29,D,2019-06-07 17:41:53,2019-06-06,COO,Kalkstein Michael,Dir,S - Sale+OE,316.28,-3500,6338,-36%,-1106985.0,,,,,COO
30,ADM,2019-05-23 18:11:27,2019-04-01,COO,Lindell Jody S,Dir,S - Sale+OE,296.38,-3380,18804,-15%,-1001776.0,,,,,COO
31,DM,2019-04-02 16:32:10,2019-04-01,COO,Lindell Jody S,Dir,S - Sale+OE,296.38,-3380,18804,-15%,-1001776.0,,,,,COO
32,D,2019-04-02 16:24:04,2019-04-01,COO,Auerbach Robert D,"Pres, CSI",S - Sale+OE,300.0,-5326,2538,-68%,-1597800.0,,,,,COO
33,,2019-04-02 16:22:33,2019-03-29,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",S - Sale,296.13,-2400,0,-100%,-710722.0,,,,,COO
34,,2019-03-27 16:41:54,2019-03-25,COO,Andrews Brian G,"SVP, CFO, Treasurer",S - Sale,293.28,-1648,2402,-41%,-483325.0,,,,,COO
35,D,2019-03-21 18:15:54,2019-03-19,COO,Weiss Robert S,Dir,S - Sale+OE,291.81,-70902,149003,-32%,-20689744.0,,,,,COO
36,D,2019-03-14 16:05:19,2019-03-12,COO,Bender A Thomas,Dir,S - Sale+OE,290.1,-4950,18137,-21%,-1435968.0,,,,,COO
37,,2019-03-14 16:03:35,2019-03-12,COO,Auerbach Robert D,"Pres, CSI",S - Sale,292.22,-2272,2538,-47%,-663926.0,,,,,COO
38,DM,2019-03-12 16:55:37,2019-03-11,COO,Zinberg Stanley Md,Dir,S - Sale+OE,290.94,-6500,10528,-38%,-1891082.0,,,,,COO
39,,2019-03-12 16:54:23,2019-03-08,COO,Petersmeyer Gary S,Dir,S - Sale,286.88,-799,1506,-35%,-229217.0,,,,,COO
40,,2019-03-12 16:49:51,2019-03-11,COO,Kalkstein Michael,Dir,S - Sale,288.55,-3570,5901,-38%,-1030121.0,,,,,COO
41,D,2019-03-12 16:45:54,2019-03-08,COO,Lindell Jody S,Dir,S - Sale+OE,284.59,-7500,21747,-26%,-2134425.0,,,,,COO
42,,2018-12-12 18:54:32,2018-12-10,COO,Rubenstein Allan E,Dir,P - Purchase,241.59,348,4624,+8%,84075.0,,,,,COO
43,D,2018-10-01 19:09:32,2018-09-27,COO,Golden Randal,"VP, GC, Sec.",S - Sale+OE,275.86,-1731,1211,-59%,-477510.0,,,,,COO
44,D,2018-09-26 17:30:13,2018-09-24,COO,Bender A Thomas,Dir,S - Sale+OE,269.36,-7150,16871,-30%,-1925892.0,,,,,COO
45,,2018-09-13 18:43:02,2018-09-13,COO,Rubenstein Allan E,Dir,S - Sale,265.37,-1500,3068,-33%,-398055.0,,,,,COO
46,D,2018-09-13 18:41:32,2018-09-13,COO,McBride Daniel G,"EVP, COO, Pres-CooperVision",S - Sale+OE,264.44,-10310,30515,-25%,-2726406.0,,,,,COO
