,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-17 17:18:19,2021-12-15,CORR,Ciccotello Conrad S,Dir,P - Purchase,3.1,3000,13172,+29%,9300.0,,,,,CORR
1,DM,2021-11-16 16:06:37,2021-11-12,CORR,Schulte David J,"Pres, CEO, COB",S - Sale+OE,24.3,-90929,647974,-12%,-2209575.0,,,,,CORR
2,D,2021-11-16 16:05:39,2021-11-12,CORR,Sandring Rebecca M,EVP,S - Sale+OE,24.3,-8937,65759,-12%,-217169.0,,,,,CORR
3,,2021-08-26 16:55:25,2021-08-24,CORR,Grier John D,COO,P - Purchase,4.41,2000,2000,New,8820.0,,,,,CORR
4,DM,2021-08-24 18:16:33,2021-08-20,CORR,Schulte David J,"Pres, CEO, COB",P - Purchase,4.24,2000,738903,0%,8470.0,,,,,CORR
5,,2021-07-16 14:56:58,2021-07-13,CORR,Banks Todd E.,Dir,A - Grant,6.62,1133,1818,+165%,7500.0,,,,,CORR
6,,2021-07-16 14:52:27,2021-07-13,CORR,Ciccotello Conrad S,Dir,A - Grant,6.62,1133,10172,+13%,7500.0,,,,,CORR
7,,2021-07-16 14:46:20,2021-07-13,CORR,Lewis Catherine A.,Dir,A - Grant,6.62,1133,5483,+26%,7500.0,,,,,CORR
8,D,2021-07-08 18:45:29,2021-07-06,CORR,Schulte David J,"Pres, CEO, COB",A - Grant,0.0,707333,736903,>999%,0.0,,,,,CORR
9,D,2021-07-08 18:04:41,2021-07-06,CORR,Sandring Rebecca M,EVP,A - Grant,0.0,69517,74696,>999%,0.0,,,,,CORR
10,,2021-05-24 15:05:24,2021-05-21,CORR,Ciccotello Conrad S,Dir,P - Purchase,5.5,3000,9039,+50%,16500.0,,,,,CORR
11,,2020-07-13 14:05:45,2020-07-10,CORR,Ciccotello Conrad S,Dir,P - Purchase,7.49,500,6039,+9%,3745.0,,,,,CORR
12,,2020-07-10 15:11:46,2020-07-09,CORR,Fulmer Jeffrey E.,EVP,P - Purchase,7.84,2000,8865,+29%,15680.0,,,,,CORR
13,,2020-07-10 14:32:57,2020-07-09,CORR,Schulte David J,"Pres, CEO, COB",P - Purchase,7.52,2000,29570,+7%,15040.0,,,,,CORR
14,,2020-03-19 17:04:45,2020-03-17,CORR,Schulte David J,"Pres, CEO, COB",P - Purchase,20.0,400,27570,+1%,8000.0,,,,,CORR
15,,2020-03-19 15:58:03,2020-03-17,CORR,Ciccotello Conrad S,Dir,P - Purchase,19.49,200,5539,+4%,3898.0,,,,,CORR
16,M,2020-03-19 15:10:45,2020-03-18,CORR,Fulmer Jeffrey E.,EVP,P - Purchase,13.98,2000,6865,+41%,27969.0,,,,,CORR
17,,2019-12-30 20:56:02,2019-12-26,CORR,Sandring Rebecca M,EVP,P - Purchase,44.4,903,5374,+20%,40093.0,,,,,CORR
18,,2019-01-14 16:29:00,2019-01-10,CORR,Fulmer Jeffrey E.,EVP,P - Purchase,34.69,800,4865,+20%,27752.0,,,,,CORR
19,M,2019-01-07 14:36:35,2019-01-03,CORR,Schulte David J,"Pres, CEO, COB",P - Purchase,33.64,750,26379,+3%,25233.0,,,,,CORR
20,,2018-11-13 17:16:40,2018-11-13,CORR,Schulte David J,"Pres, CEO",P - Purchase,36.33,1000,25629,+4%,36330.0,,,,,CORR
21,,2018-07-05 17:19:54,2018-07-02,CORR,Brady Barrett,Dir,A - Grant,37.49,200,4850,+4%,7500.0,,,,,CORR
22,,2018-07-05 17:19:37,2018-07-02,CORR,Banks Todd E.,Dir,A - Grant,37.49,200,645,+45%,7500.0,,,,,CORR
23,,2018-07-05 17:15:54,2018-07-02,CORR,Lewis Catherine A.,Dir,A - Grant,37.49,200,4350,+5%,7500.0,,,,,CORR
