,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2017-03-23 15:07:54,2017-03-21,CP,Edwards Peter John,VP People,F - Tax,146.79,-4503,6830,-40%,-660995.0,1,3,6,,CP
1,D,2017-03-23 15:07:54,2017-03-21,CP,Edwards Peter John,VP People,M - OptEx,37.28,10300,6830,-297%,383984.0,1,3,6,,CP
2,,2017-01-30 11:31:12,2017-01-26,CP,Wallace Mark Kenneth,"VP Corp Affrs, Chief of Staff",S - Sale,154.36,-577,45,-93%,-89066.0,-2,-3,-5,,CP
3,D,2017-01-25 16:35:34,2017-01-24,CP,Wallace Mark Kenneth,"VP Corp Affrs, Chief of Staff",M - OptEx,120.71,3910,0,-100%,471987.0,0,-2,-3,,CP
4,D,2017-01-25 16:35:34,2017-01-24,CP,Wallace Mark Kenneth,"VP Corp Affrs, Chief of Staff",S - Sale+OE,152.45,-3910,0,-100%,-596067.0,0,-2,-3,,CP
5,D,2017-01-24 15:37:42,2017-01-23,CP,Wallace Mark Kenneth,"VP Corp Affrs, Chief of Staff",M - OptEx,89.94,8080,0,-100%,726686.0,0,0,0,,CP
6,D,2017-01-24 15:37:42,2017-01-23,CP,Wallace Mark Kenneth,"VP Corp Affrs, Chief of Staff",S - Sale+OE,150.18,-8080,0,-100%,-1213465.0,0,0,0,,CP
7,,2017-01-23 15:42:32,2017-01-20,CP,Harrison E Hunter,CEO,S - Sale,150.81,-178617,0,-100%,-26936953.0,1,2,1,,CP
8,,2016-12-23 13:13:55,2016-12-23,CP,Macdonald Ubavka Rebecca,Dir,S - Sale,143.65,-3900,0,-100%,-560235.0,0,0,8,,CP
9,D,2016-11-25 12:05:11,2016-11-23,CP,Edwards Peter John,VP People,M - OptEx,41.37,15300,1033,-107%,632961.0,0,4,-4,,CP
10,D,2016-11-25 12:05:11,2016-11-23,CP,Edwards Peter John,VP People,S - Sale+OE,149.6,-15300,1033,-94%,-2288880.0,0,4,-4,,CP
11,,2016-08-05 16:11:57,2016-08-03,CP,"Pershing Square Capital Management, L.P.",Dir,S - Sale,141.68,-9840890,0,-100%,-1394257295.0,0,2,7,5.0,CP
12,,2016-04-27 19:14:34,2016-04-25,CP,Edwards Peter John,"VP HR, Labour Relations",P - Purchase,147.0,1,1033,0%,147.0,0,-2,-11,1.0,CP
13,,2016-04-27 10:50:47,2016-04-26,CP,Paull Matthew H,Dir,P - Purchase,143.89,1000,1000,New,143890.0,1,0,-10,2.0,CP
14,,2016-04-22 17:17:06,2016-04-22,CP,"Pershing Square Capital Management, L.P.",Dir,S - Sale,148.25,-4100000,9840890,-29%,-607825000.0,-3,-3,-14,1.0,CP
