,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-05-18 14:12:42,2022-05-16,CSR,Jones-Tyson Rodney,Dir,P - Purchase,84.82,595,595,New,50468.0,,,,,CSR
1,,2022-05-06 16:06:54,2022-05-05,CSR,Dance Michael T,Dir,P - Purchase,82.0,1000,9808,+11%,82000.0,,,,,CSR
2,M,2022-05-06 16:04:29,2022-05-05,CSR,Schissel John A,Dir,P - Purchase,81.62,300,6267,+5%,24486.0,,,,,CSR
3,,2020-09-24 15:26:08,2020-09-24,IRET,Decker Mark Okey Jr,"Pres, CEO, CIO",P - Purchase,62.73,500,28741,+2%,31365.0,,,,,CSR
4,,2020-05-19 12:40:54,2020-05-15,IRET,Decker Mark Okey Jr,"Pres, CEO, CIO",P - Purchase,62.03,125,24437,+1%,7753.0,,,,,CSR
5,,2020-03-17 17:19:59,2020-03-16,IRET,Green Emily Nagle,Dir,P - Purchase,62.61,150,2590,+6%,9392.0,,,,,CSR
6,,2019-03-12 14:55:08,2019-03-08,IRET,Green Emily Nagle,Dir,P - Purchase,58.32,255,1571,+19%,14872.0,,,,,CSR
7,A,2019-02-14 19:02:09,2018-10-12,IRET,Kirchmann John,"EVP, CFO",P - Purchase,5.36,1391,76388,+2%,7451.0,,,,,CSR
8,A,2019-02-14 19:01:46,2018-12-31,IRET,Dance Michael T,Dir,P - Purchase,47.32,1000,5869,+21%,47320.0,,,,,CSR
9,,2019-01-03 18:06:02,2018-12-31,IRET,Twinem Mary J,Dir,P - Purchase,48.43,1025,1851,+124%,49641.0,,,,,CSR
10,,2019-01-03 18:04:05,2018-12-31,IRET,Dance Michael T,Dir,P - Purchase,47.32,1000,5869,+21%,47320.0,,,,,CSR
11,,2018-12-27 15:31:33,2018-12-21,IRET,Caira Jeffrey,Dir,P - Purchase,4.97,2193,120000,+2%,10895.0,,,,,CSR
12,,2018-12-27 15:28:57,2018-12-24,IRET,Schissel John A,Dir,P - Purchase,4.91,2500,30283,+9%,12265.0,,,,,CSR
13,D,2018-12-20 16:35:56,2018-12-19,IRET,Decker Mark Okey Jr,"Pres, CEO, CIO",P - Purchase,5.2,5000,197435,+3%,25984.0,,,,,CSR
14,D,2018-12-18 17:36:23,2018-12-17,IRET,Hall Linda J.,Dir,P - Purchase,5.15,4000,43908,+10%,20600.0,,,,,CSR
15,M,2018-12-17 17:50:48,2018-12-13,IRET,Kirchmann John,"EVP, CFO",P - Purchase,5.22,19995,97383,+26%,104465.0,,,,,CSR
16,M,2018-10-16 09:12:38,2018-10-12,IRET,Kirchmann John,"EVP, CFO",P - Purchase,5.32,4391,135959,+3%,23381.0,,,,,CSR
17,,2018-09-25 17:18:26,2018-09-21,IRET,Green Emily Nagle,Dir,P - Purchase,5.57,1800,13164,+16%,10026.0,,,,,CSR
18,M,2018-07-25 19:07:39,2018-07-24,IRET,Kirchmann John,"EVP, CFO",P - Purchase,5.32,7034,134568,+6%,37411.0,,,,,CSR
19,D,2018-07-24 17:58:29,2018-07-20,IRET,Kirchmann John,"EVP, CFO",P - Purchase,5.35,3812,71963,+6%,20394.0,,,,,CSR
20,D,2018-07-24 17:57:34,2018-07-20,IRET,Decker Mark Okey Jr,"Pres, CEO, CIO",P - Purchase,5.37,650,192435,0%,3491.0,,,,,CSR
21,,2018-07-17 17:33:09,2018-07-16,IRET,Decker Mark Okey Jr,"Pres, CEO, CIO",P - Purchase,5.42,1200,191785,+1%,6504.0,,,,,CSR
22,,2018-07-13 17:22:29,2018-07-12,IRET,Kirchmann John,"EVP, CFO",P - Purchase,5.49,18000,68151,+36%,98730.0,,,,,CSR
23,M,2018-07-05 16:26:54,2018-07-02,IRET,Decker Mark Okey Jr,"Pres, CEO, CIO",P - Purchase,5.55,9000,190585,+5%,49945.0,,,,,CSR
