,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-08 21:31:25,2022-02-06,CTLT,Zippelius Peter,Dir,S - Sale,102.65,-487092,4338292,-10%,-49999994.0,,,,,CTLT
1,,2022-02-01 15:38:40,2022-01-31,CTLT,Hopson Ricky,"VP, Chief Accounting Officer",S - Sale,103.39,-2325,17073,-12%,-240382.0,,,,,CTLT
2,,2022-01-24 16:42:46,2022-01-21,CTLT,Whitlow Ricci S,"Pres, CSS",S - Sale,102.37,-184,2923,-6%,-18836.0,,,,,CTLT
3,,2022-01-11 18:54:52,2022-01-10,CTLT,Flynn Karen,Chief Commercial Officer,S - Sale,116.64,-2472,33223,-7%,-288334.0,,,,,CTLT
4,,2022-01-05 16:36:14,2022-01-03,CTLT,Pravda Ricardo,"SVP, CHRO",A - Grant,0.0,4017,15764,+34%,0.0,,,,,CTLT
5,,2022-01-05 16:35:47,2022-01-03,CTLT,Gunther Scott,"SVP, Quality, Reg. Affairs",A - Grant,0.0,4017,22079,+22%,0.0,,,,,CTLT
6,,2022-01-05 16:34:56,2022-01-03,CTLT,Grippo Michael J,"SVP, Strategy, Corp. Dev.",A - Grant,0.0,4017,16519,+32%,0.0,,,,,CTLT
7,,2022-01-05 16:34:26,2022-01-03,CTLT,Gennadios Aristippos,"Pres Softgel, Oral Tech",A - Grant,0.0,4017,61498,+7%,0.0,,,,,CTLT
8,,2022-01-05 16:34:07,2022-01-03,CTLT,Fasman Steven L,"SVP, GC",A - Grant,0.0,4017,61178,+7%,0.0,,,,,CTLT
9,,2022-01-05 16:33:44,2022-01-03,CTLT,Arnold Jonathan,"Pres Oral, Specialty Deliv.",A - Grant,0.0,4017,45988,+10%,0.0,,,,,CTLT
10,D,2021-12-01 20:35:32,2021-11-18,CTLT,Zippelius Peter,Dir,C - Converted deriv,49.54,7822946,4830776,-62%,387555785.0,,,,,CTLT
