,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2022-05-09 17:55:42,2021-02-26,CTO,Vorakoun Lisa,"VP, CHIEF ACCOUNTING OFFICER",S - Sale,57.26,-3361,3637,-48%,-192465.0,,,,,CTO
1,,2021-12-22 16:05:30,2021-12-20,CTO,Smith Daniel Earl,"SVP, GC, CORP SECRET",P - Purchase,54.25,1000,31286,+3%,54250.0,,,,,CTO
2,,2021-12-14 16:36:38,2021-12-10,CTO,Haga Christopher W,Dir,P - Purchase,54.82,1800,12742,+16%,98676.0,,,,,CTO
3,,2021-11-04 16:23:31,2021-11-03,CTO,Franklin Laura M,Dir,P - Purchase,54.45,915,9398,+11%,49822.0,,,,,CTO
4,M,2021-09-29 16:11:49,2021-09-27,CTO,Albright John P,"Pres, CEO",S - Sale,53.95,-7880,137606,-5%,-425164.0,,,,,CTO
5,,2021-08-23 07:00:23,2021-08-19,CTO,Franklin Laura M,Dir,P - Purchase,52.93,500,8300,+6%,26467.0,,,,,CTO
6,,2021-08-16 06:55:24,2021-08-12,CTO,Partridge Matthew Morris,"SVP, CFO, TREASURER",P - Purchase,54.75,1000,11331,+10%,54750.0,,,,,CTO
7,,2021-08-16 06:55:22,2021-08-12,CTO,Haga Christopher W,Dir,P - Purchase,54.12,2000,10655,+23%,108244.0,,,,,CTO
8,,2021-08-16 06:55:19,2021-08-12,CTO,Brokaw George R,Dir,P - Purchase,54.3,1000,18825,+6%,54304.0,,,,,CTO
9,,2021-08-16 06:55:15,2021-08-12,CTO,Brokaw George R,Dir,P - Purchase,54.3,1000,18825,+6%,54304.0,,,,,CTO
10,,2021-05-14 16:30:14,2021-05-13,CTO,Brokaw George R,Dir,P - Purchase,50.95,1000,17571,+6%,50954.0,,,,,CTO
11,M,2021-05-11 19:30:15,2021-05-10,CTO,Brokaw George R,Dir,P - Purchase,51.15,3000,16571,+22%,153448.0,,,,,CTO
12,M,2020-12-15 17:27:14,2020-12-11,CTO,Albright John P,"Pres, CEO",S - Sale,41.51,-9635,117971,-8%,-399995.0,,,,,CTO
13,,2020-12-15 17:00:13,2020-12-14,CTO,Partridge Matthew Morris,"SVP, CFO",P - Purchase,41.75,1200,5200,+30%,50100.0,,,,,CTO
14,,2020-09-16 16:05:11,2020-09-14,CTO,Haga Christopher W,Dir,P - Purchase,43.74,1200,5003,+32%,52489.0,,,,,CTO
15,M,2020-08-05 16:52:48,2020-08-03,CTO,Brokaw George R,Dir,P - Purchase,40.46,1970,9161,+27%,79705.0,,,,,CTO
16,,2020-05-15 16:15:20,2020-05-14,CTO,Smith Daniel Earl,"SVP, GC, CORP SECRET",P - Purchase,36.76,500,17380,+3%,18379.0,,,,,CTO
17,A,2020-05-12 16:15:15,2020-05-08,CTO,Brokaw George R,Dir,P - Purchase,39.63,1000,6879,+17%,39635.0,,,,,CTO
18,,2020-03-16 14:30:15,2020-03-12,CTO,Greathouse Steven Robert,SVP-INVESTMENTS,P - Purchase,49.5,415,13727,+3%,20543.0,,,,,CTO
19,,2020-03-16 14:25:30,2020-03-12,CTO,Smith Daniel Earl,"SVP, GC, CORP SECRET",P - Purchase,49.0,650,16880,+4%,31849.0,,,,,CTO
20,M,2019-12-13 16:30:20,2019-12-12,CTO,Smith Daniel Earl,"SVP, GC, CORP SECRET",P - Purchase,62.72,125,13123,+1%,7840.0,,,,,CTO
21,,2019-12-13 16:30:15,2019-12-12,CTO,Greathouse Steven Robert,SVP-INVESTMENTS,P - Purchase,62.69,285,9817,+3%,17866.0,,,,,CTO
22,,2019-12-06 17:21:46,2019-12-05,CTO,Brokaw George R,Dir,P - Purchase,61.7,76,4853,+2%,4689.0,,,,,CTO
23,,2019-06-11 17:21:30,2019-06-10,CTO,Patten Mark E,"SVP, CFO",S - Sale,59.92,-5000,31015,-14%,-299623.0,,,,,CTO
24,,2019-05-14 15:37:33,2019-05-14,CTO,Brokaw George R,Dir,P - Purchase,59.1,500,4317,+13%,29550.0,,,,,CTO
25,,2019-05-09 15:53:57,2019-05-09,CTO,Wold Casey R,Dir,P - Purchase,59.12,500,2764,+22%,29560.0,,,,,CTO
26,,2019-04-11 16:24:11,2019-04-09,CTO,"Wintergreen Advisers, LLC",10%,S - Sale,55.0,-1553075,0,-100%,-85419125.0,,,,,CTO
27,,2019-03-07 11:38:05,2019-03-07,CTO,Gable Robert Blakeslee,Dir,P - Purchase,59.0,420,1369,+44%,24780.0,,,,,CTO
28,M,2019-03-07 11:32:18,2019-03-05,CTO,Brokaw George R,Dir,P - Purchase,59.74,700,3522,+25%,41820.0,,,,,CTO
29,,2019-03-01 15:45:34,2019-02-28,CTO,Brokaw George R,Dir,P - Purchase,60.0,100,2822,+4%,6000.0,,,,,CTO
30,,2019-02-21 12:55:24,2019-02-19,CTO,Brokaw George R,Dir,P - Purchase,60.0,8,2392,0%,480.0,,,,,CTO
31,,2019-02-21 12:37:19,2019-02-20,CTO,Gable Robert Blakeslee,Dir,P - Purchase,60.5,415,619,+203%,25108.0,,,,,CTO
