,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-14 18:44:28,2022-02-10,CTS,White Thomas Michael,"Controller, PAO",A - Grant,0.0,893,3692,+32%,0.0,,,,,CTS
1,,2022-02-14 18:44:28,2022-02-11,CTS,White Thomas Michael,"Controller, PAO",F - Tax,33.39,-152,3692,-4%,-5075.0,,,,,CTS
2,,2022-02-14 18:41:19,2022-02-10,CTS,D'Angelo Scott,"VP, Secretary",A - Grant,0.0,4763,6766,+238%,0.0,,,,,CTS
3,,2022-02-14 18:41:19,2022-02-11,CTS,D'Angelo Scott,"VP, Secretary",F - Tax,33.39,-397,6766,-6%,-13256.0,,,,,CTS
4,,2022-02-14 18:38:51,2022-02-10,CTS,Agrawal Ashish,CFO,A - Grant,0.0,16988,122592,+16%,0.0,,,,,CTS
5,M,2022-02-14 18:38:51,2022-02-10,CTS,Agrawal Ashish,CFO,F - Tax,33.55,-5344,122592,-4%,-179300.0,,,,,CTS
6,,2022-02-14 18:33:48,2022-02-10,CTS,O'Sullivan Kieran M,"Pres, CEO",A - Grant,0.0,57928,500781,+13%,0.0,,,,,CTS
7,M,2022-02-14 18:33:48,2022-02-10,CTS,O'Sullivan Kieran M,"Pres, CEO",F - Tax,33.56,-18739,500781,-4%,-628791.0,,,,,CTS
8,,2022-02-08 17:52:26,2022-02-06,CTS,White Thomas Michael,"Controller, PAO",F - Tax,32.45,-89,2951,-3%,-2888.0,,,,,CTS
9,M,2022-02-08 17:50:19,2022-02-06,CTS,Agrawal Ashish,CFO,F - Tax,32.28,-2284,121996,-2%,-73735.0,,,,,CTS
10,M,2022-02-08 17:47:14,2022-02-06,CTS,O'Sullivan Kieran M,"Pres, CEO",F - Tax,32.28,-6815,496319,-1%,-219979.0,,,,,CTS
11,M,2021-11-09 10:37:57,2021-11-05,CTS,Agrawal Ashish,CFO,S - Sale,37.66,-30000,124280,-19%,-1129768.0,,,,,CTS
12,M,2021-11-08 15:10:44,2021-11-04,CTS,O'Sullivan Kieran M,"Pres, CEO",S - Sale,37.54,-32515,503134,-6%,-1220601.0,,,,,CTS
13,,2021-11-05 14:52:35,2021-11-04,CTS,Zulueta Alfonso G,Dir,A - Grant,36.69,3600,23313,+18%,132084.0,,,,,CTS
14,,2021-11-05 14:50:18,2021-11-04,CTS,Profusek Robert,Dir,A - Grant,36.69,3600,89142,+4%,132084.0,,,,,CTS
15,,2021-11-05 14:47:44,2021-11-04,CTS,Li Ye Jane,Dir,A - Grant,36.69,3600,11800,+44%,132084.0,,,,,CTS
16,,2021-11-05 14:40:36,2021-11-04,CTS,Johnson William S,Dir,A - Grant,36.69,3600,34100,+12%,132084.0,,,,,CTS
17,,2021-11-05 14:38:24,2021-11-04,CTS,Hunter Gordon,Dir,A - Grant,36.69,3600,54300,+7%,132084.0,,,,,CTS
18,,2021-11-05 14:35:02,2021-11-04,CTS,Costello Donna,Dir,A - Grant,36.69,3600,6900,+109%,132084.0,,,,,CTS
19,,2021-07-02 12:49:57,2021-07-01,CTS,White Thomas Michael,"Controller, PAO",F - Tax,37.49,-116,3040,-4%,-4349.0,,,,,CTS
20,,2021-06-21 16:37:05,2021-06-18,CTS,Agrawal Ashish,CFO,S - Sale,36.88,-1,154280,0%,-33.0,,,,,CTS
21,,2021-02-16 17:00:04,2021-02-11,CTS,D'Angelo Scott,"VP, Secretary",A - Grant,0.0,2400,2400,New,0.0,,,,,CTS
22,,2021-02-16 16:57:22,2021-02-11,CTS,O'Sullivan Kieran M,"Pres, CEO",A - Grant,0.0,53437,535649,+11%,0.0,,,,,CTS
23,,2021-02-16 16:50:10,2021-02-11,CTS,Agrawal Ashish,CFO,A - Grant,0.0,18154,154281,+13%,0.0,,,,,CTS
24,,2021-02-16 13:45:39,2021-02-11,CTS,Costello Donna,Dir,A - Grant,32.77,3300,3300,New,108141.0,,,,,CTS
25,,2020-11-09 11:07:12,2020-11-05,CTS,Hunter Gordon,Dir,A - Grant,29.23,4200,50700,+9%,122766.0,,,,,CTS
26,,2020-11-06 16:24:29,2020-11-05,CTS,Zulueta Alfonso G,Dir,A - Grant,29.23,4200,19713,+27%,122766.0,,,,,CTS
27,,2020-11-06 16:16:56,2020-11-05,CTS,Collawn Patricia K,Dir,A - Grant,29.23,4200,82420,+5%,122766.0,,,,,CTS
28,,2020-11-06 16:04:31,2020-11-05,CTS,Johnson William S,Dir,A - Grant,29.23,4200,30500,+16%,122766.0,,,,,CTS
29,,2020-11-06 15:58:14,2020-11-05,CTS,Profusek Robert,Dir,A - Grant,29.23,4200,85542,+5%,122766.0,,,,,CTS
30,,2020-11-06 15:55:35,2020-11-05,CTS,Li Ye Jane,Dir,A - Grant,29.23,4200,8200,+105%,122766.0,,,,,CTS
31,M,2020-03-13 11:02:12,2020-03-11,CTS,Zulueta Alfonso G,Dir,P - Purchase,22.4,2663,13013,+26%,59639.0,,,,,CTS
32,M,2020-03-10 16:09:16,2020-03-09,CTS,Zulueta Alfonso G,Dir,P - Purchase,22.83,1750,10350,+20%,39955.0,,,,,CTS
33,,2020-02-07 12:25:36,2020-02-06,CTS,Agrawal Ashish,CFO,A - Grant,30.13,17597,147504,+14%,530198.0,,,,,CTS
34,,2020-02-07 12:22:08,2020-02-06,CTS,Machado Luis Francisco,"VP, GC, Sec.",A - Grant,30.13,13592,88106,+18%,409527.0,,,,,CTS
35,,2020-02-07 12:19:55,2020-02-06,CTS,O'Sullivan Kieran M,"Pres, CEO",A - Grant,30.13,55646,514032,+12%,1676614.0,,,,,CTS
36,,2019-11-08 09:37:33,2019-11-07,CTS,Profusek Robert,Dir,A - Grant,27.81,4400,81342,+6%,122364.0,,,,,CTS
37,,2019-11-08 09:35:33,2019-11-07,CTS,Collawn Patricia K,Dir,A - Grant,27.81,4400,78220,+6%,122364.0,,,,,CTS
38,,2019-11-08 09:33:44,2019-11-07,CTS,Zulueta Alfonso G,Dir,A - Grant,27.81,4400,8600,+105%,122364.0,,,,,CTS
39,,2019-11-08 09:31:38,2019-11-07,CTS,Johnson William S,Dir,A - Grant,27.81,4400,26300,+20%,122364.0,,,,,CTS
40,,2019-11-08 09:29:18,2019-11-07,CTS,Hunter Gordon,Dir,A - Grant,27.81,4400,46500,+10%,122364.0,,,,,CTS
41,,2019-11-08 09:27:41,2019-11-07,CTS,Murphy Diana M,Dir,A - Grant,27.81,4400,49500,+10%,122364.0,,,,,CTS
42,,2019-02-11 10:43:16,2019-02-07,CTS,O'Sullivan Kieran M,"Pres, CEO",A - Grant,28.79,57985,458386,+14%,1669388.0,,,,,CTS
43,,2019-02-11 10:38:08,2019-02-07,CTS,Agrawal Ashish,CFO,A - Grant,28.79,18416,129907,+17%,530197.0,,,,,CTS
44,,2019-02-11 10:35:19,2019-02-07,CTS,Machado Luis Francisco,"VP, GC, Sec.",A - Grant,28.79,14225,74514,+24%,409538.0,,,,,CTS
45,,2018-11-09 17:20:10,2018-11-08,CTS,Johnson William S,Dir,A - Grant,28.85,4200,21900,+24%,121170.0,,,,,CTS
46,,2018-11-09 17:17:58,2018-11-08,CTS,Murphy Diana M,Dir,A - Grant,28.85,4200,45100,+10%,121170.0,,,,,CTS
47,,2018-11-09 17:16:40,2018-11-08,CTS,Zulueta Alfonso G,Dir,A - Grant,28.85,4200,4200,New,121170.0,,,,,CTS
48,,2018-11-09 17:15:03,2018-11-08,CTS,Hunter Gordon,Dir,A - Grant,28.85,4200,42100,+11%,121170.0,,,,,CTS
49,,2018-11-09 17:13:39,2018-11-08,CTS,Profusek Robert,Dir,A - Grant,28.85,4200,76942,+6%,121170.0,,,,,CTS
50,,2018-11-09 17:12:01,2018-11-08,CTS,Collawn Patricia K,Dir,A - Grant,28.85,4200,73820,+6%,121170.0,,,,,CTS
51,,2018-11-06 14:29:40,2018-11-02,CTS,Agrawal Ashish,CFO,P - Purchase,27.49,43,111491,0%,1182.0,,,,,CTS
52,,2018-09-05 16:46:51,2018-08-31,CTS,O'Sullivan Kieran M,"Pres, CEO",S - Sale,36.42,-10000,400401,-2%,-364200.0,,,,,CTS
53,,2018-02-27 15:13:51,2018-02-23,CTS,Agrawal Ashish,CFO,A - Grant,26.7,11400,111448,+11%,304380.0,,,,,CTS
54,,2018-02-27 15:13:51,2018-02-23,CTS,Agrawal Ashish,CFO,F - Tax,26.7,-5050,111448,-4%,-134835.0,,,,,CTS
55,,2018-02-27 15:12:16,2018-02-27,CTS,O'Sullivan Kieran M,"Pres, CEO",A - Grant,26.7,38950,410401,+10%,1039965.0,,,,,CTS
56,,2018-02-27 15:12:16,2018-02-27,CTS,O'Sullivan Kieran M,"Pres, CEO",F - Tax,26.7,-17255,410401,-4%,-460709.0,,,,,CTS
57,,2018-02-20 12:27:23,2018-02-16,CTS,O'Sullivan Kieran M,"Pres, CEO",A - Grant,26.2,53401,401622,+15%,1399106.0,,,,,CTS
58,,2018-02-12 12:51:37,2018-02-08,CTS,Agrawal Ashish,CFO,A - Grant,26.2,19096,109337,+21%,500315.0,,,,,CTS
59,,2018-02-12 12:45:45,2018-02-08,CTS,Machado Luis Francisco,"VP, GC, Sec.",A - Grant,26.2,15633,60289,+35%,409585.0,,,,,CTS
60,,2017-11-13 12:22:42,2017-11-09,CTS,Johnson William S,Dir,A - Grant,26.2,3700,17700,+26%,96940.0,,,,,CTS
61,,2017-11-13 12:20:46,2017-11-09,CTS,Catlow Walter S,Dir,A - Grant,26.2,3700,64739,+6%,96940.0,,,,,CTS
62,,2017-11-13 12:18:37,2017-11-09,CTS,Profusek Robert,Dir,A - Grant,26.2,3700,72742,+5%,96940.0,,,,,CTS
63,,2017-11-13 12:12:54,2017-11-09,CTS,Hunter Gordon,Dir,A - Grant,26.2,3700,37900,+11%,96940.0,,,,,CTS
64,,2017-11-13 12:10:35,2017-11-09,CTS,Murphy Diana M,Dir,A - Grant,26.2,3700,40900,+10%,96940.0,,,,,CTS
65,,2017-11-13 12:07:48,2017-11-09,CTS,Collawn Patricia K,Dir,A - Grant,26.2,3700,69620,+6%,96940.0,,,,,CTS
66,,2017-11-01 11:13:22,2017-10-30,CTS,Machado Luis Francisco,"VP, GC, Sec.",F - Tax,26.2,-1251,44656,-3%,-32776.0,,,,,CTS
67,,2017-03-03 10:06:21,2017-03-01,CTS,O'Sullivan Kieran M,"Pres, CEO",A - Grant,22.75,27133,348221,+8%,617276.0,0.0,-4.0,-4.0,,CTS
68,,2017-03-03 10:06:21,2017-03-01,CTS,O'Sullivan Kieran M,"Pres, CEO",F - Tax,22.75,-12400,348221,-3%,-282100.0,0.0,-4.0,-4.0,,CTS
69,,2017-03-03 10:04:40,2017-03-01,CTS,Agrawal Ashish,CFO,A - Grant,22.75,11205,90241,+14%,254914.0,0.0,-4.0,-4.0,,CTS
70,,2017-03-03 10:04:40,2017-03-01,CTS,Agrawal Ashish,CFO,F - Tax,22.75,-5121,90241,-5%,-116503.0,0.0,-4.0,-4.0,,CTS
71,AM,2017-02-22 10:23:41,2017-02-16,CTS,Agrawal Ashish,CFO,F - Tax,23.26,-8816,84157,-9%,-205027.0,-2.0,-6.0,-8.0,,CTS
72,AM,2017-02-22 10:22:24,2017-02-16,CTS,O'Sullivan Kieran M,"Pres, CEO",F - Tax,23.26,-27092,333488,-8%,-630026.0,-2.0,-6.0,-8.0,,CTS
73,M,2017-02-21 12:54:14,2017-02-16,CTS,Agrawal Ashish,CFO,F - Tax,23.26,-7597,85376,-8%,-176686.0,0.0,-3.0,-8.0,,CTS
74,M,2017-02-21 12:53:28,2017-02-16,CTS,O'Sullivan Kieran M,"Pres, CEO",F - Tax,23.26,-22932,337648,-6%,-533306.0,0.0,-3.0,-8.0,,CTS
75,,2017-02-21 12:52:44,2017-02-16,CTS,Machado Luis Francisco,"VP, GC, Sec.",F - Tax,23.25,-2778,45907,-6%,-64589.0,0.0,-3.0,-8.0,,CTS
76,,2017-02-10 16:38:24,2017-02-09,CTS,Machado Luis Francisco,"VP, GC, Sec.",A - Grant,23.0,15910,48685,+49%,365930.0,1.0,1.0,-6.0,,CTS
77,,2017-02-10 16:37:33,2017-02-09,CTS,Agrawal Ashish,CFO,A - Grant,23.0,20877,92973,+29%,480171.0,1.0,1.0,-6.0,,CTS
78,,2017-02-10 16:36:45,2017-02-09,CTS,O'Sullivan Kieran M,"Pres, CEO",A - Grant,23.0,61500,360580,+21%,1414500.0,1.0,1.0,-6.0,,CTS
79,E,2016-12-16 09:25:57,2016-12-14,CTS,Hunter Gordon,Dir,G - Gift,23.8,-2000,34200,-6%,-47600.0,0.0,-4.0,-10.0,,CTS
80,,2016-11-14 10:04:52,2016-11-10,CTS,Murphy Diana M,Dir,A - Grant,20.0,5500,37200,+17%,110000.0,1.0,5.0,10.0,,CTS
81,,2016-11-14 09:52:41,2016-11-10,CTS,Hunter Gordon,Dir,A - Grant,20.0,5500,36200,+18%,110000.0,1.0,5.0,10.0,,CTS
82,,2016-11-14 09:52:03,2016-11-10,CTS,Johnson William S,Dir,A - Grant,20.0,5500,14000,+65%,110000.0,1.0,5.0,10.0,,CTS
83,,2016-11-14 09:51:15,2016-11-10,CTS,Ciancia Lawrence J,Dir,A - Grant,20.0,5500,75256,+8%,110000.0,1.0,5.0,10.0,,CTS
84,,2016-11-14 09:50:07,2016-11-10,CTS,Catlow Walter S,Dir,A - Grant,20.0,5500,61039,+10%,110000.0,1.0,5.0,10.0,,CTS
85,,2016-11-14 09:49:28,2016-11-10,CTS,Collawn Patricia K,Dir,A - Grant,20.0,5500,65920,+9%,110000.0,1.0,5.0,10.0,,CTS
86,,2016-11-14 09:48:40,2016-11-10,CTS,Profusek Robert,Dir,A - Grant,20.0,5500,70842,+8%,110000.0,1.0,5.0,10.0,,CTS
87,,2016-11-01 11:12:03,2016-10-31,CTS,Machado Luis Francisco,"VP, GC, Sec.",F - Tax,17.55,-830,32775,-2%,-14567.0,2.0,-3.0,21.0,19.0,CTS
88,,2016-10-27 09:15:43,2016-10-25,CTS,Agrawal Ashish,CFO,A - Grant,17.1,333,72096,0%,5694.0,-3.0,6.0,32.0,30.0,CTS
89,,2016-10-27 09:15:43,2016-10-25,CTS,Agrawal Ashish,CFO,F - Tax,17.1,-104,72096,0%,-1778.0,-3.0,6.0,32.0,30.0,CTS
90,,2016-08-03 09:47:14,2016-08-02,CTS,Agrawal Ashish,CFO,S - Sale,19.25,-2250,71867,-3%,-43313.0,0.0,2.0,0.0,10.0,CTS
91,,2016-06-24 09:12:22,2016-06-23,CTS,O'Sullivan Kieran M,"Pres, CEO",S - Sale,18.05,-12000,299080,-4%,-216600.0,-4.0,-1.0,5.0,30.0,CTS
