,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-17 16:15:41,2022-02-16,DAL,Samant Rahul D,"EVP, Chief Info Officer",S - Sale,44.37,-11885,61520,-16%,-527337.0,,,,,DAL
1,D,2022-02-11 17:54:43,2022-02-09,DAL,Smith Joanne D,"EVP, Chief People Officer",A - Grant,0.0,25980,135979,+24%,0.0,,,,,DAL
2,D,2022-02-11 17:54:43,2022-02-09,DAL,Smith Joanne D,"EVP, Chief People Officer",F - Tax,43.88,-11717,135979,-8%,-514142.0,,,,,DAL
3,D,2022-02-11 17:54:22,2022-02-09,DAL,Sear Steven M,EVP - Global Sales,A - Grant,0.0,17320,103153,+20%,0.0,,,,,DAL
4,D,2022-02-11 17:54:22,2022-02-09,DAL,Sear Steven M,EVP - Global Sales,F - Tax,43.88,-7812,103153,-7%,-342791.0,,,,,DAL
5,D,2022-02-11 17:54:01,2022-02-09,DAL,Samant Rahul D,"EVP, Chief Info Officer",A - Grant,0.0,21650,73405,+42%,0.0,,,,,DAL
6,D,2022-02-11 17:54:01,2022-02-09,DAL,Samant Rahul D,"EVP, Chief Info Officer",F - Tax,43.88,-9765,73405,-12%,-428488.0,,,,,DAL
7,D,2022-02-11 17:53:57,2022-02-09,DAL,Laughter John E,"EVP, Chief of Operations",A - Grant,0.0,7840,26983,+41%,0.0,,,,,DAL
8,D,2022-02-11 17:53:57,2022-02-09,DAL,Laughter John E,"EVP, Chief of Operations",F - Tax,43.88,-3165,26983,-10%,-138880.0,,,,,DAL
9,,2022-02-11 17:53:32,2022-02-09,DAL,Janki Daniel C.,"EVP, CFO",A - Grant,0.0,34185,186344,+22%,0.0,,,,,DAL
10,D,2022-02-11 17:52:59,2022-02-09,DAL,Hauenstein Glen W,Pres,A - Grant,0.0,52302,277527,+23%,0.0,,,,,DAL
11,D,2022-02-11 17:52:59,2022-02-09,DAL,Hauenstein Glen W,Pres,F - Tax,43.88,-23589,277527,-8%,-1035085.0,,,,,DAL
12,D,2022-02-11 17:52:43,2022-02-09,DAL,Carter Peter W,"EVP, GC",A - Grant,0.0,24248,185502,+15%,0.0,,,,,DAL
13,D,2022-02-11 17:52:43,2022-02-09,DAL,Carter Peter W,"EVP, GC",F - Tax,43.88,-9542,185502,-5%,-418703.0,,,,,DAL
14,D,2022-02-11 17:52:18,2022-02-09,DAL,Carroll William C,"SVP, Fin, Controller",A - Grant,0.0,4560,27749,+20%,0.0,,,,,DAL
15,,2022-02-11 17:45:22,2022-02-09,DAL,Bellemare Alain,"EVP, Pres - International",A - Grant,0.0,34185,135843,+34%,0.0,,,,,DAL
16,D,2022-02-11 17:43:28,2022-02-09,DAL,Bastian Edward H,CEO,A - Grant,0.0,96856,474376,+26%,0.0,,,,,DAL
17,D,2022-02-11 17:43:28,2022-02-09,DAL,Bastian Edward H,CEO,F - Tax,43.88,-43971,474376,-8%,-1929447.0,,,,,DAL
18,D,2022-02-11 17:41:25,2022-02-09,DAL,Ausband Allison C,EVP-Chief Cust Experience Offr,A - Grant,0.0,7840,36224,+28%,0.0,,,,,DAL
19,D,2022-02-11 17:41:25,2022-02-09,DAL,Ausband Allison C,EVP-Chief Cust Experience Offr,F - Tax,43.88,-2872,36224,-7%,-126023.0,,,,,DAL
20,,2022-02-03 17:21:02,2022-02-01,DAL,Smith Joanne D,"EVP, Chief People Officer",F - Tax,40.49,-10514,121716,-8%,-425712.0,,,,,DAL
21,,2022-02-03 17:20:17,2022-02-01,DAL,Sear Steven M,EVP - Global Sales,F - Tax,40.49,-6675,93645,-7%,-270271.0,,,,,DAL
22,,2022-02-03 17:19:35,2022-02-01,DAL,Samant Rahul D,"EVP, Chief Infor Officer",F - Tax,40.49,-10147,61520,-14%,-410852.0,,,,,DAL
23,,2022-02-03 17:18:28,2022-02-01,DAL,Laughter John E,"EVP, Chief of Operations",F - Tax,40.49,-3102,22308,-12%,-125600.0,,,,,DAL
24,,2022-02-03 17:17:53,2022-02-01,DAL,Janki Daniel C.,"EVP, CFO",F - Tax,49.49,-6411,152159,-4%,-317280.0,,,,,DAL
25,,2022-02-03 17:17:17,2022-02-01,DAL,Hauenstein Glen W,Pres,F - Tax,40.49,-22846,248814,-8%,-925035.0,,,,,DAL
26,,2022-02-03 17:17:02,2022-02-01,DAL,Carter Peter W,"EVP, GC",F - Tax,40.49,-19424,170796,-10%,-786478.0,,,,,DAL
27,,2022-02-03 17:16:07,2022-02-01,DAL,Carroll William C,"SVP, Fin, Controller",F - Tax,40.49,-3272,23189,-12%,-132483.0,,,,,DAL
28,,2022-02-03 17:16:07,2022-02-02,DAL,Carroll William C,"SVP, Fin, Controller",S - Sale,40.08,-3580,23189,-13%,-143486.0,,,,,DAL
29,,2022-02-03 17:15:01,2022-02-01,DAL,Bellemare Alain,"EVP, Pres - International",F - Tax,40.49,-9440,101658,-8%,-382226.0,,,,,DAL
30,,2022-02-03 17:12:56,2022-02-01,DAL,Bastian Edward H,CEO,F - Tax,40.49,-46576,421491,-10%,-1885862.0,,,,,DAL
31,,2022-02-03 17:11:51,2022-02-01,DAL,Ausband Allison C,EVP-Chief Cust Experience Offr,F - Tax,40.49,-2652,31256,-8%,-107379.0,,,,,DAL
32,,2022-01-26 16:30:13,2022-01-25,DAL,Bellemare Alain,"EVP, Pres - International",F - Tax,38.72,-7892,111098,-7%,-305578.0,,,,,DAL
33,,2021-12-07 16:30:11,2021-12-03,DAL,Carter Peter W,"EVP, GC",F - Tax,35.98,-671,190220,0%,-24143.0,,,,,DAL
34,,2021-12-01 16:30:12,2021-11-30,DAL,Taylor David S,Dir,P - Purchase,35.59,6000,40580,+17%,213510.0,,,,,DAL
35,,2021-11-29 16:36:16,2021-11-26,DAL,Taylor David S,Dir,P - Purchase,35.96,6000,34580,+21%,215784.0,,,,,DAL
36,,2021-09-02 16:30:14,2021-08-31,DAL,Laughter John E,"EVP, Chief of Operations",P - Purchase,40.22,1250,25410,+5%,50269.0,,,,,DAL
37,,2021-08-05 16:49:22,2021-08-03,DAL,Taylor David S,Dir,P - Purchase,39.3,5000,28580,+21%,196485.0,,,,,DAL
38,D,2021-07-21 21:15:54,2021-07-19,DAL,Janki Daniel C.,"EVP, CFO",A - Grant,0.0,158600,158600,New,0.0,,,,,DAL
39,,2021-07-21 18:13:04,2021-07-19,DAL,Taylor David S,Dir,P - Purchase,38.25,3000,23580,+15%,114750.0,,,,,DAL
40,,2021-06-21 18:05:14,2021-06-17,DAL,Waller Kathy N,Dir,A - Grant,0.0,3930,26970,+17%,0.0,,,,,DAL
41,,2021-06-21 18:04:40,2021-06-17,DAL,Taylor David S,Dir,A - Grant,0.0,3930,20580,+24%,0.0,,,,,DAL
42,,2021-06-21 18:04:14,2021-06-17,DAL,Rial Sergio,Dir,A - Grant,0.0,3930,22571,+21%,0.0,,,,,DAL
43,,2021-06-21 18:04:14,2021-06-17,DAL,Rial Sergio,Dir,F - Tax,44.57,-1707,22571,-7%,-76081.0,,,,,DAL
