,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-08-08 17:17:31,2022-08-08,DBRG,Wu Jacky,CFO,P - Purchase,5.46,9157,1107533,+1%,49997.0,,,,,DBRG
1,,2022-05-10 17:50:00,2022-05-06,DBRG,McCray Gregory James,Dir,A - Grant,0.0,26718,64085,+72%,0.0,,,,,DBRG
2,,2022-05-10 17:27:34,2022-05-06,DBRG,Carter J Braxton II,Dir,A - Grant,0.0,26718,87059,+44%,0.0,,,,,DBRG
3,,2022-05-10 17:20:46,2022-05-06,DBRG,Reiss Dale Anne,Dir,A - Grant,0.0,26718,160385,+20%,0.0,,,,,DBRG
4,,2022-05-10 17:15:30,2022-05-06,DBRG,Diefenderfer Jeannie,Dir,A - Grant,0.0,26718,133374,+25%,0.0,,,,,DBRG
5,,2022-05-03 20:01:37,2022-04-30,DBRG,Kim Sonia,Chief Accounting Officer,F - Tax,6.96,-33667,208139,-14%,-234322.0,,,,,DBRG
6,,2022-03-25 18:07:30,2022-03-23,DBRG,Wu Jacky,CFO,F - Tax,7.03,-103552,1098376,-9%,-727971.0,,,,,DBRG
7,,2022-03-22 18:06:15,2022-03-18,DBRG,Kim Sonia,Chief Accounting Officer,A - Grant,0.0,7203,241806,+3%,0.0,,,,,DBRG
8,,2022-03-22 18:06:15,2022-03-18,DBRG,Kim Sonia,Chief Accounting Officer,F - Tax,6.95,-2229,241806,-1%,-15492.0,,,,,DBRG
9,,2022-03-22 18:04:29,2022-03-18,DBRG,Sanders Ronald M.,"EVP - CLO, Secretary",A - Grant,0.0,60660,1010447,+6%,0.0,,,,,DBRG
10,,2022-03-22 18:04:29,2022-03-18,DBRG,Sanders Ronald M.,"EVP - CLO, Secretary",F - Tax,6.95,-30966,1010447,-3%,-215214.0,,,,,DBRG
11,,2022-03-17 18:09:14,2022-03-15,DBRG,Ganzi Marc C,"CEO, Pres",A - Grant,0.0,501110,1305920,+62%,0.0,,,,,DBRG
12,,2022-03-17 18:09:14,2022-03-15,DBRG,Ganzi Marc C,"CEO, Pres",F - Tax,6.58,-107371,1305920,-8%,-706501.0,,,,,DBRG
13,,2022-03-17 18:07:15,2022-03-15,DBRG,Wu Jacky,CFO,A - Grant,0.0,103448,1201928,+9%,0.0,,,,,DBRG
14,,2022-03-17 18:07:15,2022-03-15,DBRG,Wu Jacky,CFO,F - Tax,6.58,-4603,1201928,0%,-30288.0,,,,,DBRG
15,,2022-03-17 18:05:40,2022-03-15,DBRG,Sanders Ronald M.,"EVP - CLO, Secretary",A - Grant,0.0,116414,980753,+13%,0.0,,,,,DBRG
16,,2022-03-17 18:05:40,2022-03-15,DBRG,Sanders Ronald M.,"EVP - CLO, Secretary",F - Tax,6.58,-78600,980753,-7%,-517188.0,,,,,DBRG
17,,2022-03-17 18:03:53,2022-03-15,DBRG,Kim Sonia,Chief Accounting Officer,A - Grant,0.0,21724,236832,+10%,0.0,,,,,DBRG
18,,2022-03-17 18:03:53,2022-03-15,DBRG,Kim Sonia,Chief Accounting Officer,F - Tax,6.58,-9518,236832,-4%,-62628.0,,,,,DBRG
19,,2021-11-18 18:19:53,2021-11-16,DBRG,Kim Sonia,Chief Accounting Officer,S - Sale,8.17,-11000,224626,-5%,-89870.0,,,,,DBRG
20,D,2021-11-09 17:00:19,2021-11-05,DBRG,Steffens John,Dir,A - Grant,0.0,34938,96628,+57%,0.0,,,,,DBRG
21,D,2021-11-09 17:00:18,2021-11-05,DBRG,Fosheim Jon A,Dir,A - Grant,0.0,17426,23426,+290%,0.0,,,,,DBRG
22,,2021-08-17 17:00:51,2021-08-15,DBRG,Wu Jacky,CFO,F - Tax,7.02,-95598,1103083,-8%,-671098.0,,,,,DBRG
23,,2021-08-11 16:30:43,2021-08-09,DBRG,Wu Jacky,CFO,A - Grant,0.0,354108,1198681,+42%,0.0,,,,,DBRG
24,,2021-05-11 18:05:37,2021-05-07,CLNY,Carter J Braxton II,Dir,A - Grant,0.0,25437,60341,+73%,0.0,,,,,DBRG
25,,2021-05-11 18:05:33,2021-05-07,CLNY,Diefenderfer Jeannie,Dir,A - Grant,0.0,25437,106656,+31%,0.0,,,,,DBRG
26,,2021-05-11 18:05:29,2021-05-07,CLNY,McCray Gregory James,Dir,A - Grant,0.0,25437,37367,+213%,0.0,,,,,DBRG
27,,2021-05-11 18:05:25,2021-05-07,CLNY,Reiss Dale Anne,Dir,A - Grant,0.0,25437,133667,+24%,0.0,,,,,DBRG
28,,2021-04-27 16:16:42,2021-04-26,CLNY,Kim Sonia,Chief Accounting Officer,F - Tax,6.91,-17963,235626,-7%,-124124.0,,,,,DBRG
29,,2021-04-16 16:15:22,2021-04-15,CLNY,Barrack Thomas Jr,Dir,F - Tax,6.72,-495605,3936656,-11%,-3330466.0,,,,,DBRG
30,,2021-03-26 16:30:25,2021-03-24,CLNY,Barrack Thomas Jr,Exec COB,A - Grant,0.0,189183,4432261,+4%,0.0,,,,,DBRG
31,,2021-03-26 16:30:25,2021-03-24,CLNY,Barrack Thomas Jr,Exec COB,F - Tax,6.23,-83051,4432261,-2%,-517408.0,,,,,DBRG
32,,2021-03-26 16:30:21,2021-03-24,CLNY,Kim Sonia,Chief Accounting Officer,A - Grant,0.0,2181,253589,+1%,0.0,,,,,DBRG
33,,2021-03-26 16:30:21,2021-03-24,CLNY,Kim Sonia,Chief Accounting Officer,F - Tax,6.23,-675,253589,0%,-4205.0,,,,,DBRG
34,,2021-03-26 16:30:16,2021-03-24,CLNY,Sanders Ronald M.,"EVP - CLO, Secretary",A - Grant,0.0,47454,942939,+5%,0.0,,,,,DBRG
35,,2021-03-26 16:30:16,2021-03-24,CLNY,Sanders Ronald M.,"EVP - CLO, Secretary",F - Tax,6.23,-23238,942939,-2%,-144773.0,,,,,DBRG
36,,2021-03-17 18:45:26,2021-03-15,CLNY,Kim Sonia,Chief Accounting Officer,A - Grant,0.0,34772,252083,+16%,0.0,,,,,DBRG
37,,2021-03-17 18:45:26,2021-03-15,CLNY,Kim Sonia,Chief Accounting Officer,F - Tax,6.97,-5209,252083,-2%,-36307.0,,,,,DBRG
38,,2021-03-17 18:45:22,2021-03-15,CLNY,Wu Jacky,CFO,A - Grant,0.0,215436,844573,+34%,0.0,,,,,DBRG
39,,2021-03-17 18:45:18,2021-03-15,CLNY,Ganzi Marc C,"CEO, Pres",A - Grant,0.0,769704,912181,+540%,0.0,,,,,DBRG
40,,2021-03-17 18:45:18,2021-03-15,CLNY,Ganzi Marc C,"CEO, Pres",F - Tax,6.97,-6412,912181,-1%,-44692.0,,,,,DBRG
41,,2021-03-17 18:45:14,2021-03-15,CLNY,Barrack Thomas Jr,Exec COB,A - Grant,0.0,287356,4326129,+7%,0.0,,,,,DBRG
42,,2021-03-17 18:45:14,2021-03-15,CLNY,Barrack Thomas Jr,Exec COB,F - Tax,6.97,-271068,4326129,-6%,-1889344.0,,,,,DBRG
43,,2021-03-17 18:45:10,2021-03-15,CLNY,Sanders Ronald M.,"EVP - CLO, Secretary",A - Grant,0.0,138588,918723,+18%,0.0,,,,,DBRG
44,,2021-03-17 18:45:10,2021-03-15,CLNY,Sanders Ronald M.,"EVP - CLO, Secretary",F - Tax,6.97,-65686,918723,-7%,-457831.0,,,,,DBRG
