,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-05-16 17:32:20,2022-05-12,DCO,Wampler Christopher D.,"VP, CFO, Controller, Treasurer",S - Sale,45.85,-4000,19112,-17%,-183400.0,,,,,DCO
1,D,2022-05-06 17:55:27,2022-05-06,DCO,Oswald Stephen G,"COB, Pres, CEO",S - Sale+OE,49.92,-5778,275141,-2%,-288438.0,,,,,DCO
2,M,2022-03-24 17:50:39,2022-03-22,DCO,Ducommun Robert C,Dir,S - Sale,52.93,-4250,411580,-1%,-224933.0,,,,,DCO
3,D,2022-03-04 17:19:18,2022-03-03,DCO,Redondo Jerry L,"SVP, Operations",S - Sale+OE,50.33,-6052,46041,-12%,-304597.0,,,,,DCO
4,,2021-11-15 17:03:53,2021-11-12,DCO,Wampler Christopher D.,"VP, CFO, Controller, Treasurer",S - Sale,50.97,-1500,19699,-7%,-76455.0,,,,,DCO
5,,2021-09-10 18:29:52,2021-09-10,DCO,Rogers Rose F,"VP, CHRO",S - Sale,50.72,-2500,34753,-7%,-126800.0,,,,,DCO
6,,2021-06-08 17:09:59,2021-06-08,DCO,Rogers Rose F,"VP, CHRO",S - Sale,56.57,-1231,37722,-3%,-69638.0,,,,,DCO
7,,2021-05-17 17:11:25,2021-05-13,DCO,Wampler Christopher D.,"VP, CFO, Controller, Treasurer",S - Sale,54.77,-2400,21502,-10%,-131448.0,,,,,DCO
8,,2020-12-29 17:22:16,2020-12-28,DCO,Ducommun Robert C,Dir,S - Sale,55.4,-1000,415115,0%,-55400.0,,,,,DCO
9,,2020-12-11 17:07:17,2020-12-09,DCO,Ducommun Robert C,Dir,S - Sale,55.03,-1000,416115,0%,-55030.0,,,,,DCO
10,,2020-11-20 17:23:08,2020-11-20,DCO,Redondo Jerry L,"SVP, Operations",S - Sale,44.41,-1406,34239,-4%,-62440.0,,,,,DCO
11,,2020-11-12 16:51:58,2020-11-09,DCO,Wampler Christopher D.,"VP, Controller, CAO, CFO",S - Sale,39.94,-4000,15658,-20%,-159760.0,,,,,DCO
12,,2020-08-12 17:16:04,2020-08-07,DCO,Rogers Rose F,"VP, CHRO",S - Sale,41.97,-2300,31327,-7%,-96531.0,,,,,DCO
13,,2020-03-23 15:28:20,2020-03-20,DCO,Wampler Christopher D.,"VP, Controller, CAO, CFO",P - Purchase,21.27,1000,15990,+7%,21270.0,,,,,DCO
14,,2020-03-19 20:27:35,2020-03-19,DCO,Paulson Robert D,Dir,P - Purchase,18.62,2500,53867,+5%,46550.0,,,,,DCO
15,,2020-03-19 16:49:04,2020-03-17,DCO,Oswald Stephen G,"COB, Pres, CEO",P - Purchase,21.1,15000,177150,+9%,316500.0,,,,,DCO
16,,2020-03-17 14:22:26,2020-03-16,DCO,Flatt Dean M,Dir,P - Purchase,27.08,1000,27700,+4%,27080.0,,,,,DCO
17,,2020-03-13 12:57:44,2020-03-11,DCO,Oswald Stephen G,"COB, Pres, CEO",P - Purchase,33.93,15000,162150,+10%,508950.0,,,,,DCO
18,,2020-03-02 07:34:21,2020-02-27,DCO,Oswald Stephen G,"COB, Pres, CEO",P - Purchase,44.11,10000,147150,+7%,441100.0,,,,,DCO
19,,2020-02-27 16:47:08,2020-02-26,DCO,Oswald Stephen G,"COB, Pres, CEO",P - Purchase,44.5,10000,137150,+8%,445000.0,,,,,DCO
20,,2019-09-20 18:27:26,2019-09-19,DCO,Ducommun Robert C,Dir,S - Sale,46.62,-600,412065,0%,-27972.0,,,,,DCO
21,,2019-09-18 14:39:34,2019-09-17,DCO,Ducommun Robert C,Dir,S - Sale,46.5,-1000,412665,0%,-46500.0,,,,,DCO
22,,2019-08-19 20:36:13,2019-08-19,DCO,Rogers Rose F,"VP, CHRO",S - Sale,42.75,-2300,24918,-8%,-98325.0,,,,,DCO
23,,2019-06-27 19:34:30,2019-06-27,DCO,Ducommun Robert C,Dir,S - Sale,45.29,-2000,413665,0%,-90580.0,,,,,DCO
24,D,2019-05-31 15:32:07,2019-05-30,DCO,Wampler Christopher D.,"VP, Controller, CAO",S - Sale+OE,45.98,-3000,6679,-31%,-137940.0,,,,,DCO
25,,2019-03-25 14:41:47,2019-03-21,DCO,Ducommun Robert C,Dir,S - Sale,45.6,-685,413265,0%,-31236.0,,,,,DCO
26,,2018-12-12 16:28:54,2018-12-11,DCO,Wampler Christopher D.,"VP, Controller, CAO",S - Sale,38.54,-530,6610,-7%,-20426.0,,,,,DCO
27,,2018-12-06 11:31:37,2018-12-03,DCO,Ducommun Robert C,Dir,S - Sale,40.29,-415,414135,0%,-16720.0,,,,,DCO
28,M,2018-11-14 11:37:45,2018-11-12,DCO,Ducommun Robert C,Dir,S - Sale,43.17,-5000,414550,-1%,-215842.0,,,,,DCO
29,M,2018-09-06 17:41:07,2018-09-05,DCO,Ducommun Robert C,Dir,S - Sale,40.76,-5000,419550,-1%,-203799.0,,,,,DCO
30,,2018-06-12 18:16:02,2018-06-08,DCO,Wampler Christopher D.,"VP, Controller, CAO",S - Sale,34.8,-1550,7140,-18%,-53940.0,,,,,DCO
31,,2018-05-31 14:59:34,2018-05-29,DCO,Rogers Rose F,"VP, CHRO",S - Sale,34.32,-2700,18510,-13%,-92664.0,,,,,DCO
32,,2018-05-30 17:19:14,2018-05-25,DCO,Rogers Rose F,"VP, CHRO",S - Sale,34.16,-2700,21210,-11%,-92232.0,,,,,DCO
33,,2018-05-29 17:02:47,2018-05-24,DCO,Rogers Rose F,"VP, CHRO",S - Sale,33.09,-2700,23910,-10%,-89343.0,,,,,DCO
34,,2018-05-25 13:29:48,2018-05-23,DCO,Rogers Rose F,"VP, CHRO",S - Sale,33.1,-2700,26610,-9%,-89370.0,,,,,DCO
