,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-05-04 16:26:50,2022-05-02,DOCS,Wampler Kira Scherer,Dir,S - Sale+OE,39.88,-2200,0,-100%,-87727.0,,,,,DOCS
1,D,2022-04-05 16:25:27,2022-04-01,DOCS,Wampler Kira Scherer,Dir,S - Sale+OE,53.1,-2200,0,-100%,-116825.0,,,,,DOCS
2,D,2022-03-03 18:54:10,2022-03-01,DOCS,Wampler Kira Scherer,Dir,S - Sale+OE,60.73,-2200,0,-100%,-133614.0,,,,,DOCS
3,M,2022-02-25 16:46:02,2022-02-23,DOCS,Kliman Gilbert H,Dir,S - Sale,56.17,-30000,449960,-6%,-1685130.0,,,,,DOCS
4,D,2022-02-15 17:18:49,2022-02-11,DOCS,Wampler Kira Scherer,Dir,S - Sale+OE,58.78,-2200,0,-100%,-129318.0,,,,,DOCS
5,D,2022-02-15 17:12:58,2022-02-11,DOCS,Benjamin Regina M.,Dir,S - Sale+OE,58.59,-10000,0,-100%,-585892.0,,,,,DOCS
6,,2021-12-08 21:00:09,2021-12-07,DOCS,Kliman Gilbert H,Dir,S - Sale,62.6,-14892,479960,-3%,-932216.0,,,,,DOCS
7,D,2021-12-06 20:05:11,2021-12-03,DOCS,Kliman Gilbert H,"Dir, 10%",S - Sale+OE,65.82,-2000,494852,0%,-131649.0,,,,,DOCS
8,D,2021-11-16 17:11:13,2021-11-12,DOCS,Benjamin Regina M.,Dir,S - Sale+OE,74.89,-105862,0,-100%,-7928066.0,,,,,DOCS
9,,2021-08-17 18:10:54,2021-08-13,DOCS,Bryson Anna,CFO,S - Sale,75.0,-23359,75247,-24%,-1751948.0,,,,,DOCS
10,D,2021-08-17 18:09:33,2021-08-13,DOCS,Kleine Joseph B.,Chief Commercial Officer,S - Sale+OE,75.77,-200000,0,-100%,-15154953.0,,,,,DOCS
11,D,2021-06-28 18:18:33,2021-06-28,DOCS,Interwest Partners X LP,10%,S - Sale+OE,24.57,-4289250,0,-100%,-105386873.0,,,,,DOCS
12,D,2021-06-28 18:17:52,2021-06-28,DOCS,Spain Kevin,Dir,P - Purchase,26.0,775000,775000,New,20150000.0,,,,,DOCS
13,D,2021-06-28 18:17:11,2021-06-28,DOCS,Emergence Capital Partners II LP,10%,P - Purchase,26.0,775000,775000,New,20150000.0,,,,,DOCS
14,D,2021-06-28 18:16:26,2021-06-28,DOCS,Kliman Gilbert H,"Dir, 10%",S - Sale+OE,24.57,-4289250,0,-100%,-105386873.0,,,,,DOCS
