,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-06-23 17:12:11,2022-06-22,DOMO,Wong Catherine,COO,S - Sale,27.13,-3750,299027,-1%,-101750.0,,,,,DOMO
1,,2022-06-23 17:10:30,2022-06-22,DOMO,Mellor John M,CEO,S - Sale,27.3,-6788,413286,-2%,-185321.0,,,,,DOMO
2,,2022-06-06 17:39:18,2022-06-02,DOMO,Clark Carine S.,Dir,A - Grant,0.0,5049,22226,+29%,0.0,,,,,DOMO
3,,2022-06-03 19:43:09,2022-06-02,DOMO,Kearl Jeff,Dir,A - Grant,0.0,5049,31812,+19%,0.0,,,,,DOMO
4,,2022-06-03 19:38:34,2022-06-02,DOMO,Brown Laurence B Jr,Dir,A - Grant,0.0,5049,8314,+155%,0.0,,,,,DOMO
5,,2022-06-03 19:35:39,2022-06-02,DOMO,Evan Dana L,Dir,A - Grant,0.0,5049,19278,+35%,0.0,,,,,DOMO
6,,2022-06-03 19:28:37,2022-06-02,DOMO,Pestana John R,Dir,A - Grant,0.0,2524,34627,+8%,0.0,,,,,DOMO
7,,2022-06-03 19:24:33,2022-06-02,DOMO,Durling Joy Driscoll,Dir,A - Grant,0.0,5049,24658,+26%,0.0,,,,,DOMO
8,M,2022-06-03 19:17:05,2022-06-02,DOMO,Daniel Daniel David III,Dir,A - Grant,0.0,6049,26247,+30%,0.0,,,,,DOMO
9,,2022-04-26 16:12:44,2022-04-22,DOMO,Mellor John M,CEO,A - Grant,0.0,238890,419487,+132%,0.0,,,,,DOMO
10,,2022-04-26 16:10:33,2022-04-22,DOMO,Wong Catherine,COO,A - Grant,0.0,142139,302777,+88%,0.0,,,,,DOMO
11,,2022-04-14 18:04:39,2022-04-13,DOMO,Durling Joy Driscoll,Dir,S - Sale,51.68,-1940,19609,-9%,-100252.0,,,,,DOMO
12,A,2022-04-12 16:41:42,2022-03-22,DOMO,James Joshua G,10%,S - Sale,47.01,-220,341030,0%,-10342.0,,,,,DOMO
13,D,2022-04-06 18:32:15,2022-04-04,DOMO,Wong Catherine,COO,S - Sale+OE,55.24,-36000,160638,-18%,-1988705.0,,,,,DOMO
14,D,2022-04-06 18:32:15,2022-04-04,DOMO,Wong Catherine,COO,M - OptEx,19.14,36000,160638,+29%,688866.0,,,,,DOMO
15,,2022-04-04 18:32:48,2022-04-01,DOMO,Daniel Daniel David III,Dir,A - Grant,0.0,400,20198,+2%,0.0,,,,,DOMO
16,,2022-03-23 20:12:33,2022-03-22,DOMO,James Joshua G,10%,S - Sale,49.61,-26360,353193,-7%,-1307626.0,,,,,DOMO
17,M,2022-03-23 20:08:46,2022-03-17,DOMO,Wong Catherine,COO,S - Sale,48.85,-10550,160276,-6%,-515403.0,,,,,DOMO
18,,2022-03-23 20:05:37,2022-03-23,DOMO,Mellor John M,CEO,S - Sale,49.9,-11203,180597,-6%,-559055.0,,,,,DOMO
19,,2022-03-22 19:29:58,2022-03-18,DOMO,Felt Bruce C. Jr.,CFO,S - Sale,48.52,-20000,260145,-7%,-970484.0,,,,,DOMO
20,,2022-03-17 20:56:40,2022-03-15,DOMO,Felt Bruce C. Jr.,CFO,A - Grant,0.0,87822,280145,+46%,0.0,,,,,DOMO
21,,2022-03-17 20:12:14,2022-03-15,DOMO,Wong Catherine,COO,A - Grant,0.0,8521,170826,+5%,0.0,,,,,DOMO
22,,2022-03-17 20:11:18,2022-03-15,DOMO,Mellor John M,CEO,A - Grant,0.0,9700,191800,+5%,0.0,,,,,DOMO
