,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-30 18:20:43,2022-03-29,EPAC,Dillon Ricky T,EVP-CFO,S - Sale,22.41,-8955,85261,-10%,-200663.0,,,,,EPAC
1,,2021-10-26 18:47:36,2021-10-26,EPAC,Ferland E James Jr,Dir,P - Purchase,20.26,2000,53160,+4%,40520.0,,,,,EPAC
2,,2021-10-26 18:44:30,2021-10-26,EPAC,Holder Richard D,Dir,P - Purchase,20.3,2000,23618,+9%,40605.0,,,,,EPAC
3,,2020-11-12 18:06:13,2020-11-09,EPAC,Dillon Ricky T,EVP - CFO,S - Sale,20.13,-2005,48933,-4%,-40352.0,,,,,EPAC
4,D,2020-10-21 15:31:13,2020-10-19,EPAC,Dillon Ricky T,EVP - CFO,P - Purchase,19.77,36,48934,0%,717.0,,,,,EPAC
5,D,2020-10-16 20:25:03,2019-10-14,EPAC,Dillon Ricky T,EVP - CFO,P - Purchase,21.47,37,43213,0%,801.0,,,,,EPAC
6,,2020-08-04 19:29:00,2020-07-31,EPAC,Johnson Bryan,Corporate Controller,S - Sale,19.9,-341,25138,-1%,-6786.0,,,,,EPAC
7,,2020-07-01 13:33:14,2020-06-29,EPAC,Ferland E James Jr,Dir,P - Purchase,18.1,5000,42199,+13%,90486.0,,,,,EPAC
8,,2020-02-05 11:59:11,2020-02-04,EPAC,Dillon Ricky T,EVP - CFO,S - Sale,23.85,-2128,49702,-4%,-50753.0,,,,,EPAC
9,,2020-01-21 11:08:42,2020-01-16,EPAC,Baker Randal W,"Pres, CEO",S - Sale,25.02,-15000,213440,-7%,-375315.0,,,,,EPAC
10,A,2019-12-05 17:04:00,2019-11-05,EPAC,Dillon Ricky T,EVP - CFO,S - Sale,25.89,-2432,41841,-5%,-62963.0,,,,,EPAC
11,,2019-11-07 18:07:11,2019-11-05,EPAC,Dillon Ricky T,EVP - CFO,S - Sale,25.89,-2432,42941,-5%,-62963.0,,,,,EPAC
12,AD,2019-09-06 19:40:53,2019-08-14,ATU,Van Deursen Holly,Dir,S - Sale+OE,21.2,-1647,39518,-4%,-34916.0,,,,,EPAC
13,D,2019-08-15 20:51:55,2019-08-15,ATU,Van Deursen Holly,Dir,S - Sale+OE,21.23,-9073,39518,-19%,-192598.0,,,,,EPAC
14,D,2019-08-15 19:55:53,2019-08-14,ATU,Van Deursen Holly,Dir,S - Sale+OE,21.2,-1647,39518,-4%,-34916.0,,,,,EPAC
15,,2019-02-01 19:30:04,2019-01-30,ATU,Roundhouse Roger,EVP Engd Solutions Segment,S - Sale,22.59,-10266,71776,-13%,-231901.0,,,,,EPAC
