,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-07 14:56:46,2022-03-04,ES,Cleveland Cotton M,Trustee,S - Sale,84.0,-1859,67084,-3%,-156156.0,,,,,ES
1,D,2022-03-04 14:49:27,2022-03-03,ES,Nolan Joseph R Jr,"Pres, CEO",G - Gift,0.0,-1200,64863,-2%,-0.0,,,,,ES
2,D,2022-02-28 16:49:15,2022-02-02,ES,Nolan Joseph R Jr,"Pres, CEO",A - Grant,0.0,12917,75386,+21%,0.0,,,,,ES
3,D,2022-02-28 16:49:15,2022-02-24,ES,Nolan Joseph R Jr,"Pres, CEO",F - Tax,79.7,-5742,75386,-7%,-457637.0,,,,,ES
4,D,2022-02-28 16:46:18,2022-02-02,ES,Judge James J,Exec COB,A - Grant,0.0,78372,330373,+31%,0.0,,,,,ES
5,D,2022-02-28 16:46:18,2022-02-24,ES,Judge James J,Exec COB,F - Tax,79.7,-30840,330373,-9%,-2457948.0,,,,,ES
6,,2022-02-28 16:44:30,2022-02-02,ES,Hunt James W III,"EVP-Corp Rel, Sustainability",A - Grant,0.0,3273,23131,+16%,0.0,,,,,ES
7,,2022-02-28 16:44:30,2022-02-24,ES,Hunt James W III,"EVP-Corp Rel, Sustainability",F - Tax,79.7,-965,23131,-4%,-76911.0,,,,,ES
8,D,2022-02-28 16:42:48,2022-02-02,ES,Conner Penelope M,"EVP-Cust Exp, Energy Strategy",A - Grant,0.0,3645,12925,+39%,0.0,,,,,ES
9,D,2022-02-28 16:42:48,2022-02-24,ES,Conner Penelope M,"EVP-Cust Exp, Energy Strategy",F - Tax,79.7,-1074,12925,-8%,-85598.0,,,,,ES
10,D,2022-02-28 16:41:44,2022-02-02,ES,Carmody Christine M,"EVP - HR, IT",A - Grant,0.0,11399,60569,+23%,0.0,,,,,ES
11,D,2022-02-28 16:41:44,2022-02-24,ES,Carmody Christine M,"EVP - HR, IT",F - Tax,79.7,-5068,60569,-8%,-403920.0,,,,,ES
12,D,2022-02-28 16:37:56,2022-02-02,ES,Butler Gregory B,"EVP, GC",A - Grant,0.0,14112,92519,+18%,0.0,,,,,ES
