,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-05-10 20:55:03,2022-05-10,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,94.82,-32550,3935581,-1%,-3086494.0,,,,,EW
1,D,2022-05-10 20:54:47,2022-05-10,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,96.13,-7242,206565,-3%,-696181.0,,,,,EW
2,D,2022-05-10 20:54:42,2022-05-09,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,98.71,-6725,219891,-3%,-663825.0,,,,,EW
3,D,2022-05-10 20:54:38,2022-05-09,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,98.71,-3675,100300,-4%,-362759.0,,,,,EW
4,D,2022-05-10 20:54:33,2022-05-09,EW,Lemercier Jean-Luc M,"CVP, EMEA, Canada, Latin Amer",S - Sale+OE,98.24,-11560,162899,-7%,-1135709.0,,,,,EW
5,D,2022-05-05 17:52:47,2022-05-04,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,104.86,-23400,30851,-43%,-2453828.0,,,,,EW
6,D,2022-04-29 19:54:14,2022-04-29,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,107.8,-32550,3845000,-1%,-3508849.0,,,,,EW
7,D,2022-04-28 21:02:09,2022-04-28,EW,Marsh Martha H.,Dir,S - Sale+OE,108.09,-28722,26777,-52%,-3104564.0,,,,,EW
8,D,2022-04-11 19:03:27,2022-04-11,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,122.04,-20000,27569,-42%,-2440814.0,,,,,EW
9,D,2022-04-11 19:03:18,2022-04-08,EW,Lemercier Jean-Luc M,"CVP, EMEA, Canada, Latin Amer",S - Sale+OE,123.3,-11660,152326,-7%,-1437622.0,,,,,EW
10,D,2022-04-08 17:40:45,2022-04-08,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,123.34,-11050,212228,-5%,-1362906.0,,,,,EW
11,D,2022-04-08 17:40:33,2022-04-08,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,123.07,-3675,98224,-4%,-452282.0,,,,,EW
12,D,2022-04-05 21:31:02,2022-04-05,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,121.03,-7242,198137,-4%,-876526.0,,,,,EW
13,D,2022-03-22 20:09:41,2022-03-22,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,112.36,-32550,3832502,-1%,-3657321.0,,,,,EW
14,D,2022-03-14 19:01:20,2022-03-14,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,104.65,-20000,27415,-42%,-2093001.0,,,,,EW
15,D,2022-03-11 19:02:06,2022-03-11,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,106.01,-11050,211955,-5%,-1171355.0,,,,,EW
16,D,2022-03-11 19:01:58,2022-03-11,EW,Lemercier Jean-Luc M,"CVP, EMEA, Canada, Latin Amer",S - Sale+OE,106.01,-11660,152103,-7%,-1236072.0,,,,,EW
17,D,2022-03-08 20:27:51,2022-03-08,EW,Wang Huimin,"CVP, Japan, Intercontinental",S - Sale+OE,107.6,-3675,98027,-4%,-395430.0,,,,,EW
18,D,2022-03-08 18:44:40,2022-03-08,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,106.63,-7242,197928,-4%,-772182.0,,,,,EW
19,D,2022-02-18 19:41:45,2022-02-18,EW,Szyman Catherine M.,"CVP, Critical Care",S - Sale+OE,106.31,-20000,27415,-42%,-2126253.0,,,,,EW
20,D,2022-02-15 20:50:39,2022-02-15,EW,Mussallem Michael A,"COB, CEO",S - Sale+OE,110.09,-32550,3820007,-1%,-3583289.0,,,,,EW
21,D,2022-02-11 20:53:50,2022-02-11,EW,Bobo Donald E Jr,"CVP,Strategy, Corp Development",S - Sale+OE,111.49,-11050,211923,-5%,-1231924.0,,,,,EW
22,D,2022-02-08 20:19:26,2022-02-08,EW,Gallahue Kieran,Dir,S - Sale+OE,110.79,-32256,60184,-35%,-3573510.0,,,,,EW
23,D,2022-02-08 20:16:17,2022-02-08,EW,Wood Larry L,"CVP, TAVR",S - Sale+OE,109.55,-4386,197928,-2%,-480481.0,,,,,EW
