,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-04 17:21:26,2022-03-03,FN,Kelly Thomas F,Dir,G - Gift,0.0,-300,38103,-1%,-0.0,,,,,FN
1,,2022-02-22 16:32:27,2022-02-17,FN,Sverha Csaba,CFO,F - Tax,101.86,-378,19338,-2%,-38503.0,,,,,FN
2,,2022-02-09 16:10:09,2022-01-07,FN,Archer Edward T.,"EVP, Sales, Marketing",F - Tax,120.62,-2544,23606,-10%,-306857.0,,,,,FN
3,,2022-01-19 17:31:45,2022-01-17,FN,Knight Darlene S.,Dir,A - Grant,0.0,1507,1507,New,0.0,,,,,FN
4,,2021-12-10 20:41:45,2021-12-09,FN,Olson Rollance E.,Dir,A - Grant,0.0,1746,38020,+5%,0.0,,,,,FN
5,,2021-12-10 20:39:37,2021-12-09,FN,Mitchell David T.,Dir,A - Grant,0.0,1746,79699,+2%,0.0,,,,,FN
6,,2021-12-10 20:38:49,2021-12-09,FN,Levinson Frank H,Dir,A - Grant,0.0,1746,28748,+6%,0.0,,,,,FN
7,,2021-12-10 20:37:59,2021-12-09,FN,Kelly Thomas F,Dir,A - Grant,0.0,1746,38403,+5%,0.0,,,,,FN
8,,2021-12-10 20:37:07,2021-12-09,FN,Dougherty Greg,Dir,A - Grant,0.0,1746,10487,+20%,0.0,,,,,FN
9,,2021-12-10 20:36:18,2021-12-09,FN,Bahrami Homa,Dir,A - Grant,0.0,1746,32460,+6%,0.0,,,,,FN
10,,2021-12-06 19:10:33,2021-12-03,FN,Kelly Thomas F,Dir,S - Sale,115.66,-900,36657,-2%,-104092.0,,,,,FN
11,,2021-11-16 16:52:31,2021-11-15,FN,Levinson Frank H,Dir,G - Gift,0.0,-10000,27002,-27%,-0.0,,,,,FN
12,M,2021-11-08 16:13:54,2021-11-04,FN,Gill Harpal,"Pres, COO",S - Sale,119.09,-17087,39656,-30%,-2034937.0,,,,,FN
13,,2021-10-04 20:58:05,2021-10-01,FN,Grady Seamus,CEO,S - Sale,104.21,-5759,62457,-8%,-600127.0,,,,,FN
14,,2021-09-23 16:04:43,2021-09-22,FN,Grady Seamus,CEO,F - Tax,103.82,-6405,68216,-9%,-664967.0,,,,,FN
15,,2021-09-07 16:18:22,2021-09-03,FN,Sverha Csaba,CFO,S - Sale,105.41,-5162,19716,-21%,-544101.0,,,,,FN
16,,2021-09-07 16:15:52,2021-09-03,FN,Gill Harpal,"Pres, COO",S - Sale,105.3,-23697,56743,-29%,-2495318.0,,,,,FN
17,,2021-08-31 20:36:42,2021-08-31,FN,Grady Seamus,CEO,S - Sale,102.66,-18863,74621,-20%,-1936446.0,,,,,FN
18,,2021-08-31 16:03:19,2021-08-31,FN,Archer Edward T.,"EVP, Sales, Marketing",S - Sale,103.08,-3522,26150,-12%,-363041.0,,,,,FN
19,,2021-08-25 21:09:36,2021-08-23,FN,Grady Seamus,CEO,F - Tax,99.01,-5482,93484,-6%,-542773.0,,,,,FN
20,,2021-08-25 21:08:19,2021-08-23,FN,Gill Harpal,"Pres, COO",F - Tax,99.01,-3964,80440,-5%,-392476.0,,,,,FN
21,,2021-08-25 21:07:35,2021-08-19,FN,Archer Edward T.,"EVP, Sales, Marketing",S - Sale,99.85,-11450,29672,-28%,-1143229.0,,,,,FN
22,M,2021-08-24 16:46:07,2021-08-20,FN,Sverha Csaba,CFO,F - Tax,104.05,-1908,24878,-7%,-198527.0,,,,,FN
23,M,2021-08-24 16:45:18,2021-08-20,FN,Grady Seamus,CEO,F - Tax,104.05,-15495,98966,-14%,-1612255.0,,,,,FN
24,,2021-08-24 16:45:18,2021-08-23,FN,Grady Seamus,CEO,S - Sale,100.6,-29955,98966,-23%,-3013525.0,,,,,FN
25,M,2021-08-24 16:44:07,2021-08-20,FN,Gill Harpal,"Pres, COO",F - Tax,104.05,-8977,84404,-10%,-934057.0,,,,,FN
26,M,2021-08-24 16:43:18,2021-08-20,FN,Archer Edward T.,"EVP, Sales, Marketing",F - Tax,104.05,-3466,41122,-8%,-360637.0,,,,,FN
