,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2020-07-29 17:35:34,2020-07-27,GCAP,Quick Peter,Dir,M - OptEx,3.83,52024,233710,+29%,199252.0,,,,,GCAP
1,D,2020-07-21 16:17:44,2020-07-17,GCAP,Schenk Joseph A,Dir,M - OptEx,3.83,40000,237219,+20%,153200.0,,,,,GCAP
2,,2020-05-27 17:08:21,2020-05-24,GCAP,Hine Alastair,COO,A - Grant,0.0,10000,44454,+29%,0.0,,,,,GCAP
3,,2020-05-27 17:04:11,2020-05-24,GCAP,Rose Nigel,CFO,A - Grant,0.0,12000,96995,+14%,0.0,,,,,GCAP
4,,2020-05-27 17:04:11,2020-05-26,GCAP,Rose Nigel,CFO,D - Sale to issuer,6.24,-6801,96995,-7%,-42426.0,,,,,GCAP
5,,2020-05-27 16:59:15,2020-05-24,GCAP,Rotsztain Diego,"GC, Secretary",A - Grant,0.0,16800,137278,+14%,0.0,,,,,GCAP
6,,2020-05-27 16:59:15,2020-05-26,GCAP,Rotsztain Diego,"GC, Secretary",D - Sale to issuer,6.24,-5540,137278,-4%,-34559.0,,,,,GCAP
7,,2020-05-27 16:55:56,2020-05-24,GCAP,Stevens Glenn Henry,"Pres, CEO, Dir",A - Grant,0.0,60000,1837816,+3%,0.0,,,,,GCAP
8,,2020-05-08 17:10:48,2020-05-06,GCAP,Rose Nigel,CFO,S - Sale,6.46,-3928,91796,-4%,-25369.0,,,,,GCAP
9,,2020-05-08 17:02:53,2020-05-06,GCAP,Rotsztain Diego,"GC, Secretary",S - Sale,6.46,-3255,126018,-3%,-21019.0,,,,,GCAP
10,,2020-03-20 11:41:39,2020-03-18,GCAP,Rotsztain Diego,"GC, Secretary",S - Sale,4.92,-8368,129273,-6%,-41159.0,,,,,GCAP
11,,2020-03-20 11:36:24,2020-03-18,GCAP,Hine Alastair,COO,S - Sale,5.15,-4106,34454,-11%,-21159.0,,,,,GCAP
12,,2020-03-20 11:31:50,2020-03-18,GCAP,Rose Nigel,CFO,S - Sale,4.73,-5373,95724,-5%,-25426.0,,,,,GCAP
13,,2020-03-18 13:27:41,2020-03-16,GCAP,Rose Nigel,CFO,S - Sale,5.31,-4152,101097,-4%,-22033.0,,,,,GCAP
14,D,2019-05-31 17:14:52,2019-05-29,GCAP,Stevens Glenn Henry,"Pres, CEO, Dir",M - OptEx,3.83,58743,1777816,+3%,224986.0,,,,,GCAP
15,,2019-05-31 17:14:23,2019-05-29,GCAP,Rotsztain Diego,"GC, Secretary",S - Sale,3.96,-4790,137641,-3%,-18979.0,,,,,GCAP
16,,2019-05-31 17:13:54,2019-05-29,GCAP,Roady Samantha,Chief Commercial Officer,S - Sale,3.97,-5959,230275,-3%,-23639.0,,,,,GCAP
17,,2019-05-31 17:13:21,2019-05-29,GCAP,Rose Nigel,CFO,S - Sale,3.96,-5665,105249,-5%,-22447.0,,,,,GCAP
18,,2019-05-09 16:36:09,2019-05-07,GCAP,Rotsztain Diego,"GC, Secretary",S - Sale,4.95,-3320,142431,-2%,-16435.0,,,,,GCAP
19,,2019-05-09 16:35:31,2019-05-07,GCAP,Roady Samantha,Chief Commercial Officer,S - Sale,4.95,-5023,236234,-2%,-24875.0,,,,,GCAP
20,,2019-05-09 16:34:57,2019-05-07,GCAP,Rose Nigel,CFO,S - Sale,4.95,-4009,110914,-3%,-19832.0,,,,,GCAP
21,,2019-03-20 18:05:15,2019-03-18,GCAP,Rotsztain Diego,"GC, Secretary",S - Sale,6.57,-3663,145751,-2%,-24066.0,,,,,GCAP
