,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-08-17 17:13:19,2022-08-15,GCMG,Sullivan Kathleen Patricia,Principal Accounting Officer,F - Tax,8.61,-15137,36668,-29%,-130330.0,,,,,GCMG
1,,2022-08-17 17:11:58,2022-08-15,GCMG,Levin Jonathan Reisin,Pres,F - Tax,8.61,-73465,249035,-23%,-632534.0,,,,,GCMG
2,,2022-08-17 17:10:40,2022-08-15,GCMG,Pollock Frederick,Chief Investment Officer,F - Tax,8.61,-101982,296435,-26%,-878065.0,,,,,GCMG
3,,2022-08-17 17:09:01,2022-08-15,GCMG,Hurse Sandra,CHRO,F - Tax,8.61,-16566,59267,-22%,-142633.0,,,,,GCMG
4,,2022-08-17 17:07:44,2022-08-15,GCMG,Bentley Pamela L,CFO,F - Tax,8.61,-43221,100193,-30%,-372133.0,,,,,GCMG
5,D,2022-03-02 20:40:57,2022-03-01,GCMG,Sullivan Kathleen Patricia,Principal Accounting Officer,M - OptEx,0.0,34167,51805,+194%,0.0,,,,,GCMG
6,D,2022-03-02 20:39:14,2022-03-01,GCMG,Hurse Sandra,CHRO,M - OptEx,0.0,42500,75833,+128%,0.0,,,,,GCMG
7,D,2022-03-02 20:37:59,2022-03-01,GCMG,Pollock Frederick,Chief Investment Officer,M - OptEx,0.0,259167,398417,+186%,0.0,,,,,GCMG
8,D,2022-03-02 20:36:21,2022-03-01,GCMG,Levin Jonathan Reisin,Pres,M - OptEx,0.0,165833,322500,+106%,0.0,,,,,GCMG
9,D,2022-03-02 20:34:49,2022-03-01,GCMG,Bentley Pamela L,CFO,M - OptEx,0.0,95833,143414,+201%,0.0,,,,,GCMG
10,,2022-01-03 16:29:02,2021-12-31,GCMG,Masters Blythe,Dir,A - Grant,10.5,5953,17378,+52%,62507.0,,,,,GCMG
11,,2022-01-03 16:28:01,2021-12-31,GCMG,Blanton Angela,Dir,A - Grant,10.5,4762,13902,+52%,50001.0,,,,,GCMG
12,,2022-01-03 16:26:58,2021-12-31,GCMG,Scott Samuel C III,Dir,A - Grant,10.5,4762,13902,+52%,50001.0,,,,,GCMG
13,,2021-10-01 16:25:06,2021-09-30,GCMG,Blanton Angela,Dir,A - Grant,11.52,4341,9140,+90%,50008.0,,,,,GCMG
14,,2021-10-01 16:23:29,2021-09-30,GCMG,Masters Blythe,Dir,A - Grant,11.52,5426,11425,+90%,62508.0,,,,,GCMG
15,,2021-10-01 16:22:16,2021-09-30,GCMG,Scott Samuel C III,Dir,A - Grant,11.52,4341,9140,+90%,50008.0,,,,,GCMG
16,,2021-08-17 16:19:57,2021-08-16,GCMG,Sullivan Kathleen Patricia,Principal Accounting Officer,F - Tax,11.27,-14028,17639,-44%,-158096.0,,,,,GCMG
17,,2021-08-17 16:18:36,2021-08-16,GCMG,Idehen Francis Osarume,COO,F - Tax,11.27,-14767,18566,-44%,-166424.0,,,,,GCMG
18,,2021-08-17 16:17:29,2021-08-16,GCMG,Pollock Frederick,Chief Investment Officer,F - Tax,11.27,-110750,139250,-44%,-1248153.0,,,,,GCMG
19,,2021-08-17 16:15:59,2021-08-16,GCMG,Bentley Pamela L,CFO,F - Tax,11.27,-39086,47581,-45%,-440499.0,,,,,GCMG
20,M,2021-07-13 15:41:17,2021-05-18,GCMG,"Adage Capital Partners Gp, L.L.C.",10%,S - Sale,12.69,-121869,9704891,-1%,-1546711.0,,,,,GCMG
