,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-05-18 17:42:14,2022-05-16,GDOT,Jacobs William I,Dir,S - Sale,27.11,-500,63115,-1%,-13555.0,,,,,GDOT
1,,2022-04-20 17:23:42,2022-04-18,GDOT,Jacobs William I,Dir,S - Sale,27.19,-500,63615,-1%,-13595.0,,,,,GDOT
2,,2022-03-17 18:40:04,2022-03-15,GDOT,Jacobs William I,Dir,S - Sale,25.49,-500,64115,-1%,-12745.0,,,,,GDOT
3,D,2022-03-04 19:33:59,2022-03-02,GDOT,Bridgforth-Hodges Glinda,Dir,S - Sale+OE,27.25,-3910,21268,-16%,-106549.0,,,,,GDOT
4,,2022-02-17 18:34:43,2022-02-15,GDOT,Jacobs William I,Dir,S - Sale,32.67,-500,64615,-1%,-16335.0,,,,,GDOT
5,,2022-01-20 17:42:10,2022-01-18,GDOT,Jacobs William I,Dir,S - Sale,34.06,-500,65115,-1%,-17030.0,,,,,GDOT
6,,2021-12-17 17:40:04,2021-12-15,GDOT,Jacobs William I,Dir,S - Sale,35.24,-500,65615,-1%,-17620.0,,,,,GDOT
7,,2021-11-26 18:37:21,2021-11-23,GDOT,Osher Jeffrey,Dir,S - Sale,38.22,-670000,357291,-65%,-25607400.0,,,,,GDOT
8,,2021-11-17 17:03:53,2021-11-15,GDOT,Jacobs William I,Dir,S - Sale,43.73,-500,66115,-1%,-21865.0,,,,,GDOT
9,,2021-11-10 17:46:10,2021-11-09,GDOT,Date Rajeev V,Dir,S - Sale,44.53,-6276,17214,-27%,-279480.0,,,,,GDOT
10,,2021-10-19 18:21:18,2021-10-15,GDOT,Jacobs William I,Dir,S - Sale,46.07,-500,66615,-1%,-23035.0,,,,,GDOT
11,,2021-09-17 18:04:14,2021-09-15,GDOT,Jacobs William I,Dir,S - Sale,48.6,-500,67115,-1%,-24300.0,,,,,GDOT
12,,2021-09-09 17:43:00,2021-09-07,GDOT,Unruh Jess,"CAO, Operational CFO",S - Sale,54.05,-3318,72724,-4%,-179354.0,,,,,GDOT
13,,2021-08-18 17:05:15,2021-08-16,GDOT,Jacobs William I,Dir,S - Sale,45.77,-500,67615,-1%,-22885.0,,,,,GDOT
14,,2021-08-05 20:03:19,2021-08-03,GDOT,Unruh Jess,"CAO, Operational CFO",S - Sale,44.02,-3317,76042,-4%,-145998.0,,,,,GDOT
15,,2021-07-16 17:28:41,2021-07-15,GDOT,Jacobs William I,Dir,S - Sale,45.45,-500,68115,-1%,-22725.0,,,,,GDOT
16,,2021-07-08 18:46:55,2021-07-06,GDOT,Unruh Jess,"CAO, Operational CFO",S - Sale,46.24,-3317,79359,-4%,-153366.0,,,,,GDOT
17,,2021-06-17 17:38:54,2021-06-15,GDOT,Jacobs William I,Dir,S - Sale,47.07,-500,68615,-1%,-23535.0,,,,,GDOT
18,,2021-06-03 17:03:34,2021-06-01,GDOT,Unruh Jess,"CAO, Operational CFO",S - Sale,40.2,-3317,82676,-4%,-133350.0,,,,,GDOT
19,,2021-05-19 17:54:35,2021-05-17,GDOT,Jacobs William I,Dir,S - Sale,40.11,-500,62901,-1%,-20055.0,,,,,GDOT
20,,2021-05-06 18:21:51,2021-05-04,GDOT,Unruh Jess,"CAO, Operational CFO",S - Sale,44.86,-3317,85993,-4%,-148815.0,,,,,GDOT
21,,2021-04-19 17:04:20,2021-04-15,GDOT,Jacobs William I,Dir,S - Sale,45.82,-500,63401,-1%,-22910.0,,,,,GDOT
22,,2021-04-07 18:10:21,2021-04-05,GDOT,Unruh Jess,"CAO, Operational CFO",S - Sale,47.5,-9911,89310,-10%,-470790.0,,,,,GDOT
23,,2021-03-17 17:58:45,2021-03-15,GDOT,Jacobs William I,Dir,S - Sale,51.38,-500,63901,-1%,-25690.0,,,,,GDOT
24,,2021-03-15 17:22:50,2021-03-12,GDOT,Lockwood Kristina S,"GC, Secretary",S - Sale,51.36,-301,20703,-1%,-15458.0,,,,,GDOT
25,,2021-03-09 18:12:02,2021-03-05,GDOT,Osher Jeffrey,Dir,S - Sale,45.6,-72980,1024184,-7%,-3328182.0,,,,,GDOT
26,M,2021-03-05 19:20:53,2021-03-03,GDOT,Osher Jeffrey,Dir,S - Sale,45.7,-22526,697164,-3%,-1029399.0,,,,,GDOT
27,M,2021-03-02 20:02:20,2021-02-26,GDOT,Osher Jeffrey,Dir,S - Sale,48.79,-182803,1119690,-14%,-8918910.0,,,,,GDOT
28,,2021-03-01 21:36:07,2021-02-25,GDOT,Osher Jeffrey,Dir,S - Sale,50.58,-56023,1302493,-4%,-2833663.0,,,,,GDOT
29,,2021-02-23 19:07:39,2021-02-22,GDOT,Lockwood Kristina S,"GC, Secretary",S - Sale,52.9,-1251,21164,-6%,-66181.0,,,,,GDOT
30,,2021-02-18 20:07:06,2021-02-16,GDOT,Jacobs William I,Dir,S - Sale,54.51,-500,64401,-1%,-27255.0,,,,,GDOT
31,,2021-02-11 21:36:40,2021-02-10,GDOT,Lockwood Kristina S,"GC, Secretary",S - Sale,53.75,-520,21164,-2%,-27950.0,,,,,GDOT
32,,2021-01-20 18:55:01,2021-01-15,GDOT,Jacobs William I,Dir,S - Sale,54.22,-500,64901,-1%,-27110.0,,,,,GDOT
