,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2020-08-24 12:28:13,2020-08-21,GRA,Tomkins Mark E,Dir,P - Purchase,41.73,2000,23140,+9%,83460.0,,,,,GRA
1,,2020-05-13 16:52:32,2020-05-11,GRA,Brown Elizabeth C,"SVP, CHRO",P - Purchase,51.21,2000,20378,+11%,102420.0,,,,,GRA
2,,2020-05-06 16:42:41,2020-05-04,GRA,La Force Andrew Hudson III,"Pres, CEO",P - Purchase,46.37,5000,112814,+5%,231870.0,,,,,GRA
3,M,2019-08-27 18:00:26,2019-08-23,GRA,40 North Latitude Fund LP,10%,P - Purchase,64.87,28487,9865008,0%,1847854.0,,,,,GRA
4,M,2019-08-22 18:01:48,2019-08-20,GRA,40 North Latitude Fund LP,10%,P - Purchase,64.65,106608,9836521,+1%,6892370.0,,,,,GRA
5,M,2019-08-19 18:00:19,2019-08-15,GRA,40 North Latitude Fund LP,10%,P - Purchase,64.61,96576,9729913,+1%,6240151.0,,,,,GRA
6,M,2019-08-14 18:25:29,2019-08-12,GRA,40 North Latitude Fund LP,10%,P - Purchase,63.88,288827,9633337,+3%,18450102.0,,,,,GRA
7,,2019-08-05 07:38:38,2019-08-02,GRA,Dockman William C.,"SVP, CFO",P - Purchase,68.21,1000,8675,+13%,68210.0,,,,,GRA
8,,2019-08-01 16:31:05,2019-08-01,GRA,La Force Andrew Hudson III,"Pres, CEO",P - Purchase,69.04,4000,96391,+4%,276160.0,,,,,GRA
9,D,2019-05-07 16:23:25,2019-05-06,GRA,Dockman William C.,"VP, Controller",S - Sale+OE,76.49,-4717,6296,-43%,-360803.0,,,,,GRA
10,D,2019-05-06 16:23:43,2019-05-03,GRA,Shelnitz Mark A,"SVP, GC, Secretary",S - Sale+OE,76.36,-11792,76605,-13%,-900449.0,,,,,GRA
11,M,2018-12-27 17:45:59,2018-12-24,GRA,40 North Latitude Fund LP,10%,P - Purchase,60.7,233720,9344510,+3%,14186085.0,,,,,GRA
12,M,2018-12-21 18:00:55,2018-12-19,GRA,40 North Latitude Fund LP,10%,P - Purchase,61.06,893304,9110790,+11%,54545146.0,,,,,GRA
13,M,2018-12-18 18:19:19,2018-12-14,GRA,40 North Latitude Fund LP,10%,P - Purchase,60.52,779664,8217486,+10%,47186439.0,,,,,GRA
14,M,2018-12-13 18:01:20,2018-12-11,GRA,40 North Latitude Fund LP,10%,P - Purchase,61.33,237822,7437822,+3%,14585804.0,,,,,GRA
15,M,2018-12-10 18:00:26,2018-12-06,GRA,40 North Latitude Fund LP,10%,P - Purchase,61.05,501025,7200000,+7%,30587377.0,,,,,GRA
