,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-05-20 16:31:01,2022-05-19,INFA,Ghai Jitesh,"EVP, Chief Product Officer",S - Sale,18.0,-3035,112277,-3%,-54630.0,,,,,INFA
1,,2022-05-19 16:39:59,2022-05-17,INFA,Walia Amit,CEO,S - Sale,17.41,-11757,504258,-2%,-204689.0,,,,,INFA
2,,2022-05-19 16:39:14,2022-05-17,INFA,Sekharan Ansa,"EVP, Chief Customer Officer",S - Sale,17.42,-1530,184358,-1%,-26653.0,,,,,INFA
3,,2022-05-19 16:38:21,2022-05-17,INFA,Schweitzer John Arthur,"EVP, Chief Revenue Officer",S - Sale,17.42,-1506,99695,-1%,-26235.0,,,,,INFA
4,,2022-05-19 16:37:29,2022-05-17,INFA,Pellowski Mark,Chief Accounting Officer,S - Sale,17.41,-385,37920,-1%,-6703.0,,,,,INFA
5,,2022-05-19 16:36:46,2022-05-17,INFA,Ghai Jitesh,"EVP, Chief Product Officer",S - Sale,17.42,-1696,115312,-1%,-29544.0,,,,,INFA
6,,2022-05-19 16:32:56,2022-05-17,INFA,Brown Eric F,"EVP, CFO",S - Sale,17.42,-1696,130680,-1%,-29544.0,,,,,INFA
7,,2022-05-17 16:41:08,2022-05-13,INFA,Ghai Jitesh,"EVP, Chief Product Officer",S - Sale,18.0,-2935,117008,-2%,-52830.0,,,,,INFA
8,,2022-05-06 16:32:43,2022-05-04,INFA,Sekharan Ansa,"EVP, Chief Customer Officer",S - Sale,20.25,-23824,185888,-11%,-482436.0,,,,,INFA
9,,2022-03-07 16:40:01,2022-03-03,INFA,Walia Amit,CEO,S - Sale,17.11,-12438,516015,-2%,-212814.0,,,,,INFA
10,,2022-03-07 16:39:12,2022-03-03,INFA,Sekharan Ansa,"EVP, Chief Customer Officer",S - Sale,17.11,-1619,209712,-1%,-27701.0,,,,,INFA
11,,2022-03-07 16:38:43,2022-03-03,INFA,Schweitzer John Arthur,"EVP, Chief Revenue Officer",S - Sale,17.11,-1593,101201,-2%,-27256.0,,,,,INFA
12,,2022-03-07 16:37:35,2022-03-03,INFA,Pellowski Mark,Chief Accounting Officer,S - Sale,17.11,-407,38305,-1%,-6964.0,,,,,INFA
13,,2022-03-07 16:36:56,2022-03-03,INFA,Ghai Jitesh,"EVP, Chief Product Officer",S - Sale,17.11,-1796,119943,-1%,-30730.0,,,,,INFA
14,,2022-03-07 16:36:19,2022-03-03,INFA,Brown Eric F,"EVP, CFO",S - Sale,17.11,-1796,132376,-1%,-30730.0,,,,,INFA
